trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
1	A	ljt_029a	pv_029	keep up	acceptable	acceptable	kept up	She kept up the good work all semester.	make something continue	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
2	A	ljt_022b	pv_022	cut off	unacceptable	unacceptable	cut off	The host cut off the speaker before she began.	interrupt someone	temporal_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
3	A	ljt_047a	pv_047	lay out	acceptable	acceptable	laid out	The introduction laid out the plan for the paper.	present or arrange clearly	none	S&AW_PHaVE	candidate for expert review
4	A	ljt_016b	pv_016	take back	unacceptable	unacceptable	took back	The party took back tomorrow from the council.	regain control or possession	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
5	A	ljt_012b	pv_012	pull back	unacceptable	unacceptable	pulled back	The company pulled back from the finished sandwich.	withdraw from an activity	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
6	A	ljt_042b	pv_042	carry out	unacceptable	unacceptable	carried out	The researchers carried out the thunderstorm in three schools.	conduct or perform a task	object_semantic_mismatch	S&AW_PHaVE	candidate for expert review
7	A	ljt_039a	pv_039	come in	acceptable	acceptable	came in	Experts came in to help with the problem.	become involved	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
8	A	ljt_017a	pv_017	make out	acceptable	acceptable	make out	I could barely make out the sign in the dark.	see or hear with difficulty	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
9	A	ljt_026b	pv_026	set out	unacceptable	unacceptable	set out	The report set out the heavy chairs clearly.	present or explain clearly	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
10	A	ljt_048b	pv_048	work out	unacceptable	unacceptable	worked out	The students worked out the rain after class.	find or calculate a solution	object_semantic_mismatch	S&AW_PHaVE	candidate for expert review
11	A	ljt_031a	pv_031	turn around	acceptable	acceptable	turned around	The new coach turned around the team.	make something successful after problems	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
