trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
1	B	ljt_008a	pv_008	move up	acceptable	acceptable	moved up	She moved up to senior manager.	advance to a higher position	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
2	B	ljt_045b	pv_045	sum up	unacceptable	unacceptable	summed up	The paragraph summed up the deadline.	summarize the main points	object_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
3	B	ljt_001b	pv_001	break off	unacceptable	unacceptable	broke off	The committee broke off the agenda.	end talks or a relationship	selectional_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
4	B	ljt_011b	pv_011	stand out	unacceptable	unacceptable	stood out	Her analysis stood out among deadlines.	be noticeable or impressive	comparison_set_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
5	B	ljt_015b	pv_015	put on	unacceptable	unacceptable	put on	The school put on a textbook.	present or stage an event	event_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
6	B	ljt_031b	pv_031	turn around	unacceptable	unacceptable	turned around	The coach turned around the deadline.	make something successful after problems	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
7	B	ljt_034a	pv_034	take out	acceptable	acceptable	took out	He took out a loan yesterday.	obtain an official service or document	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
8	B	ljt_037b	pv_037	go down	unacceptable	unacceptable	went down	The advice went down sharply.	decrease	subject_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
9	B	ljt_010a	pv_010	come along	acceptable	acceptable	came along	A rare chance came along today.	appear or arrive	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
10	B	ljt_039b	pv_039	come in	unacceptable	unacceptable	came in	Experts came in during deadline.	become involved	context_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
11	B	ljt_020a	pv_020	turn up	acceptable	acceptable	turned up	He turned up at the meeting.	arrive or appear	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
12	B	ljt_004a	pv_004	put in	acceptable	acceptable	put in	She put in steady effort yesterday.	devote time or effort	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
13	B	ljt_029b	pv_029	keep up	unacceptable	unacceptable	kept up	She kept up the heavy claim.	make something continue	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
14	B	ljt_024a	pv_024	put out	acceptable	acceptable	put out	Police put out a warning.	make information public	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
15	B	ljt_012a	pv_012	pull back	acceptable	acceptable	pulled back	The company pulled back from investment.	withdraw from an activity	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
16	B	ljt_003b	pv_003	give out	unacceptable	unacceptable	gave out	The old answer gave out suddenly.	stop working properly	subject_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
17	B	ljt_016a	pv_016	take back	acceptable	acceptable	took back	The party took back the council.	regain control or possession	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
18	B	ljt_013b	pv_013	run out	unacceptable	unacceptable	ran out	The office ran out of agenda.	use all of something	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
19	B	ljt_047b	pv_047	lay out	unacceptable	unacceptable	laid out	The chart laid out the spoon.	present or arrange clearly	object_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
20	B	ljt_005b	pv_005	take in	unacceptable	unacceptable	take in	The doorway was hard to take in.	understand fully	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
21	B	ljt_002a	pv_002	hand over	acceptable	acceptable	handed over	The officer handed over the documents.	give control or possession to someone	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
22	B	ljt_040a	pv_040	come out	acceptable	acceptable	came out	The truth came out during interviews.	become known or revealed	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
23	B	ljt_022a	pv_022	cut off	acceptable	acceptable	cut off	The host cut off the speaker.	interrupt someone	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
24	B	ljt_021b	pv_021	get down	unacceptable	unacceptable	got down	The soldiers got down behind the idea.	lower the body	location_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
25	B	ljt_026a	pv_026	set out	acceptable	acceptable	set out	The report set out the rules.	present or explain clearly	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
26	B	ljt_006a	pv_006	sit back	acceptable	acceptable	sat back	The mayor sat back during the crisis.	take no action	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
27	B	ljt_033b	pv_033	look out	unacceptable	unacceptable	looked out	She looked out at the deadline.	look outside	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
28	B	ljt_017b	pv_017	make out	unacceptable	unacceptable	make out	I could barely make out the flavor outside.	see or hear with difficulty	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
29	B	ljt_036a	pv_036	go up	acceptable	acceptable	went up	The rent went up sharply.	increase	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
30	B	ljt_028a	pv_028	reach out	acceptable	acceptable	reached out	The manager reached out to clients.	contact someone or offer help	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
31	B	ljt_023b	pv_023	bring in	unacceptable	unacceptable	brought in	The firm brought in a deadline.	ask someone to do a job or task	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
32	B	ljt_025b	pv_025	clean up	unacceptable	unacceptable	cleaned up	The editor cleaned up the deadline.	remove unacceptable content or behavior	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
