trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
1	A	ljt_029a	pv_029	keep up	acceptable	acceptable	kept up	She kept up the good work all semester.	make something continue	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
2	A	ljt_022b	pv_022	cut off	unacceptable	unacceptable	cut off	The host cut off the guest after she had finished speaking.	interrupt someone	temporal_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	revised after expert review: reduced before-speaking alternative; carried forward to v3
3	A	ljt_047a	pv_047	lay out	acceptable	acceptable	laid out	The introduction laid out the plan for the paper.	present or arrange clearly	none	S&AW_PHaVE	candidate for expert review; carried forward to v2; carried forward to v3
4	A	ljt_016b	pv_016	take back	unacceptable	unacceptable	took back	The party took back control, but its opponent still controlled the council.	regain control or possession	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with control contradiction; carried forward to v3
5	A	ljt_012b	pv_012	pull back	unacceptable	unacceptable	pulled back	The company pulled back from the risky plan by investing more money.	withdraw from an activity	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
6	A	ljt_042b	pv_042	carry out	unacceptable	unacceptable	carried out	The researchers carried out the hypothesis in three schools.	conduct or perform a task	object_semantic_mismatch	S&AW_PHaVE	revised after expert review: replaced thunderstorm with academic near-miss; carried forward to v3
7	A	ljt_039a	pv_039	come in	acceptable	acceptable	came in	Experts came in to help with the problem and joined the project.	become involved	none	Sonbul_ElDakhs_2024_supplement	v3 BERT review: made come in acceptable context parallel
8	A	ljt_017a	pv_017	make out	acceptable	acceptable	make out	I could barely make out the sign in the dark.	see or hear with difficulty	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
9	A	ljt_026b	pv_026	set out	unacceptable	unacceptable	set out	The report set out the rules, but no rules were explained.	present or explain clearly	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with explanation contradiction; carried forward to v3
10	A	ljt_048b	pv_048	work out	unacceptable	unacceptable	worked out	The students worked out the answer by copying it from the board.	find or calculate a solution	method_semantic_mismatch	S&AW_PHaVE	revised after expert review: replaced rain with solution-method mismatch; carried forward to v3
