candidate_id	replacement_for_pv_id	replacement_for_pv	candidate_pv	candidate_sense	source	source_rank_or_frequency	sense_share_or_frequency	preliminary_priority	construct_fit_1_4	near_miss_feasibility_1_4	polysemy_risk_1_4	audio_risk_1_4	c1_fit_1_4	near_miss_design_note	risk_note
rep_001	pv_003	give out	turn out	prove or be discovered to be a certain way	PHaVE	rank_12	91_percent	primary	4	4	2	1	4	Same-domain contrast between finding/result and object/event that cannot turn out to be a property.	Avoid transitive turn out meaning produce.
rep_002	pv_004	put in	take up	discuss or deal with an issue idea or matter	PHaVE	rank_41	17_5_percent	primary	4	4	3	1	4	Use institutional or academic agenda contexts such as committee issue vs committee deadline.	Can also mean occupy time or start activity, so context must block alternate senses.
rep_003	pv_005	take in	figure out	come to understand or determine something	PHaVE	rank_21	100_percent	primary	4	4	2	1	4	Use problem solving contexts such as cause explanation solution vs document surface feature.	Very familiar but still C1-useful if near-miss is subtle.
rep_004	pv_006	sit back	step back	stop involvement temporarily to consider objectively	PHaVE	rank_108	22_5_percent	primary	4	3	3	1	4	Use decision analysis contexts such as manager stepped back from debate vs manager stepped back from answer.	Physical step back sense must be blocked by abstract context.
rep_005	pv_007	hold back	give in	cease resistance or yield to demands	PHaVE	rank_143	100_percent	primary	3	3	2	1	3	Use negotiation contexts such as union gave in to demands vs union gave in to evidence.	May be easier than ideal for C1, but stable and low polysemy.
rep_006	pv_010	come along	play out	happen or develop over time	PHaVE	rank_113	79_5_percent	primary	4	4	2	1	4	Use process/event contexts such as negotiations played out publicly vs documents played out publicly.	Needs event subject; avoid theatrical enactment reading.
rep_007	pv_017	make out	sort out	solve a problem or understand causes	PHaVE	rank_136	51_percent_and_25_5_percent	primary	4	4	3	1	4	Use problem/conflict/reason contexts such as team sorted out dispute vs team sorted out prediction.	Two related senses should be separated in item notes.
rep_008	pv_021	get down	go over	examine or discuss each part in detail	PHaVE	rank_74	20_percent	primary	4	4	2	1	4	Use review/check contexts such as lawyer went over contract vs lawyer went over rumor.	Can have literal movement sense, so use abstract object.
rep_009	pv_024	put out	bring out	make something public or available, or make a quality noticeable	PHaVE	rank_81	33_percent_or_36_percent	primary	4	3	3	1	4	Use publication or feature-salience contexts such as publisher brought out edition vs publisher brought out deadline.	Two source senses compete; select one target sense only.
rep_010	pv_025	clean up	throw out	reject or refuse to consider, especially by authority	PHaVE	rank_85	29_percent	primary	4	4	2	1	4	Use legal or committee contexts such as judge threw out claim vs judge threw out witness.	Also literal discard; institutional subject should block rubbish sense.
