trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	v6_pool_status	candidate_gate_status	pair_rationale	notes
1	B	ljt_013b	pv_013	run out	unacceptable	unacceptable	ran out	The lab ran out of findings.	use all of something	resource_depletion_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects are research-domain nouns; samples can be depleted as supplies, whereas findings are not normally used up as a stock.	v6 candidate: pre-audio expert review required; do not record yet
2	B	ljt_034b	pv_034	take out	unacceptable	unacceptable	took out	She took out a receipt.	obtain an official service or document	official_document_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects are finance/document nouns; mortgage fits the obtain-an-official-service sense, while receipt does not.	v6 candidate: pre-audio expert review required; do not record yet
3	B	ljt_040a	pv_040	come out	acceptable	acceptable	came out	The secret came out during trial.	become known or revealed	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_review_required	Both subjects are legal-domain nouns; the acceptable subject is hidden information, whereas the unacceptable subject is a person and risks alternate literal readings.	v6 candidate: pre-audio expert review required; do not record yet
4	B	ljt_011b	pv_011	stand out	unacceptable	unacceptable	stood out	One essay stood out among pages.	be noticeable or impressive	comparison_set_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are writing-domain nouns; the unacceptable item changes the comparison set from same-class submissions to document parts.	v6 candidate: pre-audio expert review required; do not record yet
5	B	ljt_022a	pv_022	cut off	acceptable	acceptable	cut off	The host cut off the caller abruptly.	interrupt someone	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_review_required	Both objects belong to talk-show discourse; the target sense selects an active speaker, not the topic of conversation.	v6 candidate: pre-audio expert review required; do not record yet
6	B	ljt_016a	pv_016	take back	acceptable	acceptable	took back	The team took back the lead.	regain control or possession	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are sports-outcome nouns; lead can be regained, whereas loss is not normally regained by taking it back.	v6 candidate: pre-audio expert review required; do not record yet
7	B	ljt_027b	pv_027	break down	unacceptable	unacceptable	broke down	The coach broke down the whistle.	divide into smaller parts	analysis_object_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are sports-domain nouns; a play can be analyzed into parts, whereas a whistle is not an analytical problem in this frame.	v6 candidate: pre-audio expert review required; do not record yet
8	B	ljt_026a	pv_026	set out	acceptable	acceptable	set out	The report set out the procedure.	present or explain clearly	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are document-domain nouns; the target sense selects an explanation or rules, not a document section as such.	v6 candidate: pre-audio expert review required; do not record yet
9	B	ljt_001b	pv_001	break off	unacceptable	unacceptable	broke off	The union broke off the proposal.	end talks or a relationship	same_domain_collocation_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.	v6 candidate: pre-audio expert review required; do not record yet
10	B	ljt_044a	pv_044	point out	acceptable	acceptable	pointed out	The review pointed out the limitation.	draw attention to information	none	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both objects are academic-document nouns; the review can identify a limitation, whereas appendix is a document part and creates weaker target fit.	v6 candidate: pre-audio expert review required; do not record yet
