trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	v6_pool_status	candidate_gate_status	pair_rationale	notes
1	A	ljt_032b	pv_032	back up	unacceptable	unacceptable	backed up	The data backed up the confusion.	support with evidence	evidence_support_object_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are research-discourse nouns; data can support a conclusion, but not confusion as a claim.	v6 candidate: pre-audio expert review required; do not record yet
2	A	ljt_043a	pv_043	rule out	acceptable	acceptable	ruled out	The doctor ruled out infection.	exclude a possibility	none	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both objects are medical-domain nouns; infection can be excluded as a possibility, whereas symptoms are observed signs, not the ruled-out condition.	v6 candidate: pre-audio expert review required; do not record yet
3	A	ljt_013a	pv_013	run out	acceptable	acceptable	ran out	The lab ran out of samples.	use all of something	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects are research-domain nouns; samples can be depleted as supplies, whereas findings are not normally used up as a stock.	v6 candidate: pre-audio expert review required; do not record yet
4	A	ljt_016b	pv_016	take back	unacceptable	unacceptable	took back	The team took back the loss.	regain control or possession	regain_control_object_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are sports-outcome nouns; lead can be regained, whereas loss is not normally regained by taking it back.	v6 candidate: pre-audio expert review required; do not record yet
5	A	ljt_027a	pv_027	break down	acceptable	acceptable	broke down	The coach broke down the play.	divide into smaller parts	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are sports-domain nouns; a play can be analyzed into parts, whereas a whistle is not an analytical problem in this frame.	v6 candidate: pre-audio expert review required; do not record yet
6	A	ljt_041a	pv_041	bring about	acceptable	acceptable	brought about	The reforms brought about change.	cause something to happen	none	S&AW_PHaVE	active_candidate	prelim_pass_native_review_required	Both objects are policy/research nouns; reforms can cause change, whereas evidence is normally produced or found rather than brought about by reforms.	v6 candidate: pre-audio expert review required; do not record yet
7	A	ljt_023a	pv_023	bring in	acceptable	acceptable	brought in	The firm brought in a consultant.	ask someone to do a job or task	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects are professional-service nouns; the target sense requires a person or role, not the service event itself.	v6 candidate: pre-audio expert review required; do not record yet
8	A	ljt_009b	pv_009	get on	unacceptable	unacceptable	got on	The passengers got on the station.	board a vehicle	transport_anchor_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are transport-domain nouns; only a vehicle-like noun is compatible with the boarding sense.	v6 candidate: pre-audio expert review required; do not record yet
9	A	ljt_040b	pv_040	come out	unacceptable	unacceptable	came out	The witness came out during trial.	become known or revealed	revelation_subject_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_review_required	Both subjects are legal-domain nouns; the acceptable subject is hidden information, whereas the unacceptable subject is a person and risks alternate literal readings.	v6 candidate: pre-audio expert review required; do not record yet
10	A	ljt_034a	pv_034	take out	acceptable	acceptable	took out	She took out a mortgage.	obtain an official service or document	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects are finance/document nouns; mortgage fits the obtain-an-official-service sense, while receipt does not.	v6 candidate: pre-audio expert review required; do not record yet
11	A	ljt_026b	pv_026	set out	unacceptable	unacceptable	set out	The report set out the appendix.	present or explain clearly	document_content_mismatch	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both nouns are document-domain nouns; the target sense selects an explanation or rules, not a document section as such.	v6 candidate: pre-audio expert review required; do not record yet
12	A	ljt_001a	pv_001	break off	acceptable	acceptable	broke off	The union broke off the talks.	end talks or a relationship	none	Sonbul_ElDakhs_2024_supplement	active_candidate	prelim_pass_native_review_required	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.	v6 candidate: pre-audio expert review required; do not record yet
