draft_pair_id	candidate_id	replaced_pv_id	replaced_pv	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	pair_rationale	self_review_score_100	status	risk_note
v2_001	rep_018	pv_003	give out	set up	acceptable	acceptable	set up	The agency set up a review process.	establish_create_or_arrange	none	Process and finding are review-domain nouns; only the process can naturally be established or arranged.	90	production_candidate_after_native_review	Check whether set up a finding is impossible for all native reviewers.
v2_001	rep_018	pv_003	give out	set up	unacceptable	unacceptable	set up	The agency set up a review finding.	establish_create_or_arrange	wrong_created_entity	Process and finding are review-domain nouns; only the process can naturally be established or arranged.	90	production_candidate_after_native_review	Check whether set up a finding is impossible for all native reviewers.
v2_002	rep_002	pv_004	put in	take up	acceptable	acceptable	took up	The committee took up the funding issue.	discuss_or_deal_with_issue	none	Issue and outcome are same institutional domain; outcome is less naturally taken up as an agenda item.	88	minor_revision_needed	Check whether take up the outcome is acceptable as discuss outcome.
v2_002	rep_002	pv_004	put in	take up	unacceptable	unacceptable	took up	The committee took up the funding outcome.	discuss_or_deal_with_issue	wrong_discussion_object	Issue and outcome are same institutional domain; outcome is less naturally taken up as an agenda item.	88	minor_revision_needed	Check whether take up the outcome is acceptable as discuss outcome.
v2_003	rep_030	pv_005	take in	put off	acceptable	acceptable	put off	The board put off the final vote.	delay_until_later	none	Vote and evidence are decision-domain objects; only the vote is naturally schedulable for delay.	88	minor_revision_needed	Evidence can be excluded or withheld, but not normally put off.
v2_003	rep_030	pv_005	take in	put off	unacceptable	unacceptable	put off	The board put off the final evidence.	delay_until_later	wrong_delay_object	Vote and evidence are decision-domain objects; only the vote is naturally schedulable for delay.	88	minor_revision_needed	Evidence can be excluded or withheld, but not normally put off.
v2_004	rep_019	pv_006	sit back	take on	acceptable	acceptable	took on	The lawyer took on the difficult case.	undertake_role_task_or_responsibility	none	Case and verdict are legal-domain nouns; only the case is a responsibility one can undertake.	90	production_candidate_after_native_review	Strong candidate, but verify that verdict is not interpretable as a challenge.
v2_004	rep_019	pv_006	sit back	take on	unacceptable	unacceptable	took on	The lawyer took on the difficult verdict.	undertake_role_task_or_responsibility	wrong_responsibility_object	Case and verdict are legal-domain nouns; only the case is a responsibility one can undertake.	90	production_candidate_after_native_review	Strong candidate, but verify that verdict is not interpretable as a challenge.
v2_005	rep_005	pv_007	hold back	give in	acceptable	acceptable	gave in	The company gave in to public pressure.	yield_to_demands_or_pressure	none	Pressure and policy are public-domain nouns; pressure can force yielding, policy normally cannot.	86	minor_revision_needed	May be a comparatively easy anchor item for C1.
v2_005	rep_005	pv_007	hold back	give in	unacceptable	unacceptable	gave in	The company gave in to public policy.	yield_to_demands_or_pressure	wrong_pressure_source	Pressure and policy are public-domain nouns; pressure can force yielding, policy normally cannot.	86	minor_revision_needed	May be a comparatively easy anchor item for C1.
v2_006	rep_006	pv_010	come along	play out	acceptable	acceptable	played out	The negotiations played out in public.	develop_or_unfold	none	Negotiations and agreement are institutional-domain event nouns, but agreement may still develop publicly in some contexts.	84	major_revision_needed	Event/outcome contrast is improved but not yet 90-point stable.
v2_006	rep_006	pv_010	come along	play out	unacceptable	unacceptable	played out	The agreement played out in public.	develop_or_unfold	wrong_developing_event	Negotiations and agreement are institutional-domain event nouns, but agreement may still develop publicly in some contexts.	84	major_revision_needed	Event/outcome contrast is improved but not yet 90-point stable.
v2_007	rep_007	pv_017	make out	sort out	acceptable	acceptable	sorted out	The mediator sorted out the scheduling conflict.	resolve_problem_or_understand_cause	none	Conflict and forecast are scheduling-domain nouns; conflict can be resolved, forecast cannot.	86	minor_revision_needed	Keep target sense as resolve_problem, not understand_cause.
v2_007	rep_007	pv_017	make out	sort out	unacceptable	unacceptable	sorted out	The mediator sorted out the scheduling forecast.	resolve_problem_or_understand_cause	wrong_problem_object	Conflict and forecast are scheduling-domain nouns; conflict can be resolved, forecast cannot.	86	minor_revision_needed	Keep target sense as resolve_problem, not understand_cause.
v2_008	rep_027	pv_021	get down	pass on	acceptable	acceptable	passed on	The director passed on the client's message.	communicate_or_circulate_information	none	Message and silence are communication-domain nouns; only a message can normally be passed on.	86	minor_revision_needed	Silence may be too easy as a non-transferable object; native review needed.
v2_008	rep_027	pv_021	get down	pass on	unacceptable	unacceptable	passed on	The director passed on the client's silence.	communicate_or_circulate_information	wrong_information_object	Message and silence are communication-domain nouns; only a message can normally be passed on.	86	minor_revision_needed	Silence may be too easy as a non-transferable object; native review needed.
v2_009	rep_009	pv_024	put out	bring out	acceptable	acceptable	brought out	The publisher brought out a revised edition.	release_to_public	none	Edition and appointment are publishing/professional-domain nouns; appointment is not released as a publication.	86	minor_revision_needed	Select release sense only; avoid make-quality-noticeable sense.
v2_009	rep_009	pv_024	put out	bring out	unacceptable	unacceptable	brought out	The publisher brought out a revised appointment.	release_to_public	wrong_release_object	Edition and appointment are publishing/professional-domain nouns; appointment is not released as a publication.	86	minor_revision_needed	Select release sense only; avoid make-quality-noticeable sense.
v2_010	rep_010	pv_025	clean up	throw out	acceptable	acceptable	threw out	The committee threw out the weak proposal.	reject_or_refuse_to_consider	none	Proposal and agenda are meeting-domain objects; proposal is rejectable, agenda is normally revised or changed.	86	minor_revision_needed	Check whether throw out the agenda can mean discard/cancel agenda.
v2_010	rep_010	pv_025	clean up	throw out	unacceptable	unacceptable	threw out	The committee threw out the weak agenda.	reject_or_refuse_to_consider	wrong_rejection_object	Proposal and agenda are meeting-domain objects; proposal is rejectable, agenda is normally revised or changed.	86	minor_revision_needed	Check whether throw out the agenda can mean discard/cancel agenda.
v2_011	rep_028	pv_029	keep up	set off	acceptable	acceptable	set off	The comment set off a heated debate.	cause_event_or_reaction_to_start	none	Debate and summary are discourse-domain products; only debate is an event/reaction that can be triggered.	88	minor_revision_needed	Summary is a document/product cue; consider replacing with dispute in review.
v2_011	rep_028	pv_029	keep up	set off	unacceptable	unacceptable	set off	The comment set off a heated summary.	cause_event_or_reaction_to_start	wrong_triggered_event	Debate and summary are discourse-domain products; only debate is an event/reaction that can be triggered.	88	minor_revision_needed	Summary is a document/product cue; consider replacing with dispute in review.
v2_012	rep_012	pv_033	look out	open up	acceptable	acceptable	opened up	The policy opened up new opportunities.	make_available_or_possible	none	Opportunities and objections are policy-domain outcomes; objections may be caused but not made available.	84	minor_revision_needed	Native review needed for open up objections.
v2_012	rep_012	pv_033	look out	open up	unacceptable	unacceptable	opened up	The policy opened up new objections.	make_available_or_possible	wrong_possibility_object	Opportunities and objections are policy-domain outcomes; objections may be caused but not made available.	84	minor_revision_needed	Native review needed for open up objections.
v2_013	rep_033	pv_035	look back	fill in	acceptable	acceptable	filled in	The assistant filled in the director on the plan.	provide_missing_information_to_someone	none	Plan and chair are meeting-domain nouns, but chair is too concrete and may cue broad object mismatch.	78	major_revision_needed	Better than move on only mechanically; still not a strong C1 LJT item.
v2_013	rep_033	pv_035	look back	fill in	unacceptable	unacceptable	filled in	The assistant filled in the director on the chair.	provide_missing_information_to_someone	wrong_information_topic	Plan and chair are meeting-domain nouns, but chair is too concrete and may cue broad object mismatch.	78	major_revision_needed	Better than move on only mechanically; still not a strong C1 LJT item.
