trial_order	phase	task	list_id	item_id	pv_id	pv	condition	expected_response	stimulus_text	target_form	audio_file_name	notes
1	practice	aural_pv_ljt_c_level_v4_multi_agent	B	practice_ljt_v5_001		wake up	acceptable	acceptable	Mina woke up before the alarm.	woke up	rec_practice_ljt_v5_001.wav	interface practice reused from v5 production; not part of C-level scoring
2	practice	aural_pv_ljt_c_level_v4_multi_agent	B	practice_ljt_v5_002		wake up	unacceptable	unacceptable	Mina woke up before the pencil.	woke up	rec_practice_ljt_v5_002.wav	interface practice reused from v5 production; not part of C-level scoring
3	practice	aural_pv_ljt_c_level_v4_multi_agent	B	practice_ljt_v5_003		turn off	acceptable	acceptable	Please turn off the lamp.	turn off	rec_practice_ljt_v5_003.wav	interface practice reused from v5 production; not part of C-level scoring
4	practice	aural_pv_ljt_c_level_v4_multi_agent	B	practice_ljt_v5_004		turn off	unacceptable	unacceptable	Please turn off the sandwich.	turn off	rec_practice_ljt_v5_004.wav	interface practice reused from v5 production; not part of C-level scoring
5	practice	aural_pv_ljt_c_level_v4_multi_agent	B	practice_ljt_v5_005		give up	acceptable	acceptable	He gave up smoking last year.	gave up	rec_practice_ljt_v5_005.wav	interface practice reused from v5 production; not part of C-level scoring
6	practice	aural_pv_ljt_c_level_v4_multi_agent	B	practice_ljt_v5_006		give up	unacceptable	unacceptable	He gave up rainfall last year.	gave up	rec_practice_ljt_v5_006.wav	interface practice reused from v5 production; not part of C-level scoring
7	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_033a	pv_033	open up	acceptable	acceptable	The ruling opened up new appeal options.	opened up	rec_ljt_v4_multi_agent_cljt_033a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v1; revises opportunities/objections pair because objections could be caused or invited by a policy; legal appeal frame blocks disclosure/speaking readings.
8	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_019a	pv_019	get off	acceptable	acceptable	The defendant got off with a warning.	got off	rec_ljt_v4_multi_agent_cljt_019a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v2; replaces transparent leave-vehicle sense with legal leniency sense to improve C1 suitability and suppress transport/literal readings.
9	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_042a	pv_042	carry out	acceptable	acceptable	The researchers carried out the analysis.	carried out	rec_ljt_v4_multi_agent_cljt_042a.wav	quality_status=prelim_pass_native_review_required; review_score_100=100; v6-derived candidate; native review still required; Conduct/perform task sense is strong for academic LJT; use plausible wrong task objects.
10	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_023b	pv_023	bring in	unacceptable	unacceptable	The campaign brought in large expenses.	brought in	rec_ljt_v4_multi_agent_cljt_023b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v2; replaces consultant/consultation role contrast with finance-support sense for stronger C1-level semantic dependency.
11	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_015b	pv_015	put on	unacceptable	unacceptable	The gallery put on a retrospective catalog.	put on	rec_ljt_v4_multi_agent_cljt_015b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v2; improves theater/ticket pair by using an arts-institution frame that suppresses clothing and application readings.
12	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_029a	pv_029	set off	acceptable	acceptable	The comment set off a heated debate.	set off	rec_ljt_v4_multi_agent_cljt_029a.wav	quality_status=minor_revision_needed; review_score_100=88; replaces pv_029 keep up; candidate_id=rep_028; original_v6_action=replace_or_rewrite; Summary is a document/product cue; consider replacing with dispute in review.
13	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_034b	pv_034	take out	unacceptable	unacceptable	The landlord took out a flood claim.	took out	rec_ljt_v4_multi_agent_cljt_034b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=93; multi-agent synthesis v3; replaces mortgage/receipt with tighter insurance-domain collocation and lower literal-removal risk.
14	main	aural_pv_ljt_c_level_v4_multi_agent	B	cljt_038a	pv_038	turn down	acceptable	acceptable	The board turned down the proposal.	turned down	rec_ljt_v4_multi_agent_cljt_038a.wav	quality_status=minor_revision_needed; review_score_100=88; replaces pv_038 come on; candidate_id=rep_016; original_v6_action=drop; Check legal/register acceptability of turn down evidence.
