trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
1	B	ljt_008a	pv_008	move up	acceptable	acceptable	moved up	She moved up to a senior role last year.	advance to a higher position	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
2	B	ljt_045b	pv_045	sum up	unacceptable	unacceptable	summed up	The final paragraph summed up the chair.	summarize the main points	object_semantic_mismatch	S&AW_PHaVE	candidate for expert review
3	B	ljt_001b	pv_001	break off	unacceptable	unacceptable	broke off	After weeks of argument, the union broke off the sunlight.	end talks or a relationship	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
4	B	ljt_011b	pv_011	stand out	unacceptable	unacceptable	stood out	Her ordinary answer stood out as the best answer.	be noticeable or impressive	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	candidate for expert review
5	B	ljt_015b	pv_015	put on	unacceptable	unacceptable	put on	The school put on a Tuesday for the visitors.	present or stage an event	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
6	B	ljt_031b	pv_031	turn around	unacceptable	unacceptable	turned around	The new coach turned around the weather.	make something successful after problems	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
7	B	ljt_034a	pv_034	take out	acceptable	acceptable	took out	He took out a loan to pay for the course.	obtain an official service or document	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
8	B	ljt_037b	pv_037	go down	unacceptable	unacceptable	went down	The price went down from five dollars to ten.	decrease	directional_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
9	B	ljt_010a	pv_010	come along	acceptable	acceptable	came along	A better chance came along during the project.	appear or arrive	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
10	B	ljt_039b	pv_039	come in	unacceptable	unacceptable	came in	Experts came in but stayed outside the project.	become involved	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	candidate for expert review
11	B	ljt_020a	pv_020	turn up	acceptable	acceptable	turned up	He turned up late for the meeting.	arrive or appear	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
12	B	ljt_004a	pv_004	put in	acceptable	acceptable	put in	She put in three hours before the meeting.	devote time or effort	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
13	B	ljt_029b	pv_029	keep up	unacceptable	unacceptable	kept up	She kept up the empty cup all semester.	make something continue	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
14	B	ljt_024a	pv_024	put out	acceptable	acceptable	put out	Police put out a warning about the danger.	make information public	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
15	B	ljt_012a	pv_012	pull back	acceptable	acceptable	pulled back	The company pulled back from the risky plan.	withdraw from an activity	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
16	B	ljt_003b	pv_003	give out	unacceptable	unacceptable	gave out	After the long climb, his recipe finally gave out.	stop working properly	subject_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
17	B	ljt_016a	pv_016	take back	acceptable	acceptable	took back	The party took back control of the council.	regain control or possession	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
18	B	ljt_013b	pv_013	run out	unacceptable	unacceptable	ran out	The office ran out of silence before noon.	use all of something	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
19	B	ljt_047b	pv_047	lay out	unacceptable	unacceptable	laid out	The introduction laid out the soup for the paper.	present or arrange clearly	object_semantic_mismatch	S&AW_PHaVE	candidate for expert review
20	B	ljt_005b	pv_005	take in	unacceptable	unacceptable	take in	The doorway was too fast to take in.	understand fully	subject_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
21	B	ljt_002a	pv_002	hand over	acceptable	acceptable	handed over	The guard handed over the keys to the manager.	give control or possession to someone	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
22	B	ljt_040a	pv_040	come out	acceptable	acceptable	came out	The truth came out during the trial.	become known or revealed	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
23	B	ljt_022a	pv_022	cut off	acceptable	acceptable	cut off	The host cut off the speaker mid-sentence.	interrupt someone	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
24	B	ljt_021b	pv_021	get down	unacceptable	unacceptable	got down	The soldiers got down by standing taller.	lower the body	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	candidate for expert review
25	B	ljt_026a	pv_026	set out	acceptable	acceptable	set out	The report set out the main rules clearly.	present or explain clearly	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
26	B	ljt_006a	pv_006	sit back	acceptable	acceptable	sat back	The mayor sat back while the problem grew.	take no action	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
27	B	ljt_033b	pv_033	look out	unacceptable	unacceptable	looked out	She looked out at the silence.	look outside	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
28	B	ljt_017b	pv_017	make out	unacceptable	unacceptable	make out	I could barely make out the silence in the dark.	see or hear with difficulty	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
29	B	ljt_036a	pv_036	go up	acceptable	acceptable	went up	The price went up from five dollars to ten.	increase	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
30	B	ljt_028a	pv_028	reach out	acceptable	acceptable	reached out	The manager reached out after the complaint.	contact someone or offer help	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
31	B	ljt_023b	pv_023	bring in	unacceptable	unacceptable	brought in	The firm brought in a headache to solve the problem.	ask someone to do a job or task	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
32	B	ljt_025b	pv_025	clean up	unacceptable	unacceptable	cleaned up	The editor cleaned up the honest weather.	remove unacceptable content or behavior	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
33	B	ljt_019b	pv_019	get off	unacceptable	unacceptable	got off	The children got off the soup at the last stop.	leave a vehicle	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
34	B	ljt_027b	pv_027	break down	unacceptable	unacceptable	broke down	The teacher broke down the task into loud music.	divide into smaller parts	result_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
35	B	ljt_048a	pv_048	work out	acceptable	acceptable	worked out	The students worked out the answer after class.	find or calculate a solution	none	S&AW_PHaVE	candidate for expert review
36	B	ljt_035b	pv_035	look back	unacceptable	unacceptable	looked back	Years later, they looked back on next year.	think about a past event	temporal_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
37	B	ljt_030a	pv_030	put up	acceptable	acceptable	put up	They put up posters on the classroom wall.	display or attach something	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
38	B	ljt_014a	pv_014	turn over	acceptable	acceptable	turned over	The officer turned over the files to the court.	give control or possession to an authority	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
39	B	ljt_009b	pv_009	get on	unacceptable	unacceptable	got on	The tourists got on the coffee near the station.	board a vehicle	object_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
40	B	ljt_007b	pv_007	hold back	unacceptable	unacceptable	held back	The extra support held back the young players.	prevent progress or potential	context_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	candidate for expert review
41	B	ljt_038a	pv_038	come on	acceptable	acceptable	come on	Oh, come on, that cannot be true.	express disbelief or disagreement	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
42	B	ljt_032a	pv_032	back up	acceptable	acceptable	backed up	The data backed up the main claim.	support with evidence	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review
43	B	ljt_042a	pv_042	carry out	acceptable	acceptable	carried out	The researchers carried out the survey in three schools.	conduct or perform a task	none	S&AW_PHaVE	candidate for expert review
44	B	ljt_041b	pv_041	bring about	unacceptable	unacceptable	brought about	The reforms brought about no effect at all.	cause something to happen	semantic_contradiction	S&AW_PHaVE	candidate for expert review
45	B	ljt_043b	pv_043	rule out	unacceptable	unacceptable	ruled out	The evidence ruled out fraud, so fraud was certain.	exclude a possibility	semantic_contradiction	S&AW_PHaVE	candidate for expert review
