ljt_item_id	pv_id	pv	condition	expected_response	sentence_text	target_form	intended_sense	mismatch_type	naturalness_1_4	sense_fit_or_mismatch_1_4	target_sense_clear_1_4	audio_suitability_1_4	reviewer_comments	decision_keep_revise_drop
ljt_001a	pv_001	break off	acceptable	acceptable	After weeks of argument, the union broke off the talks.	broke off	end talks or a relationship	none						
ljt_001b	pv_001	break off	unacceptable	unacceptable	After weeks of argument, the union broke off the talks but kept negotiating without a pause.	broke off	end talks or a relationship	semantic_contradiction						
ljt_002a	pv_002	hand over	acceptable	acceptable	The guard handed over the keys to the manager.	handed over	give control or possession to someone	none						
ljt_002b	pv_002	hand over	unacceptable	unacceptable	The guard handed over the keys but kept them in his pocket.	handed over	give control or possession to someone	semantic_contradiction						
ljt_003a	pv_003	give out	acceptable	acceptable	After the long climb, his knees finally gave out.	gave out	stop working properly	none						
ljt_003b	pv_003	give out	unacceptable	unacceptable	After the long climb, his knees gave out, so he sprinted easily to the top.	gave out	stop working properly	semantic_contradiction						
ljt_004a	pv_004	put in	acceptable	acceptable	She put in three hours before the meeting.	put in	devote time or effort	none						
ljt_004b	pv_004	put in	unacceptable	unacceptable	She put in three hours but spent no time on the report.	put in	devote time or effort	semantic_contradiction						
ljt_005a	pv_005	take in	acceptable	acceptable	The lecture was too fast to take in.	take in	understand fully	none						
ljt_005b	pv_005	take in	unacceptable	unacceptable	The lecture was too fast to take in, so everyone understood every detail.	take in	understand fully	semantic_contradiction						
ljt_006a	pv_006	sit back	acceptable	acceptable	The mayor sat back while the problem grew.	sat back	take no action	none						
ljt_006b	pv_006	sit back	unacceptable	unacceptable	The mayor sat back while he personally led the response.	sat back	take no action	semantic_contradiction						
ljt_007a	pv_007	hold back	acceptable	acceptable	Poor training held back the young players.	held back	prevent progress or potential	none						
ljt_007b	pv_007	hold back	unacceptable	unacceptable	The extra support held back the young players, so they improved faster.	held back	prevent progress or potential	semantic_contradiction						
ljt_008a	pv_008	move up	acceptable	acceptable	She moved up to a senior role last year.	moved up	advance to a higher position	none						
ljt_008b	pv_008	move up	unacceptable	unacceptable	She moved up to a junior role last year.	moved up	advance to a higher position	directional_semantic_mismatch						
ljt_009a	pv_009	get on	acceptable	acceptable	The tourists got on the bus near the station.	got on	board a vehicle	none						
ljt_009b	pv_009	get on	unacceptable	unacceptable	The tourists got on the bus, but they stayed on the sidewalk.	got on	board a vehicle	semantic_contradiction						
ljt_010a	pv_010	come along	acceptable	acceptable	A better chance came along during the project.	came along	appear or arrive	none						
ljt_010b	pv_010	come along	unacceptable	unacceptable	A better chance came along, although nothing new appeared.	came along	appear or arrive	semantic_contradiction						
ljt_011a	pv_011	stand out	acceptable	acceptable	Her clear answer stood out in the interview.	stood out	be noticeable or impressive	none						
