source_recording_script	recording_id	item_id	task	pv	condition	item_type	text_to_record	audio_file_name	audio_path	voice_label	voice_id_env	voice_id	model_id	output_format	stability	similarity_boost	style	speed	use_speaker_boost	seed	generated_at_utc	status	error
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_001a	cljt_001a	aural_pv_ljt_c_level_v4_multi_agent	break off	acceptable		The union broke off negotiations before arbitration.	rec_ljt_v4_multi_agent_cljt_001a.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_001a.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260701	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_001b	cljt_001b	aural_pv_ljt_c_level_v4_multi_agent	break off	unacceptable		The union broke off concessions before arbitration.	rec_ljt_v4_multi_agent_cljt_001b.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_001b.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260702	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_002a	cljt_002a	aural_pv_ljt_c_level_v4_multi_agent	hand over	acceptable		The agency handed over the investigation to prosecutors.	rec_ljt_v4_multi_agent_cljt_002a.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_002a.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260703	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_002b	cljt_002b	aural_pv_ljt_c_level_v4_multi_agent	hand over	unacceptable		The agency handed over the verdict to prosecutors.	rec_ljt_v4_multi_agent_cljt_002b.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_002b.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260704	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_003a	cljt_003a	aural_pv_ljt_c_level_v4_multi_agent	set up	acceptable		The agency set up a review process.	rec_ljt_v4_multi_agent_cljt_003a.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_003a.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260705	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_003b	cljt_003b	aural_pv_ljt_c_level_v4_multi_agent	set up	unacceptable		The agency set up a review finding.	rec_ljt_v4_multi_agent_cljt_003b.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_003b.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260706	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_004a	cljt_004a	aural_pv_ljt_c_level_v4_multi_agent	take up	acceptable		The committee took up the funding issue.	rec_ljt_v4_multi_agent_cljt_004a.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_004a.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260707	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_004b	cljt_004b	aural_pv_ljt_c_level_v4_multi_agent	take up	unacceptable		The committee took up the funding outcome.	rec_ljt_v4_multi_agent_cljt_004b.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_004b.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260708	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_005a	cljt_005a	aural_pv_ljt_c_level_v4_multi_agent	put off	acceptable		The board put off the final vote.	rec_ljt_v4_multi_agent_cljt_005a.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_005a.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260709	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_005b	cljt_005b	aural_pv_ljt_c_level_v4_multi_agent	put off	unacceptable		The board put off the final evidence.	rec_ljt_v4_multi_agent_cljt_005b.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_005b.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260710	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_006a	cljt_006a	aural_pv_ljt_c_level_v4_multi_agent	take on	acceptable		The lawyer took on the difficult case.	rec_ljt_v4_multi_agent_cljt_006a.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_006a.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260711	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_006b	cljt_006b	aural_pv_ljt_c_level_v4_multi_agent	take on	unacceptable		The lawyer took on the difficult verdict.	rec_ljt_v4_multi_agent_cljt_006b.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_006b.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260712	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_007a	cljt_007a	aural_pv_ljt_c_level_v4_multi_agent	give in	acceptable		The company gave in to public pressure.	rec_ljt_v4_multi_agent_cljt_007a.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_007a.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260713	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_007b	cljt_007b	aural_pv_ljt_c_level_v4_multi_agent	give in	unacceptable		The company gave in to public policy.	rec_ljt_v4_multi_agent_cljt_007b.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_007b.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260714	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_008a	cljt_008a	aural_pv_ljt_c_level_v4_multi_agent	move up	acceptable		The team moved up to first place.	rec_ljt_v4_multi_agent_cljt_008a.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_008a.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260715	2026-07-04T01:27:34.362027+00:00	generated	
materials/audio_recording_script_ljt_v4_multi_agent.tsv	rec_ljt_v4_multi_agent_cljt_008b	cljt_008b	aural_pv_ljt_c_level_v4_multi_agent	move up	unacceptable		The team moved up to last place.	rec_ljt_v4_multi_agent_cljt_008b.mp3	audio/raw/elevenlabs/female/ljt_v4_multi_agent/rec_ljt_v4_multi_agent_cljt_008b.mp3	female	ELEVENLABS_FEMALE_VOICE_ID	hpp4J3VqNfWAUOO0d1Us	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260716	2026-07-04T01:27:34.362027+00:00	generated	
