ljt_item_id	pv_id	pv	condition	target_form	sentence_text	intended_sense	mismatch_type	pll_mean_logprob	pll_sum_logprob	pll_token_n	target_fit_mean_logprob	target_fit_sum_logprob	target_token_n	full_sentence_sbert_cosine_pair	context_without_pv_sbert_cosine_pair	pll_mean_delta_acc_minus_unacc_pair	target_fit_mean_delta_acc_minus_unacc_pair	diagnostic_flags_pair
ljt_001a	pv_001	break off	acceptable	broke off	After weeks of argument, the union broke off the talks.	end talks or a relationship	none	-1.9024225108490402	-22.829070130188484	12	-6.104980945587158	-12.209961891174316	2	0.9047507047653198	0.8569209575653076	0.13457136652464707	-1.1637517213821411	target_fit_not_higher_for_acceptable
ljt_001b	pv_001	break off	unacceptable	broke off	After weeks of argument, the union broke off the talks but kept negotiating without a pause.	end talks or a relationship	semantic_contradiction	-2.0369938773736873	-36.665889792726375	18	-4.941229224205017	-9.882458448410034	2	0.9047507047653198	0.8569209575653076	0.13457136652464707	-1.1637517213821411	target_fit_not_higher_for_acceptable
ljt_002a	pv_002	hand over	acceptable	handed over	The guard handed over the keys to the manager.	give control or possession to someone	none	-1.4390594693250023	-14.390594693250023	10	-2.7911331951618195	-5.582266390323639	2	0.7919419407844543	0.7803652882575989	-0.7986670556039406	0.6610834300518036	none
ljt_002b	pv_002	hand over	unacceptable	handed over	The guard handed over the keys but kept them in his pocket.	give control or possession to someone	semantic_contradiction	-0.6403924137210617	-8.325101378373802	13	-3.452216625213623	-6.904433250427246	2	0.7919419407844543	0.7803652882575989	-0.7986670556039406	0.6610834300518036	none
ljt_003a	pv_003	give out	acceptable	gave out	After the long climb, his knees finally gave out.	stop working properly	none	-1.0758248421956191	-11.834073264151812	11	-3.213674306869507	-6.427348613739014	2	0.8629928231239319	0.8704843521118164	0.18876178317772108	2.8159618377685547	none
ljt_003b	pv_003	give out	unacceptable	gave out	After the long climb, his knees gave out, but he kept walking easily.	stop working properly	semantic_contradiction	-1.2645866253733402	-20.233386005973443	16	-6.0296361446380615	-12.059272289276123	2	0.8629928231239319	0.8704843521118164	0.18876178317772108	2.8159618377685547	none
ljt_004a	pv_004	put in	acceptable	put in	She put in three hours on the report before the meeting.	devote time or effort	none	-1.9992003203369677	-23.990403844043612	12	-5.874203681945801	-11.748407363891602	2	0.7625054717063904	0.8196409344673157	-0.8897144097524385	-0.40661001205444336	target_fit_not_higher_for_acceptable
ljt_004b	pv_004	put in	unacceptable	put in	She put in three hours on the report but spent no time on it.	devote time or effort	semantic_contradiction	-1.1094859105845292	-16.64228865876794	15	-5.467593669891357	-10.935187339782715	2	0.7625054717063904	0.8196409344673157	-0.8897144097524385	-0.40661001205444336	target_fit_not_higher_for_acceptable
ljt_005a	pv_005	take in	acceptable	take in	The lecture was too fast to take in.	understand fully	none	-2.3912841371622764	-21.521557234460488	9	-4.7732977867126465	-9.546595573425293	2	0.8458271026611328	0.9204885959625244	0.055858477416202756	0.7634015083312988	none
ljt_005b	pv_005	take in	unacceptable	take in	The lecture was too fast to take in, so everyone understood every detail.	understand fully	semantic_contradiction	-2.447142614578479	-36.707139218677185	15	-5.536699295043945	-11.07339859008789	2	0.8458271026611328	0.9204885959625244	0.055858477416202756	0.7634015083312988	none
ljt_006a	pv_006	sit back	acceptable	sat back	The mayor sat back while the problem grew.	take no action	none	-2.3487753933295608	-21.138978539966047	9	-3.2149192094802856	-6.429838418960571	2	0.7366083860397339	0.7727158665657043	0.28656503092497587	3.6238702535629272	target_fit_gap_extreme
ljt_006b	pv_006	sit back	unacceptable	sat back	The mayor sat back while he personally led the response.	take no action	semantic_contradiction	-2.6353404242545366	-28.988744666799903	11	-6.838789463043213	-13.677578926086426	2	0.7366083860397339	0.7727158665657043	0.28656503092497587	3.6238702535629272	target_fit_gap_extreme
ljt_007a	pv_007	hold back	acceptable	held back	Poor training held back the young players, so they improved slowly.	prevent progress or potential	none	-2.5315321769851904	-32.909918300807476	13	-8.183253288269043	-16.366506576538086	2	0.9826936721801758	0.9865319728851318	-0.05493008417005729	0.12809276580810547	none
ljt_007b	pv_007	hold back	unacceptable	held back	Poor training held back the young players, so they improved quickly.	prevent progress or potential	semantic_contradiction	-2.476602092815133	-32.19582720659673	13	-8.311346054077148	-16.622692108154297	2	0.9826936721801758	0.9865319728851318	-0.05493008417005729	0.12809276580810547	none
ljt_008a	pv_008	move up	acceptable	moved up	She moved up to a senior role last year.	advance to a higher position	none	-1.872514701448381	-18.72514701448381	10	-4.256026744842529	-8.512053489685059	2	0.9215044379234314	0.9496569633483887	0.225139694288373	-0.5858757495880127	target_fit_not_higher_for_acceptable
ljt_008b	pv_008	move up	unacceptable	moved up	She moved up to a junior role last year.	advance to a higher position	directional_semantic_mismatch	-2.097654395736754	-20.97654395736754	10	-3.6701509952545166	-7.340301990509033	2	0.9215044379234314	0.9496569633483887	0.225139694288373	-0.5858757495880127	target_fit_not_higher_for_acceptable
ljt_009a	pv_009	get on	acceptable	got on	The tourists got on the bus near the station.	board a vehicle	none	-2.415019055083394	-24.15019055083394	10	-2.598948299884796	-5.197896599769592	2	0.6762694716453552	0.7050217986106873	-1.1238203342521695	-0.8787723183631897	target_fit_not_higher_for_acceptable
