trial_order	list_id	item_id	target_slot_id	original_pv_id	original_pv	current_target_pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_set	quality_status	review_score_100	revision_priority	pair_rationale	notes
1	A	cljt_036b	cljt_036	pv_036	go up	hold up	unacceptable	unacceptable	held up	The appeal held up the construction blueprint.	delay progress or completion	delayed_process_object_mismatch	multi_agent_revision_v1	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	Both objects are construction-administration nouns; a permit process can be delayed by an appeal, whereas a blueprint is a document, not the progress point being held up.	multi-agent synthesis v1; replaces payment/receipt pair because receipt can also be delayed; appeal subject suppresses literal holding-up readings.
2	A	cljt_020a	cljt_020	pv_020	turn up	turn up	acceptable	acceptable	turned up	The witness turned up at court.	arrive or appear	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both complements are legal-domain nouns; court is a location/event site, whereas testimony is not a place where someone turns up.	v6 candidate: pre-audio expert review required; do not record yet; Arrival sense can work, but turn up also means increase volume and be found.
3	A	cljt_031a	cljt_031	pv_031	turn around	turn around	acceptable	acceptable	turned around	The coach turned around the season.	make something successful after problems	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are sports-outcome nouns; a season can be transformed, whereas a defeat itself is not normally turned around after the fact.	v6 candidate: pre-audio expert review required; do not record yet; Improvement-after-problems sense can work with teams/companies if outcome words are controlled.
4	A	cljt_003a	cljt_003	pv_003	give out	set up	acceptable	acceptable	set up	The agency set up a review process.	establish_create_or_arrange	none	v2_replacement	production_candidate_after_native_review	90	native_review_then_pilot_strong	Process and finding are review-domain nouns; only the process can naturally be established or arranged.	replaces pv_003 give out; candidate_id=rep_018; original_v6_action=replace_or_rewrite; Check whether set up a finding is impossible for all native reviewers.
5	A	cljt_030b	cljt_030	pv_030	put up	put up	unacceptable	unacceptable	put up	The bidder put up the required estimate.	provide money or security for a purpose	security_payment_object_mismatch	multi_agent_revision_v1	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	Both objects are procurement-domain requirements; a deposit can be put up as security, whereas an estimate is submitted or provided rather than put up in this sense.	multi-agent synthesis v1; replaces banner/brochure display pair because put up a brochure is plausibly acceptable; security-money sense improves C1 construct fit.
6	A	cljt_025b	cljt_025	pv_025	clean up	throw out	unacceptable	unacceptable	threw out	The committee threw out the weak agenda.	reject_or_refuse_to_consider	wrong_rejection_object	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Proposal and agenda are meeting-domain objects; proposal is rejectable, agenda is normally revised or changed.	replaces pv_025 clean up; candidate_id=rep_010; original_v6_action=replace_or_rewrite; Check whether throw out the agenda can mean discard/cancel agenda.
7	A	cljt_023a	cljt_023	pv_023	bring in	bring in	acceptable	acceptable	brought in	The firm brought in a consultant.	ask someone to do a job or task	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are professional-service nouns; the target sense requires a person or role, not the service event itself.	v6 candidate: pre-audio expert review required; do not record yet; Recruit/ask-someone sense requires human role contexts; many abstractions can be brought in.
8	A	cljt_024a	cljt_024	pv_024	put out	bring out	acceptable	acceptable	brought out	The publisher brought out a revised edition.	release_to_public	none	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Edition and appointment are publishing/professional-domain nouns; appointment is not released as a publication.	replaces pv_024 put out; candidate_id=rep_009; original_v6_action=replace_or_rewrite; Select release sense only; avoid make-quality-noticeable sense.
9	A	cljt_042b	cljt_042	pv_042	carry out	carry out	unacceptable	unacceptable	carried out	The researchers carried out the hypothesis.	conduct or perform a task	research_task_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	Both objects are research-domain nouns; analysis is a task that can be carried out, whereas hypothesis is a proposition to test.	v6 candidate: pre-audio expert review required; do not record yet; Conduct/perform task sense is strong for academic LJT; use plausible wrong task objects.
10	A	cljt_001a	cljt_001	pv_001	break off	break off	acceptable	acceptable	broke off	The union broke off the talks.	end talks or a relationship	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.	v6 candidate: pre-audio expert review required; do not record yet; Use negotiation/relationship contexts; avoid object-category anomalies such as agenda.
11	A	cljt_046b	cljt_046	pv_046	follow up	follow up	unacceptable	unacceptable	followed up	The doctor followed up after the thermometer.	take further action after something	follow_up_event_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	84	minor_revision_before_pilot	Both complements are medical-domain nouns; the follow-up frame requires an event or case, not an instrument.	v6 candidate: pre-audio expert review required; do not record yet; Further-action sense can work with medical/research follow-up contexts.
12	A	cljt_014b	cljt_014	pv_014	turn over	turn over	unacceptable	unacceptable	turned over	The clerk turned over the permission to police.	give control or possession to an authority	authority_transfer_object_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are administrative/legal nouns; records can be surrendered to authorities, but permission is not an object surrendered in this frame.	v6 candidate: pre-audio expert review required; do not record yet; Authority-transfer sense can work, but literal turning-over sense must be suppressed.
13	A	cljt_043a	cljt_043	pv_043	rule out	rule out	acceptable	acceptable	ruled out	The doctor ruled out infection.	exclude a possibility	none	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	Both objects are medical-domain nouns; infection can be excluded as a possibility, whereas symptoms are observed signs, not the ruled-out condition.	v6 candidate: pre-audio expert review required; do not record yet; Exclude-possibility sense is a strong academic candidate with manageable near-misses.
14	A	cljt_013a	cljt_013	pv_013	run out	run out	acceptable	acceptable	ran out	The lab ran out of samples.	use all of something	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are research-domain nouns; samples can be depleted as supplies, whereas findings are not normally used up as a stock.	v6 candidate: pre-audio expert review required; do not record yet; Depletion can be tested with countable resources; avoid impossible object categories.
15	A	cljt_015a	cljt_015	pv_015	put on	put on	acceptable	acceptable	put on	The theater put on a musical.	present or stage an event	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects belong to theater contexts; the unacceptable item uses a theater-related artifact rather than an event or performance.	v6 candidate: pre-audio expert review required; do not record yet; Event-staging sense can work, but clothing/application senses are strong competitors.
16	A	cljt_032b	cljt_032	pv_032	back up	back up	unacceptable	unacceptable	backed up	The data backed up the confusion.	support with evidence	evidence_support_object_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both nouns are research-discourse nouns; data can support a conclusion, but not confusion as a claim.	v6 candidate: pre-audio expert review required; do not record yet; Evidence-support sense can work; computer copy/reverse senses must be suppressed.
17	A	cljt_033b	cljt_033	pv_033	look out	open up	unacceptable	unacceptable	opened up	The ruling opened up new appeal deadlines.	make available or possible	availability_object_mismatch	multi_agent_revision_v1	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	Both objects are appeal-domain outcomes; options can become available, whereas deadlines are set, extended, or missed rather than opened up.	multi-agent synthesis v1; revises opportunities/objections pair because objections could be caused or invited by a policy; legal appeal frame blocks disclosure/speaking readings.
18	A	cljt_006a	cljt_006	pv_006	sit back	take on	acceptable	acceptable	took on	The lawyer took on the difficult case.	undertake_role_task_or_responsibility	none	v2_replacement	production_candidate_after_native_review	90	native_review_then_pilot_strong	Case and verdict are legal-domain nouns; only the case is a responsibility one can undertake.	replaces pv_006 sit back; candidate_id=rep_019; original_v6_action=replace_or_rewrite; Strong candidate, but verify that verdict is not interpretable as a challenge.
19	A	cljt_048b	cljt_048	pv_048	work out	work out	unacceptable	unacceptable	worked out	The students worked out the pencil.	find or calculate a solution	problem_solving_object_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	85	native_review_then_pilot	Both objects are classroom-domain nouns; equation is a problem that can be solved, whereas pencil is not.	v6 candidate: pre-audio expert review required; do not record yet; Solution/calculation sense is strong if both conditions involve problems or quantities.
20	A	cljt_045a	cljt_045	pv_045	sum up	sum up	acceptable	acceptable	summed up	The abstract summed up the study.	summarize the main points	none	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	Both nouns are academic-document nouns; an abstract summarizes a study, not a heading.	v6 candidate: pre-audio expert review required; do not record yet; Summarize-content sense is strong if both conditions use text/content objects.
21	A	cljt_011a	cljt_011	pv_011	stand out	stand out	acceptable	acceptable	stood out	One essay stood out among submissions.	be noticeable or impressive	none	v6_retained_or_reserve	prelim_pass_native_review_required	84	minor_revision_before_pilot	Both nouns are writing-domain nouns; the unacceptable item changes the comparison set from same-class submissions to document parts.	v6 candidate: pre-audio expert review required; do not record yet; Use comparison among same-class candidates; avoid odd comparison sets.
22	A	cljt_009b	cljt_009	pv_009	get on	get on	unacceptable	unacceptable	got on	The passengers got on the station.	board a vehicle	transport_anchor_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both nouns are transport-domain nouns; only a vehicle-like noun is compatible with the boarding sense.	v6 candidate: pre-audio expert review required; do not record yet; Transport sense is clear, but unacceptable item must remain in transport context rather than object category.
23	A	cljt_012b	cljt_012	pv_012	pull back	pull back	unacceptable	unacceptable	pulled back	The investors pulled back from the approval.	withdraw from an activity	same_domain_complement_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both complements are decision-domain nouns; the unacceptable item uses a state/result where an activity or commitment is expected.	v6 candidate: pre-audio expert review required; do not record yet; Withdrawal sense can work if both conditions describe activities or commitments.
24	A	cljt_022b	cljt_022	pv_022	cut off	cut off	unacceptable	unacceptable	cut off	The lender cut off the credit rating.	stop providing a supply, service, or access	resource_access_object_mismatch	multi_agent_revision_v1	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	Both objects are finance-domain credit nouns; a credit line is an access/resource that can be stopped, whereas a credit rating is an evaluation rather than a supply.	multi-agent synthesis v1; replaces host/caller/topic pair because cut off the topic can mean stop discussing it; finance frame blocks physical cutting and speech interruption readings.
25	A	cljt_047a	cljt_047	pv_047	lay out	lay out	acceptable	acceptable	laid out	The diagram laid out the process.	present or arrange clearly	none	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	Both objects are document/information nouns; diagram can present a process clearly, not normally a footnote.	v6 candidate: pre-audio expert review required; do not record yet; Present/organize-information sense is strong, but literal arrangement sense must be avoided.
26	A	cljt_044b	cljt_044	pv_044	point out	point out	unacceptable	unacceptable	pointed out	The review pointed out the appendix.	draw attention to information	information_object_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	81	minor_revision_before_pilot	Both objects are academic-document nouns; the review can identify a limitation, whereas appendix is a document part and creates weaker target fit.	v6 candidate: pre-audio expert review required; do not record yet; Draw-attention sense is strong if both sentences keep human/author subjects.
27	A	cljt_004a	cljt_004	pv_004	put in	take up	acceptable	acceptable	took up	The committee took up the funding issue.	discuss_or_deal_with_issue	none	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Issue and outcome are same institutional domain; outcome is less naturally taken up as an agenda item.	replaces pv_004 put in; candidate_id=rep_002; original_v6_action=replace_or_rewrite; Check whether take up the outcome is acceptable as discuss outcome.
28	A	cljt_040b	cljt_040	pv_040	come out	come out	unacceptable	unacceptable	came out	The senator came out against the evidence.	publicly declare a position	stance_target_mismatch	multi_agent_revision_v1	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	Both objects belong to public-hearing or policy discourse; a proposal is a stance target one can come out against, whereas evidence is normally challenged or disputed, not opposed through this come-out-against frame.	multi-agent synthesis v1; replaces reveal-sense secret/witness pair because person subjects invite literal/social readings; stance frame makes the target sense clearer.
29	A	cljt_038b	cljt_038	pv_038	come on	turn down	unacceptable	unacceptable	turned down	The board turned down the evidence.	refuse_or_reject_offer_request_opportunity	wrong_refusal_object	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Proposal and evidence are decision-domain objects; evidence is normally excluded or dismissed, not turned down.	replaces pv_038 come on; candidate_id=rep_016; original_v6_action=drop; Check legal/register acceptability of turn down evidence.
30	A	cljt_028b	cljt_028	pv_028	reach out	reach out	unacceptable	unacceptable	reached out	The nurse reached out to symptoms.	contact someone or offer help	recipient_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	84	minor_revision_before_pilot	Both complements are health-domain nouns; the target sense requires a person or group that can be contacted.	v6 candidate: pre-audio expert review required; do not record yet; Communication/help sense can work with human/institutional recipients.
