review_order	pv_id	pv	acceptable_item_id	acceptable_sentence	unacceptable_item_id	unacceptable_sentence	bert_flags	expert_flag	diagnostic_reason	current_recommendation	intended_sense_clear_1_5	acceptable_sentence_natural_1_5	unacceptable_sentence_near_miss_1_5	unacceptable_sentence_rejectable_for_intended_reason_1_5	audio_suitable_1_5	decision_keep_revise_drop	suggested_revision	reviewer_comments
1	pv_042	carry out	ljt_042a	The researchers carried out the survey in three schools.	ljt_042b	The researchers carried out the survey in three schools but never collected any data.	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	yes	expert-review flag: task_completion_contradiction; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording								
2	pv_047	lay out	ljt_047a	The introduction laid out the plan for the paper.	ljt_047b	The introduction laid out the plan for the paper but never described the plan.	low_full_sentence_similarity	yes	expert-review flag: presentation_contradiction	send to expert review before audio recording								
3	pv_034	take out	ljt_034a	He took out a loan to pay for the course.	ljt_034b	He took out a loan but borrowed no money.	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision								
4	pv_023	bring in	ljt_023a	The firm brought in an expert to solve the problem.	ljt_023b	The firm brought in an expert, but no expert joined the project.	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision								
5	pv_006	sit back	ljt_006a	The mayor sat back while the problem grew.	ljt_006b	The mayor sat back while he personally led the response.	target_fit_gap_extreme	no	BERT target-fit gap is unusually large	check whether the unacceptable sentence is too easy								
6	pv_015	put on	ljt_015a	The school put on a play for the visitors.	ljt_015b	The school put on a play but never performed it.	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision								
7	pv_048	work out	ljt_048a	The students worked out the answer after class.	ljt_048b	The students worked out the answer but never tried to solve it.	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	yes	expert-review flag: solution_process_contradiction; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording								
8	pv_010	come along	ljt_010a	A better chance came along during the project.	ljt_010b	A better chance came along, although nothing new appeared.	target_fit_not_higher_for_acceptable	yes	expert-review flag: semantic_contradiction_strength; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording								
9	pv_022	cut off	ljt_022a	The host cut off the speaker mid-sentence.	ljt_022b	The host cut off the speaker after the answer was complete.	unacceptable_much_less_natural;target_fit_not_higher_for_acceptable	yes	expert-review flag: temporal_mismatch; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording								
10	pv_017	make out	ljt_017a	I could barely make out the sign in the dark.	ljt_017b	I could barely make out the sign, although it was clear and easy to read.	none	yes	expert-review flag: clarity_contradiction	send to expert review before audio recording								
11	pv_038	come on	ljt_038a	Oh, come on, that cannot be true.	ljt_038b	Oh, come on, that is exactly right.	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	yes	expert-review flag: prosody_sensitive; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording								
