screen_order	stimulus_text	rater_common_pv_yes_no_unsure	rater_naturalness_1_4	rater_comments
1	take back			
2	explain up			
3	go down			
4	sleep outside			
5	sum up			
6	estimate around			
7	come on			
8	pause before			
9	identify off			
10	sit near			
11	point out			
12	keep up			
13	swim across			
14	suggest over			
15	mention down			
16	set out			
17	run out			
18	drive past			
19	look north			
20	get down			
21	step sideways			
22	include back			
23	work out			
24	bring in			
25	put up			
26	prepare on			
27	require out			
28	travel beyond			
29	put in			
30	notice through			
31	rule out			
32	report up			
33	get off			
34	fly above			
35	park outside			
36	wait inside			
37	come in			
38	look out			
39	make out			
40	live beside			
41	choose down			
42	walk nearby			
43	lean beside			
44	go up			
45	pull back			
46	clean up			
47	cut off			
48	lay out			
49	design off			
50	pay off			
51	hand over			
52	turn over			
53	turn around			
54	move up			
55	get on			
56	hold back			
57	argue back			
58	turn left			
59	stay near			
60	put on			
61	carry out			
62	walk across			
63	crawl under			
64	sit back			
65	rest inside			
66	break down			
67	wait outside			
68	reach out			
69	stand out			
70	observe around			
71	measure back			
72	give out			
73	move sideways			
74	take out			
75	claim out			
76	bring about			
77	examine up			
78	reduce on			
79	put out			
80	stand below			
81	look back			
82	back up			
83	arrive after			
84	break off			
85	increase back			
86	describe off			
87	come out			
88	turn up			
89	kneel beside			
90	compare up			
91	define out			
92	come along			
93	accept off			
94	follow up			
95	take in			
96	prefer down			
