trial_order	phase	task	list_id	item_id	pv_id	pv	condition	expected_response	stimulus_text	target_form	audio_file_name	notes
1	practice	aural_pv_ljt_c_level_v4_multi_agent	A	practice_ljt_v5_001		wake up	acceptable	acceptable	Mina woke up before the alarm.	woke up	rec_practice_ljt_v5_001.wav	interface practice reused from v5 production; not part of C-level scoring
2	practice	aural_pv_ljt_c_level_v4_multi_agent	A	practice_ljt_v5_002		wake up	unacceptable	unacceptable	Mina woke up before the pencil.	woke up	rec_practice_ljt_v5_002.wav	interface practice reused from v5 production; not part of C-level scoring
3	practice	aural_pv_ljt_c_level_v4_multi_agent	A	practice_ljt_v5_003		turn off	acceptable	acceptable	Please turn off the lamp.	turn off	rec_practice_ljt_v5_003.wav	interface practice reused from v5 production; not part of C-level scoring
4	practice	aural_pv_ljt_c_level_v4_multi_agent	A	practice_ljt_v5_004		turn off	unacceptable	unacceptable	Please turn off the sandwich.	turn off	rec_practice_ljt_v5_004.wav	interface practice reused from v5 production; not part of C-level scoring
5	practice	aural_pv_ljt_c_level_v4_multi_agent	A	practice_ljt_v5_005		give up	acceptable	acceptable	He gave up smoking last year.	gave up	rec_practice_ljt_v5_005.wav	interface practice reused from v5 production; not part of C-level scoring
6	practice	aural_pv_ljt_c_level_v4_multi_agent	A	practice_ljt_v5_006		give up	unacceptable	unacceptable	He gave up rainfall last year.	gave up	rec_practice_ljt_v5_006.wav	interface practice reused from v5 production; not part of C-level scoring
7	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_036b	pv_036	hold up	unacceptable	unacceptable	The appeal held up the construction blueprint.	held up	rec_ljt_v4_multi_agent_cljt_036b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v1; replaces payment/receipt pair because receipt can also be delayed; appeal subject suppresses literal holding-up readings.
8	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_020a	pv_020	break out	acceptable	acceptable	A dispute broke out during mediation.	broke out	rec_ljt_v4_multi_agent_cljt_020a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v3; replaces turn up because arrival/appearance sense is transparent and competes with increase/found readings.
9	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_031a	pv_031	go through	acceptable	acceptable	The amendment went through the committee.	went through	rec_ljt_v4_multi_agent_cljt_031a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=91; multi-agent synthesis v2; replaces turn around because improvement/reversal/work-speed readings remain hard to control in one short aural sentence.
10	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_003a	pv_003	set up	acceptable	acceptable	The agency set up a review process.	set up	rec_ljt_v4_multi_agent_cljt_003a.wav	quality_status=production_candidate_after_native_review; review_score_100=90; replaces pv_003 give out; candidate_id=rep_018; original_v6_action=replace_or_rewrite; Check whether set up a finding is impossible for all native reviewers.
11	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_030b	pv_030	put up	unacceptable	unacceptable	The bidder put up the required estimate.	put up	rec_ljt_v4_multi_agent_cljt_030b.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=90; multi-agent synthesis v1; replaces banner/brochure display pair because put up a brochure is plausibly acceptable; security-money sense improves C1 construct fit.
12	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_025b	pv_025	throw out	unacceptable	unacceptable	The committee threw out the weak agenda.	threw out	rec_ljt_v4_multi_agent_cljt_025b.wav	quality_status=minor_revision_needed; review_score_100=86; replaces pv_025 clean up; candidate_id=rep_010; original_v6_action=replace_or_rewrite; Check whether throw out the agenda can mean discard/cancel agenda.
13	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_023a	pv_023	bring in	acceptable	acceptable	The campaign brought in large donations.	brought in	rec_ljt_v4_multi_agent_cljt_023a.wav	quality_status=multi_agent_revision_native_review_required; review_score_100=92; multi-agent synthesis v2; replaces consultant/consultation role contrast with finance-support sense for stronger C1-level semantic dependency.
14	main	aural_pv_ljt_c_level_v4_multi_agent	A	cljt_024a	pv_024	bring out	acceptable	acceptable	The publisher brought out a revised edition.	brought out	rec_ljt_v4_multi_agent_cljt_024a.wav	quality_status=minor_revision_needed; review_score_100=86; replaces pv_024 put out; candidate_id=rep_009; original_v6_action=replace_or_rewrite; Select release sense only; avoid make-quality-noticeable sense.
