voice_id	name	category	description	accent	gender	age	use_case	preview_url	stability	similarity_boost	style	speed
hpp4J3VqNfWAUOO0d1Us	Bella - Professional, Bright, Warm	premade	This voice is warm, bright, and professional, characterized by a Standard American accent and a polished, narrative quality. It features a medium-high pitch with crisp diction and a deliberate, rhythmic pace that makes it highly intelligible and engaging for long-form listening.	american	female	middle_aged	informative_educational	https://storage.googleapis.com/eleven-public-prod/premade/voices/hpp4J3VqNfWAUOO0d1Us/dab0f5ba-3aa4-48a8-9fad-f138fea1126d.mp3				
w5CzphO4jVhz9aH0XUPF	My Voice	cloned	自然な日本語音声					https://api.us.elevenlabs.io/v1/voices/w5CzphO4jVhz9aH0XUPF/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJjdXN0b20iLCJ3b3Jrc3BhY2VfaWQiOiJiMjYxZmM4N2ZlMGM0YWRmODZiNzIwZjQwYjFmN2E0MSIsImZpbGVuYW1lIjoiY2FlOGQ1MDAtYjhjMi00Zjk3LTliNTYtZjNiM2U0NzNiZWIwLm1wMyIsInRpbWVzdGFtcCI6MTc4MzAxMTYwMDAwMDAwMH0%3D				
CwhRBWXzGAHq8TQ4Fs17	Roger - Laid-Back, Casual, Resonant	premade	Easy going and perfect for casual conversations.	american	male	middle_aged	conversational	https://storage.googleapis.com/eleven-public-prod/premade/voices/CwhRBWXzGAHq8TQ4Fs17/58ee3ff5-f6f2-4628-93b8-e38eb31806b0.mp3				
EXAVITQu4vr4xnSDxMaL	Sarah - Mature, Reassuring, Confident	premade	Young adult woman with a confident and warm, mature quality and a reassuring, professional tone.	american	female	young	entertainment_tv	https://storage.googleapis.com/eleven-public-prod/premade/voices/EXAVITQu4vr4xnSDxMaL/01a3e33c-6e99-4ee7-8543-ff2216a32186.mp3				
FGY2WhTYpPnrIDTdsKH5	Laura - Enthusiast, Quirky Attitude	premade	This young adult female voice delivers sunny enthusiasm with a quirky attitude.	american	female	young	social_media	https://api.us.elevenlabs.io/v1/voices/FGY2WhTYpPnrIDTdsKH5/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJwcmVtYWRlIiwiZmlsZW5hbWUiOiI2NzM0MTc1OS1hZDA4LTQxYTUtYmU2ZS1kZTEyZmU0NDg2MTgubXAzIiwidGltZXN0YW1wIjoxNzgzMDExNjAwMDAwMDAwfQ%3D%3D				
IKne3meq5aSn9XLyUdCD	Charlie - Deep, Confident, Energetic	premade	A young Australian male with a confident and energetic voice.	australian	male	young	conversational	https://api.us.elevenlabs.io/v1/voices/IKne3meq5aSn9XLyUdCD/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJwcmVtYWRlIiwiZmlsZW5hbWUiOiIxMDJkZTZmMi0yMmVkLTQzZTAtYTFmMS0xMTFmYTc1YzU0ODEubXAzIiwidGltZXN0YW1wIjoxNzgzMDExNjAwMDAwMDAwfQ%3D%3D				
JBFqnCBsd6RMkjVDRZzb	George - Warm, Captivating Storyteller	premade	Warm resonance that instantly captivates listeners.	british	male	middle_aged	narrative_story	https://api.us.elevenlabs.io/v1/voices/JBFqnCBsd6RMkjVDRZzb/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJwcmVtYWRlIiwiZmlsZW5hbWUiOiJlNjIwNmQxYS0wNzIxLTQ3ODctYWFmYi0wNmE2ZTcwNWNhYzUubXAzIiwidGltZXN0YW1wIjoxNzgzMDExNjAwMDAwMDAwfQ%3D%3D				
N2lVS1w4EtoT3dr4eOWO	Callum - Husky Trickster	premade	Deceptively gravelly, yet unsettling edge.	american	male	middle_aged	characters_animation	https://storage.googleapis.com/eleven-public-prod/premade/voices/N2lVS1w4EtoT3dr4eOWO/ac833bd8-ffda-4938-9ebc-b0f99ca25481.mp3				
SAz9YHcvj6GT2YYXdXww	River - Relaxed, Neutral, Informative	premade	A relaxed, neutral voice ready for narrations or conversational projects.	american	neutral	middle_aged	conversational	https://storage.googleapis.com/eleven-public-prod/premade/voices/SAz9YHcvj6GT2YYXdXww/e6c95f0b-2227-491a-b3d7-2249240decb7.mp3				
SOYHLrjzK2X1ezoPC6cr	Harry - Fierce Warrior	premade	An animated warrior ready to charge forward.	american	male	young	characters_animation	https://storage.googleapis.com/eleven-public-prod/premade/voices/SOYHLrjzK2X1ezoPC6cr/86d178f6-f4b6-4e0e-85be-3de19f490794.mp3				
