pv_id	pv	source	meaning	register_focus	v5_decision	v5_general_cue_risk_1_4	v5_pv_dependency_1_4	construct_fit_1_4	near_miss_feasibility_1_4	polysemy_risk_1_4	audio_risk_1_4	v6_action	critical_note
pv_001	break off	Sonbul_ElDakhs_2024_supplement	Put an end to STH (relationship, discussion, talks, negotiations)	general	revise_minor	2	3	3	3	2	1	revise	Use negotiation/relationship contexts; avoid object-category anomalies such as agenda.
pv_002	hand over	Sonbul_ElDakhs_2024_supplement	Surrender control or responsibility for STH/SB to SB else, esp. officially	general	revise_minor	2	3	3	3	2	1	revise	Use possession/control-transfer contexts with plausible entities; avoid non-transferable abstractions.
pv_003	give out	Sonbul_ElDakhs_2024_supplement	Collapse, fail; stop functioning properly (heart, knees)	general	revise_major	4	2	2	2	3	2	replace_or_rewrite	Collapse/fail sense is difficult without obvious world-knowledge cues; may require dropping.
pv_004	put in	Sonbul_ElDakhs_2024_supplement	Invest or devote so as to achieve STH (time, effort, work)	general	revise_major	3	2	2	2	4	1	replace_or_rewrite	Put in has many literal/legal/work senses; near-miss control is unstable.
pv_005	take in	Sonbul_ElDakhs_2024_supplement	Fully understand or grasp the meaning of STH	general	revise_major	4	2	2	2	4	1	replace_or_rewrite	Comprehension sense overlaps with physical taking-in and intake senses; hard to isolate in one sentence.
pv_006	sit back	Sonbul_ElDakhs_2024_supplement	Deliberately take no action/remain passive about STH	general	revise_major	3	2	2	2	4	3	replace_or_rewrite	Posture and passive-inaction senses compete; intonation/context may decide the interpretation.
pv_007	hold back	Sonbul_ElDakhs_2024_supplement	Prevent SB/STH from reaching their full potential	general	revise_major	3	2	2	2	3	1	replace_or_rewrite	Prevent-progress meaning is causal and world-knowledge heavy; near-miss contexts are fragile.
pv_008	move up	Sonbul_ElDakhs_2024_supplement	Move to a better position; advance to a higher level/rank	general	keep_with_caution	1	4	4	4	2	1	keep_revise_lightly	Hierarchy/status contrast is locally tied to the PV and comparatively robust.
pv_009	get on	Sonbul_ElDakhs_2024_supplement	Board some form of public transportation (train, bus, plane, elevator)	general	revise_major	4	2	3	3	3	1	revise	Transport sense is clear, but unacceptable item must remain in transport context rather than object category.
pv_010	come along	Sonbul_ElDakhs_2024_supplement	Appear or arrive; come into existence	general	revise_major	3	2	2	2	4	2	replace_or_rewrite	Appear/arrive sense is too broad; many nouns can naturally come along.
pv_011	stand out	Sonbul_ElDakhs_2024_supplement	Distinguish oneself/itself by being better, more significant or more impressive than other people/things	general	revise_minor	2	3	3	3	2	1	revise	Use comparison among same-class candidates; avoid odd comparison sets.
pv_012	pull back	Sonbul_ElDakhs_2024_supplement	Withdraw or retreat from an activity or location, esp. military	general	revise_minor	2	3	3	3	2	1	revise	Withdrawal sense can work if both conditions describe activities or commitments.
pv_013	run out	Sonbul_ElDakhs_2024_supplement	Use STH (or become used) completely so that nothing is left	general	revise_major	4	2	3	3	2	1	revise	Depletion can be tested with countable resources; avoid impossible object categories.
pv_014	turn over	Sonbul_ElDakhs_2024_supplement	Surrender possession or control to SB/STH (esp. in authority)	general	revise_minor	2	3	3	3	3	1	revise	Authority-transfer sense can work, but literal turning-over sense must be suppressed.
pv_015	put on	Sonbul_ElDakhs_2024_supplement	Present or stage (play, show, competition)	general	revise_minor	2	3	3	3	3	1	revise	Event-staging sense can work, but clothing/application senses are strong competitors.
pv_016	take back	Sonbul_ElDakhs_2024_supplement	Regain possession or control over STH	general	revise_major	4	2	3	3	2	1	revise	Use regain-control contexts; current acceptable sentence also needs rewriting.
pv_017	make out	Sonbul_ElDakhs_2024_supplement	See or hear with difficulty	general	drop_candidate	4	1	1	1	4	2	drop	Make out is too flexible across visual, auditory, and inferential senses; keyed unacceptable was unsafe.
pv_018	pay off	Sonbul_ElDakhs_2024_supplement	Pay back the effort spent in doing STH by becoming profitable or effective	general	revise_major	4	2	3	3	2	1	revise	Outcome-benefit sense can work if effort/investment and result are controlled.
pv_019	get off	Sonbul_ElDakhs_2024_supplement	Go away from, leave (train, bus, aircraft, lift)	general	revise_major	4	2	3	3	4	1	revise	Vehicle-leaving sense can work in travel contexts; avoid broad non-vehicle objects.
pv_020	turn up	Sonbul_ElDakhs_2024_supplement	Arrive or make an appearance somewhere	general	revise_major	4	2	3	3	4	1	revise	Arrival sense can work, but turn up also means increase volume and be found.
pv_021	get down	Sonbul_ElDakhs_2024_supplement	Lower one's body as by kneeling, sitting or lying	general	revise_major	4	2	2	2	4	1	replace_or_rewrite	Body-position sense is transparent and heavily physical; near-miss likely becomes world-knowledge cue.
pv_022	cut off	Sonbul_ElDakhs_2024_supplement	Interrupt SB as they are speaking	general	revise_major	3	2	3	3	4	1	revise	Interruption sense can work with speaking contexts; avoid object-cutting/service-stop senses.
pv_023	bring in	Sonbul_ElDakhs_2024_supplement	Ask SB to do a particular job or task	general	revise_major	4	1	3	3	4	1	revise	Recruit/ask-someone sense requires human role contexts; many abstractions can be brought in.
pv_024	put out	Sonbul_ElDakhs_2024_supplement	Make STH known or accessible to the public (information, products)	general	revise_major	3	2	2	2	4	1	replace_or_rewrite	Put out has too many senses; public-release sense is difficult to isolate in one sentence.
pv_025	clean up	Sonbul_ElDakhs_2024_supplement	Make STH free from dangerous, unacceptable or controversial activities or contents	general	revise_major	4	2	2	2	3	1	replace_or_rewrite	Remove-unacceptable-content sense is abstract and often solved from object cleanability.
pv_026	set out	Sonbul_ElDakhs_2024_supplement	Explain or present STH clearly, esp. officially and in writing	general	revise_major	4	2	3	3	4	1	revise	Explain/present-clearly sense can work in report/policy contexts; literal laying-out/travel senses compete.
pv_027	break down	Sonbul_ElDakhs_2024_supplement	Divide or separate into categories or smaller components so as to make it easier to understand or deal with	general	revise_minor	2	3	3	3	4	1	revise	Analysis/decomposition sense can work with problem/task contexts; avoid physical failure sense.
pv_028	reach out	Sonbul_ElDakhs_2024_supplement	Make an effort to address or communicate with SB, so as to help them or involve them in STH	general	revise_minor	2	3	3	3	3	1	revise	Communication/help sense can work with human/institutional recipients.
pv_029	keep up	Sonbul_ElDakhs_2024_supplement	Make STH continue	general	revise_major	4	2	2	2	4	1	replace_or_rewrite	Continuation sense is broad and formulaic; current item invites object-category anomalies.
pv_030	put up	Sonbul_ElDakhs_2024_supplement	Display or attach STH (e.g. to a wall) so it can be seen	general	revise_minor	2	3	3	3	4	1	revise	Display/attach sense can work but must avoid build/tolerate/price-increase senses.
pv_031	turn around	Sonbul_ElDakhs_2024_supplement	Make STH become better or more successful than it previously was (economy, business)	general	revise_minor	2	3	3	3	3	1	revise	Improvement-after-problems sense can work with teams/companies if outcome words are controlled.
pv_032	back up	Sonbul_ElDakhs_2024_supplement	Establish as valid or genuine	general	revise_minor	2	3	3	3	4	1	revise	Evidence-support sense can work; computer copy/reverse senses must be suppressed.
pv_033	look out	Sonbul_ElDakhs_2024_supplement	Look outside, or at the horizon	general	revise_major	4	2	2	2	4	1	replace_or_rewrite	Look outside sense is transparent and physical; near-miss tends to be object-category based.
pv_034	take out	Sonbul_ElDakhs_2024_supplement	Obtain an official document or service from an authority	general	revise_minor	2	3	3	3	4	1	revise	Official-service sense can work with loans/policies; remove-from-container and social-date senses compete.
pv_035	look back	Sonbul_ElDakhs_2024_supplement	Think of STH again, reconsider STH past	general	revise_major	4	2	2	2	4	1	replace_or_rewrite	Past-event recollection sense is hard to mismatch without temporal/common-sense cues.
pv_036	go up	Sonbul_ElDakhs_2024_supplement	Become higher in value; increase	general	revise_major	3	2	2	2	3	1	replace_or_rewrite	Increase sense is transparent and likely solved by numbers/world knowledge.
pv_037	go down	Sonbul_ElDakhs_2024_supplement	Decrease in value or amount	general	revise_major	3	2	2	2	3	1	replace_or_rewrite	Decrease sense is transparent and likely solved by numbers/world knowledge.
pv_038	come on	Sonbul_ElDakhs_2024_supplement	Said to show SB disbelief, disagreement, or anger	general	drop_candidate	4	1	1	1	4	4	drop	Discourse marker is prosody-dependent and unsuitable for stable audio LJT keying.
pv_039	come in	Sonbul_ElDakhs_2024_supplement	Become involved in a situation	general	revise_major	4	1	2	2	4	1	replace_or_rewrite	Become-involved sense competes with literal enter-place sense; near-miss contexts are difficult.
pv_040	come out	Sonbul_ElDakhs_2024_supplement	Become known or revealed after being kept secret	general	revise_major	4	2	3	3	3	1	revise	Reveal sense can work with information/truth/news contexts; avoid subject-category anomalies.
pv_041	bring about	S&AW_PHaVE	Cause to happen or emerge, especially something positive	academic	revise_major	4	2	3	3	2	1	revise	Causation sense can work in academic contexts if result nouns are controlled.
pv_042	carry out	S&AW_PHaVE	Conduct, perform, or complete a task, plan, study, or duty	academic	revise_minor	2	3	4	4	2	1	keep_revise_lightly	Conduct/perform task sense is strong for academic LJT; use plausible wrong task objects.
pv_043	rule out	S&AW_PHaVE	Exclude something as impossible or unsuitable	academic	revise_minor	2	3	4	4	2	1	keep_revise_lightly	Exclude-possibility sense is a strong academic candidate with manageable near-misses.
pv_044	point out	S&AW_PHaVE	Direct attention to a fact, idea, or piece of information	academic	revise_major	4	2	4	4	2	1	keep_revise_lightly	Draw-attention sense is strong if both sentences keep human/author subjects.
pv_045	sum up	S&AW_PHaVE	Summarize the main points of something	academic	revise_major	3	2	4	4	2	1	keep_revise_lightly	Summarize-content sense is strong if both conditions use text/content objects.
pv_046	follow up	S&AW_PHaVE	Take further action after something has started or been reported	academic	revise_major	4	2	3	3	3	1	revise	Further-action sense can work with medical/research follow-up contexts.
pv_047	lay out	S&AW_PHaVE	Present or arrange information clearly	academic	revise_major	4	2	4	4	3	1	keep_revise_lightly	Present/organize-information sense is strong, but literal arrangement sense must be avoided.
pv_048	work out	S&AW_PHaVE	Find, calculate, or understand a solution	academic_general	revise_major	4	2	4	4	3	1	keep_revise_lightly	Solution/calculation sense is strong if both conditions involve problems or quantities.
