trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
1	B	ljt_008a	pv_008	move up	acceptable	acceptable	moved up	She moved up to a senior role last year.	advance to a higher position	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
2	B	ljt_045b	pv_045	sum up	unacceptable	unacceptable	summed up	The final paragraph summed up the argument by adding a new topic.	summarize the main points	semantic_contradiction	S&AW_PHaVE	revised after expert review: replaced odd object with summary contradiction; carried forward to v3
3	B	ljt_001b	pv_001	break off	unacceptable	unacceptable	broke off	After weeks of argument, the union broke off the talks but kept negotiating without a pause.	end talks or a relationship	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
4	B	ljt_011b	pv_011	stand out	unacceptable	unacceptable	stood out	Her ordinary answer stood out as exactly like all the others.	be noticeable or impressive	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: reduced context dependence; carried forward to v3
5	B	ljt_015b	pv_015	put on	unacceptable	unacceptable	put on	The school put on a play but never performed it.	present or stage an event	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with event contradiction; carried forward to v3
6	B	ljt_031b	pv_031	turn around	unacceptable	unacceptable	turned around	The new coach turned around the team by making it lose every game.	make something successful after problems	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced weather with improvement contradiction; carried forward to v3
7	B	ljt_034a	pv_034	take out	acceptable	acceptable	took out	He took out a loan to pay for the course.	obtain an official service or document	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
8	B	ljt_037b	pv_037	go down	unacceptable	unacceptable	went down	The price went down from five dollars to ten.	decrease	directional_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	reviewed: directional mismatch retained; carried forward to v3
9	B	ljt_010a	pv_010	come along	acceptable	acceptable	came along	A better chance came along during the project.	appear or arrive	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
10	B	ljt_039b	pv_039	come in	unacceptable	unacceptable	came in	Experts came in to help with the problem but never joined the project.	become involved	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	v3 BERT review: made come in unacceptable context parallel
11	B	ljt_020a	pv_020	turn up	acceptable	acceptable	turned up	He turned up late for the meeting.	arrive or appear	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
