pv_id	pv	source	meaning	register_focus	v6_action	construct_fit_1_4	near_miss_feasibility_1_4	polysemy_risk_1_4	audio_risk_1_4	replacement_priority	critical_note
pv_003	give out	Sonbul_ElDakhs_2024_supplement	Collapse, fail; stop functioning properly (heart, knees)	general	replace_or_rewrite	2	2	3	2	replace_before_audio	Collapse/fail sense is difficult without obvious world-knowledge cues; may require dropping.
pv_004	put in	Sonbul_ElDakhs_2024_supplement	Invest or devote so as to achieve STH (time, effort, work)	general	replace_or_rewrite	2	2	4	1	replace_before_audio	Put in has many literal/legal/work senses; near-miss control is unstable.
pv_005	take in	Sonbul_ElDakhs_2024_supplement	Fully understand or grasp the meaning of STH	general	replace_or_rewrite	2	2	4	1	replace_before_audio	Comprehension sense overlaps with physical taking-in and intake senses; hard to isolate in one sentence.
pv_006	sit back	Sonbul_ElDakhs_2024_supplement	Deliberately take no action/remain passive about STH	general	replace_or_rewrite	2	2	4	3	replace_before_audio	Posture and passive-inaction senses compete; intonation/context may decide the interpretation.
pv_007	hold back	Sonbul_ElDakhs_2024_supplement	Prevent SB/STH from reaching their full potential	general	replace_or_rewrite	2	2	3	1	replace_before_audio	Prevent-progress meaning is causal and world-knowledge heavy; near-miss contexts are fragile.
pv_010	come along	Sonbul_ElDakhs_2024_supplement	Appear or arrive; come into existence	general	replace_or_rewrite	2	2	4	2	replace_before_audio	Appear/arrive sense is too broad; many nouns can naturally come along.
pv_017	make out	Sonbul_ElDakhs_2024_supplement	See or hear with difficulty	general	drop	1	1	4	2	drop	Make out is too flexible across visual, auditory, and inferential senses; keyed unacceptable was unsafe.
pv_021	get down	Sonbul_ElDakhs_2024_supplement	Lower one's body as by kneeling, sitting or lying	general	replace_or_rewrite	2	2	4	1	replace_before_audio	Body-position sense is transparent and heavily physical; near-miss likely becomes world-knowledge cue.
pv_024	put out	Sonbul_ElDakhs_2024_supplement	Make STH known or accessible to the public (information, products)	general	replace_or_rewrite	2	2	4	1	replace_before_audio	Put out has too many senses; public-release sense is difficult to isolate in one sentence.
pv_025	clean up	Sonbul_ElDakhs_2024_supplement	Make STH free from dangerous, unacceptable or controversial activities or contents	general	replace_or_rewrite	2	2	3	1	replace_before_audio	Remove-unacceptable-content sense is abstract and often solved from object cleanability.
pv_029	keep up	Sonbul_ElDakhs_2024_supplement	Make STH continue	general	replace_or_rewrite	2	2	4	1	replace_before_audio	Continuation sense is broad and formulaic; current item invites object-category anomalies.
pv_033	look out	Sonbul_ElDakhs_2024_supplement	Look outside, or at the horizon	general	replace_or_rewrite	2	2	4	1	replace_before_audio	Look outside sense is transparent and physical; near-miss tends to be object-category based.
pv_035	look back	Sonbul_ElDakhs_2024_supplement	Think of STH again, reconsider STH past	general	replace_or_rewrite	2	2	4	1	replace_before_audio	Past-event recollection sense is hard to mismatch without temporal/common-sense cues.
pv_036	go up	Sonbul_ElDakhs_2024_supplement	Become higher in value; increase	general	replace_or_rewrite	2	2	3	1	replace_before_audio	Increase sense is transparent and likely solved by numbers/world knowledge.
pv_037	go down	Sonbul_ElDakhs_2024_supplement	Decrease in value or amount	general	replace_or_rewrite	2	2	3	1	replace_before_audio	Decrease sense is transparent and likely solved by numbers/world knowledge.
pv_038	come on	Sonbul_ElDakhs_2024_supplement	Said to show SB disbelief, disagreement, or anger	general	drop	1	1	4	4	drop	Discourse marker is prosody-dependent and unsuitable for stable audio LJT keying.
pv_039	come in	Sonbul_ElDakhs_2024_supplement	Become involved in a situation	general	replace_or_rewrite	2	2	4	1	replace_before_audio	Become-involved sense competes with literal enter-place sense; near-miss contexts are difficult.
