trial_order	list_id	ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
1	A	ljt_029a	pv_029	keep up	acceptable	acceptable	kept up	She kept up the good work.	make something continue	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
2	A	ljt_022b	pv_022	cut off	unacceptable	unacceptable	cut off	The host cut off the policy.	interrupt someone	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
3	A	ljt_047a	pv_047	lay out	acceptable	acceptable	laid out	The chart laid out the plan.	present or arrange clearly	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
4	A	ljt_016b	pv_016	take back	unacceptable	unacceptable	took back	The party took back the outcome.	regain control or possession	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
5	A	ljt_012b	pv_012	pull back	unacceptable	unacceptable	pulled back	The company pulled back from approval.	withdraw from an activity	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
6	A	ljt_042b	pv_042	carry out	unacceptable	unacceptable	carried out	The researchers carried out the deadline.	conduct or perform a task	object_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
7	A	ljt_039a	pv_039	come in	acceptable	acceptable	came in	Experts came in during planning.	become involved	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
8	A	ljt_017a	pv_017	make out	acceptable	acceptable	make out	I could barely make out the sign outside.	see or hear with difficulty	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
9	A	ljt_026b	pv_026	set out	unacceptable	unacceptable	set out	The report set out the pencils.	present or explain clearly	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
10	A	ljt_048b	pv_048	work out	unacceptable	unacceptable	worked out	The students worked out the carpet.	find or calculate a solution	object_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
11	A	ljt_031a	pv_031	turn around	acceptable	acceptable	turned around	The coach turned around the team.	make something successful after problems	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
12	A	ljt_046b	pv_046	follow up	unacceptable	unacceptable	followed up	The nurse followed up after furniture.	take further action after something	context_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
13	A	ljt_027a	pv_027	break down	acceptable	acceptable	broke down	The teacher broke down the problem.	divide into smaller parts	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
14	A	ljt_028b	pv_028	reach out	unacceptable	unacceptable	reached out	The manager reached out to deadlines.	contact someone or offer help	recipient_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
15	A	ljt_021a	pv_021	get down	acceptable	acceptable	got down	The soldiers got down behind the wall.	lower the body	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
16	A	ljt_024b	pv_024	put out	unacceptable	unacceptable	put out	Police put out a wallet.	make information public	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
17	A	ljt_007a	pv_007	hold back	acceptable	acceptable	held back	Poor training held back the players.	prevent progress or potential	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
18	A	ljt_019a	pv_019	get off	acceptable	acceptable	got off	The children got off the train.	leave a vehicle	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
19	A	ljt_004b	pv_004	put in	unacceptable	unacceptable	put in	She put in steady evidence yesterday.	devote time or effort	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
20	A	ljt_006b	pv_006	sit back	unacceptable	unacceptable	sat back	The mayor sat back during the sprint.	take no action	context_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
21	A	ljt_010b	pv_010	come along	unacceptable	unacceptable	came along	A rare schedule came along today.	appear or arrive	subject_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
22	A	ljt_018b	pv_018	pay off	unacceptable	unacceptable	paid off	The hard weather paid off eventually.	become successful or beneficial	subject_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
23	A	ljt_034b	pv_034	take out	unacceptable	unacceptable	took out	He took out a deadline yesterday.	obtain an official service or document	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
24	A	ljt_008b	pv_008	move up	unacceptable	unacceptable	moved up	She moved up to junior assistant.	advance to a higher position	hierarchy_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
25	A	ljt_001a	pv_001	break off	acceptable	acceptable	broke off	The committee broke off the negotiations.	end talks or a relationship	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
26	A	ljt_044b	pv_044	point out	unacceptable	unacceptable	pointed out	The pencil pointed out the error.	draw attention to information	subject_selection_mismatch	S&AW_PHaVE	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
27	A	ljt_002b	pv_002	hand over	unacceptable	unacceptable	handed over	The officer handed over the deadline.	give control or possession to someone	selectional_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
28	A	ljt_032b	pv_032	back up	unacceptable	unacceptable	backed up	The data backed up the deadline.	support with evidence	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
29	A	ljt_014b	pv_014	turn over	unacceptable	unacceptable	turned over	The officer turned over the deadline.	give control or possession to an authority	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
30	A	ljt_013a	pv_013	run out	acceptable	acceptable	ran out	The office ran out of paper.	use all of something	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
31	A	ljt_045a	pv_045	sum up	acceptable	acceptable	summed up	The paragraph summed up the argument.	summarize the main points	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
32	A	ljt_020b	pv_020	turn up	unacceptable	unacceptable	turned up	He turned up at the method.	arrive or appear	location_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
33	A	ljt_030b	pv_030	put up	unacceptable	unacceptable	put up	They put up music downtown.	display or attach something	object_selection_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
34	A	ljt_033a	pv_033	look out	acceptable	acceptable	looked out	She looked out at the garden.	look outside	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
35	A	ljt_025a	pv_025	clean up	acceptable	acceptable	cleaned up	The editor cleaned up the insults.	remove unacceptable content or behavior	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
36	A	ljt_038b	pv_038	come on	unacceptable	unacceptable	come on	Oh, come on, that sounds accurate.	express disbelief or disagreement	discourse_semantic_mismatch	Sonbul_ElDakhs_2024_supplement	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
37	A	ljt_015a	pv_015	put on	acceptable	acceptable	put on	The school put on a concert.	present or stage an event	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
38	A	ljt_011a	pv_011	stand out	acceptable	acceptable	stood out	Her analysis stood out among reports.	be noticeable or impressive	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
39	A	ljt_009a	pv_009	get on	acceptable	acceptable	got on	The tourists got on the bus.	board a vehicle	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
40	A	ljt_041a	pv_041	bring about	acceptable	acceptable	brought about	The reforms brought about major change.	cause something to happen	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
41	A	ljt_023a	pv_023	bring in	acceptable	acceptable	brought in	The firm brought in an expert.	ask someone to do a job or task	none	Sonbul_ElDakhs_2024_supplement	v5 production: short matched acceptable sentence; no overt contrast cue
42	A	ljt_043a	pv_043	rule out	acceptable	acceptable	ruled out	The evidence ruled out that explanation.	exclude a possibility	none	S&AW_PHaVE	v5 production: short matched acceptable sentence; no overt contrast cue
