item_id	pv	prompt_sentence	option_a	option_b	option_c	option_d	correct_option	source_material	notes
ortho_001	break off	Following a disagreement, the committee broke off the talks.	end something such as talks or a relationship	return to an earlier place	increase in amount	put on a piece of clothing	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_002	hand over	The officer asked him to hand over the documents.	give control or possession to someone	explain something clearly	become known	continue doing an activity	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_003	give out	After years of use, the old engine finally gave out.	distributed something to many people	stopped working properly	revealed private information	moved to a higher position	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_004	put in	She put in many hours preparing the report.	insert something into a form	devote time or effort	tolerate something unpleasant	return to a previous state	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_005	take in	The lecture was difficult to take in.	understand fully	deceive someone	provide a place to stay	remove from a container	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_006	sit back	We cannot sit back while the problem gets worse.	take no action	sit in a comfortable position	arrive unexpectedly	lower the body	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_007	hold back	Lack of training can hold back talented students.	hide an emotion	prevent progress	summarize the main point	move backwards	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_008	move up	She moved up to senior manager in just two years.	become involved in a situation	move an object higher	advance to a higher position	make information public	C	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_009	get on	He got on the bus near the station.	continue doing something	board a vehicle	avoid punishment	arrive unexpectedly	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_010	come along	A rare opportunity came along during the project.	appear or arrive	go somewhere with someone	return to a place	increase in value	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_011	stand out	Her careful analysis stood out from the other reports.	be outside a building	delay a decision	be noticeable or impressive	surrender control	C	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_012	pull back	The company pulled back from risky investments.	withdraw from an activity	open curtains	move upward	support an argument	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_013	run out	We ran out of coffee before the meeting ended.	leave suddenly	use all of something so none is left	avoid serious trouble	begin in a certain way	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_014	turn over	The suspect was turned over to the police.	turn to the other side	improve a bad situation	give control or possession to an authority	end a discussion	C	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_015	put on	The school put on a concert for the visitors.	wear clothing	present or stage an event	increase the volume	devote effort	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_016	take back	The party tried to take back control of the council.	regain control or possession	take someone to a previous place	remove something from a container	exclude a possibility	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_017	make out	I could barely make out the sign in the dark.	see or hear with difficulty	represent falsely	succeed in a difficult situation	summarize briefly	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_018	pay off	Her years of practice paid off in the final match.	repay a debt	become successful or beneficial	give something back	interrupt someone	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_019	get off	The children got off the train at the last stop.	avoid punishment	begin in a certain way	leave a vehicle	lower the body	C	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_020	turn up	He turned up late for the meeting.	increase the volume	arrive or appear	be found during a search	face the opposite direction	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_021	get down	Get down before they see you.	lower the body	begin serious work	become sad	board a vehicle	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_022	cut off	The interviewer cut off the speaker in the middle of her answer.	stop a service	interrupt someone	remove by cutting	decrease in amount	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_023	bring in	The school brought in an expert to advise the teachers.	ask someone to do a job or task	carry something inside	cause something to happen	make information public	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_024	put out	Police put out a warning about the stolen cars.	extinguish a fire	place something for use	make information public	tolerate something unpleasant	C	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_025	clean up	The company cleaned up its advertising after many complaints.	remove unacceptable content or behavior	remove dirt or mess	win a large amount of money	move to a higher position	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_026	set out	The policy was set out in detail in the report.	start a journey	present or explain clearly	place something outside	begin with a goal	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_027	break down	The teacher broke down the problem into smaller steps.	stop working	lose emotional control	divide into parts	chemically decompose	C	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_028	reach out	The manager reached out after the complaint.	contact someone or offer help	stretch an arm outward	increase in value	return to a place	A	Sonbul_ElDakhs_2024_supplement	revised sentence to avoid overt preposition after PV
ortho_029	keep up	Keep up the good work.	make something continue	move at the same speed	stay awake	make a copy	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_030	put up	They put up posters on the classroom wall.	build something	tolerate something unpleasant	display or attach something	increase the price	C	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_031	turn around	The new plan turned around the company.	face the opposite direction	make something successful after problems	return to an earlier place	produce a document	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_032	back up	The data back up the main claim.	reverse a vehicle	support with evidence	make a computer copy	delay a decision	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_033	look out	She looked out at the garden.	protect someone's interests	look outside	be careful	find information	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_034	take out	He took out a loan to pay for the course.	obtain an official service or document	remove from a container	invite someone to a social event	make something public	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_035	look back	Years later, they looked back on the decision.	look behind briefly	search for information	think about a past event	return to a topic	C	Sonbul_ElDakhs_2024_supplement	revised sentence for clearer target sense
ortho_036	go up	Rents went up sharply last year.	increase	move upstairs	explode	start a journey	A	Sonbul_ElDakhs_2024_supplement	revised tense
ortho_037	go down	Prices went down after the new policy.	decrease	sink below the surface	travel south	be remembered	A	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_038	come on	Oh, come on, that cannot be true.	encourage someone	express disbelief or disagreement	start operating	arrive at a place	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_039	come in	Experts came in to help with the problem.	enter a place	become involved	receive a signal	place something inside	B	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_040	come out	The truth came out during the interview.	leave a place	be released to the public	become known or revealed	say something publicly	C	Sonbul_ElDakhs_2024_supplement	candidate item
ortho_041	bring about	The reforms brought about major changes.	cause something to happen	carry something near	return something	support with evidence	A	S&AW_PHaVE	academic extension
ortho_042	carry out	The researchers carried out the survey in three schools.	conduct or perform a task	carry something outside	continue speaking	remove something	A	S&AW_PHaVE	academic extension
ortho_043	rule out	The evidence ruled out fraud.	govern from outside	exclude a possibility	measure accurately	approve a plan	B	S&AW_PHaVE	academic extension
ortho_044	point out	The author pointed out a limitation of the study.	draw attention to information	aim a finger outside	arrive unexpectedly	summarize briefly	A	S&AW_PHaVE	academic extension
ortho_045	sum up	The final paragraph sums up the argument.	add numbers	summarize the main points	increase in value	end unexpectedly	B	S&AW_PHaVE	academic extension
ortho_046	follow up	The doctor followed up the test with a phone call.	take further action after something	walk behind someone	obey an instruction	continue upward	A	S&AW_PHaVE	academic extension
ortho_047	lay out	The introduction lays out the plan for the paper.	put something flat outside	spend money	present or arrange clearly	postpone a decision	C	S&AW_PHaVE	academic extension
ortho_048	work out	The students worked out the answer after comparing the graphs.	exercise	find or calculate a solution	become successful	leave a place	B	S&AW_PHaVE	academic extension
