material_set,source,pv,sense_no,meaning,sentence,sense_frequency_coca,opacity_1_transparent_7_opaque,design_category,register_focus,notes
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,break off,1,"Put an end to STH (relationship, discussion, talks, negotiations)","Following a disagreement, the government broke off diplomatic relations with China.",506.16,2.4,sense_competition,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,hand over,1,"Surrender control or responsibility for STH/SB to SB else, esp. officially",The government isn’t willing to hand over power to local authorities.,1245.42,3.8,formal_transfer,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,give out,1,"Collapse, fail; stop functioning properly (heart, knees)","At 95 years of age, her heart finally gave out.",347.76,4.7,opaque_idiomatic,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,put in,1,"Invest or devote so as to achieve STH (time, effort, work)",You need to put in more hours at the office every day.,808.25,2.3,effort_investment,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,take in,2,Fully understand or grasp the meaning of STH,You have to explain more thoroughly; it’s too difficult to take in.,667.98,5.3,opaque_comprehension,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,sit back,1,Deliberately take no action/remain passive about STH,We won’t just sit back and watch the situation getting worse and worse.,1376.32,3.3,idiomatic_stance,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,hold back,2,Prevent SB/STH from reaching their full potential,You cannot let a few unmotivated pupils hold back the rest of the group.,883.47,2.2,prevent_potential,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,move up,2,Move to a better position; advance to a higher level/rank,She moved up from secretary to senior manager in just a few years.,2101.37,3.6,career_status,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,get on,2,"Board some form of public transportation (train, bus, plane, elevator)",He got on the bus to school.,760.24,1.7,transport_anchor,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,come along,2,Appear or arrive; come into existence,I didn’t expect such an opportunity to come along.,3969.38,3.5,opportunity_emergence,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,stand out,2,"Distinguish oneself/itself by being better, more significant or more impressive than other people/things",Excellent product quality is what made the brand stand out from its competitors.,3318.43,3.8,evaluative_salience,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,pull back,2,"Withdraw or retreat from an activity or location, esp. military",The army was forced to pull back due to bad weather.,1756.15,3.5,abstract_withdrawal,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,run out,2,Use STH (or become used) completely so that nothing is left,Unfortunately we’ve run out of biscuits.,2822.99,4,depletion,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,turn over,2,Surrender possession or control to SB/STH (esp. in authority),The policeman turned over the criminal to the jail guard.,3709.23,4,authority_transfer,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
core_40_strict_two_word,Sonbul_ElDakhs_2024_supplement,put on,1,"Present or stage (play, show, competition)",They put on such an incredible show last night!,931.64,3.3,event_staging,general,from Sonbul_ElDakhs supplement; sentence may need polishing before final use
