pv_id	pv	material_set	source	sense_no	meaning	sense_frequency_coca	opacity_1_transparent_7_opaque	design_category	register_focus	ljt_acceptable_id	ljt_unacceptable_id	ljt_list_A_item_id	ljt_list_B_item_id	audio_decision_real_trial_id	orthographic_item_id	notes
pv_001	break off	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Put an end to STH (relationship, discussion, talks, negotiations)	506.16	2.4	sense_competition	general	ljt_001a	ljt_001b	ljt_001a	ljt_001b	audio_v2_001	ortho_001	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_002	hand over	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Surrender control or responsibility for STH/SB to SB else, esp. officially	1245.42	3.8	formal_transfer	general	ljt_002a	ljt_002b	ljt_002b	ljt_002a	audio_v2_002	ortho_002	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_003	give out	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Collapse, fail; stop functioning properly (heart, knees)	347.76	4.7	opaque_idiomatic	general	ljt_003a	ljt_003b	ljt_003a	ljt_003b	audio_v2_003	ortho_003	from Sonbul_ElDakhs supplement; sentence may need polishing before final use; LJT v4 pre-audio sentence revised
pv_004	put in	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Invest or devote so as to achieve STH (time, effort, work)	808.25	2.3	effort_investment	general	ljt_004a	ljt_004b	ljt_004b	ljt_004a	audio_v2_004	ortho_004	from Sonbul_ElDakhs supplement; sentence may need polishing before final use; LJT v4 pre-audio sentence revised
pv_005	take in	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Fully understand or grasp the meaning of STH	667.98	5.3	opaque_comprehension	general	ljt_005a	ljt_005b	ljt_005a	ljt_005b	audio_v2_005	ortho_005	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_006	sit back	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Deliberately take no action/remain passive about STH	1376.32	3.3	idiomatic_stance	general	ljt_006a	ljt_006b	ljt_006b	ljt_006a	audio_v2_006	ortho_006	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_007	hold back	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Prevent SB/STH from reaching their full potential	883.47	2.2	prevent_potential	general	ljt_007a	ljt_007b	ljt_007a	ljt_007b	audio_v2_007	ortho_007	from Sonbul_ElDakhs supplement; sentence may need polishing before final use; LJT v4 pre-audio sentence revised
pv_008	move up	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Move to a better position; advance to a higher level/rank	2101.37	3.6	career_status	general	ljt_008a	ljt_008b	ljt_008b	ljt_008a	audio_v2_008	ortho_008	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_009	get on	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Board some form of public transportation (train, bus, plane, elevator)	760.24	1.7	transport_anchor	general	ljt_009a	ljt_009b	ljt_009a	ljt_009b	audio_v2_009	ortho_009	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_010	come along	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Appear or arrive; come into existence	3969.38	3.5	opportunity_emergence	general	ljt_010a	ljt_010b	ljt_010b	ljt_010a	audio_v2_010	ortho_010	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_011	stand out	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Distinguish oneself/itself by being better, more significant or more impressive than other people/things	3318.43	3.8	evaluative_salience	general	ljt_011a	ljt_011b	ljt_011a	ljt_011b	audio_v2_011	ortho_011	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_012	pull back	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Withdraw or retreat from an activity or location, esp. military	1756.15	3.5	abstract_withdrawal	general	ljt_012a	ljt_012b	ljt_012b	ljt_012a	audio_v2_012	ortho_012	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_013	run out	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Use STH (or become used) completely so that nothing is left	2822.99	4	depletion	general	ljt_013a	ljt_013b	ljt_013a	ljt_013b	audio_v2_013	ortho_013	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_014	turn over	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Surrender possession or control to SB/STH (esp. in authority)	3709.23	4	authority_transfer	general	ljt_014a	ljt_014b	ljt_014b	ljt_014a	audio_v2_014	ortho_014	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_015	put on	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Present or stage (play, show, competition)	931.64	3.3	event_staging	general	ljt_015a	ljt_015b	ljt_015a	ljt_015b	audio_v2_015	ortho_015	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_016	take back	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Regain possession or control over STH	2160.42	3.6	regain_control	general	ljt_016a	ljt_016b	ljt_016b	ljt_016a	audio_v2_016	ortho_016	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_017	make out	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	3	See or hear with difficulty	4052.29	4.4	perceptual_difficulty	general	ljt_017a	ljt_017b	ljt_017a	ljt_017b	audio_v2_017	ortho_017	from Sonbul_ElDakhs supplement; sentence may need polishing before final use; LJT v4 pre-audio sentence revised
pv_018	pay off	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Pay back the effort spent in doing STH by becoming profitable or effective	3403.25	3.5	outcome_payoff	general	ljt_018a	ljt_018b	ljt_018b	ljt_018a	audio_v2_018	ortho_018	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_019	get off	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	3	Go away from, leave (train, bus, aircraft, lift)	3884.22	1.4	transport_anchor	general	ljt_019a	ljt_019b	ljt_019a	ljt_019b	audio_v2_019	ortho_019	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_020	turn up	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Arrive or make an appearance somewhere	1052.52	4.8	appearance	general	ljt_020a	ljt_020b	ljt_020b	ljt_020a	audio_v2_020	ortho_020	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_021	get down	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Lower one's body as by kneeling, sitting or lying	1694.25	1.2	body_position_anchor	general	ljt_021a	ljt_021b	ljt_021a	ljt_021b	audio_v2_021	ortho_021	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_022	cut off	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	2	Interrupt SB as they are speaking	1848.28	5	interaction_interrupt	general	ljt_022a	ljt_022b	ljt_022b	ljt_022a	audio_v2_022	ortho_022	from Sonbul_ElDakhs supplement; sentence may need polishing before final use; LJT v4 pre-audio sentence revised
pv_023	bring in	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Ask SB to do a particular job or task	2492.16	1.6	hire_recruit	general	ljt_023a	ljt_023b	ljt_023a	ljt_023b	audio_v2_023	ortho_023	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_024	put out	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	3	Make STH known or accessible to the public (information, products)	3899.59	3.1	public_release	general	ljt_024a	ljt_024b	ljt_024b	ljt_024a	audio_v2_024	ortho_024	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_025	clean up	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Make STH free from dangerous, unacceptable or controversial activities or contents	1827.76	4.3	moral_sanitizing	general	ljt_025a	ljt_025b	ljt_025a	ljt_025b	audio_v2_025	ortho_025	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
pv_026	set out	core_40_strict_two_word	Sonbul_ElDakhs_2024_supplement	1	Explain or present STH clearly, esp. officially and in writing	1337.92	5.5	academic_present	general	ljt_026a	ljt_026b	ljt_026b	ljt_026a	audio_v2_026	ortho_026	from Sonbul_ElDakhs supplement; sentence may need polishing before final use
