source,pv,sense_no,meaning,sentence,sense_frequency_coca,opacity_1_transparent_7_opaque
Sonbul_ElDakhs_2024_supplement,break off,1,"Put an end to STH (relationship, discussion, talks, negotiations)","Following a disagreement, the government broke off diplomatic relations with China.",506.16,2.4
Sonbul_ElDakhs_2024_supplement,break off,2,"Stop speaking, especially suddenly",He was telling me a story but broke off abruptly when his mobile phone rang.,590.52,3.7
Sonbul_ElDakhs_2024_supplement,break off,3,Separate a part (or become separate) from a larger piece,He accidentally broke off a piece of wood from the fence.,843.60,1.5
Sonbul_ElDakhs_2024_supplement,hand over,1,"Surrender control or responsibility for STH/SB to SB else, esp. officially",The government isn’t willing to hand over power to local authorities.,1245.42,3.8
Sonbul_ElDakhs_2024_supplement,hand over,2,Give STH to SB by holding it in one's hand and offering it to them,She returned to hand over her keys to her husband.,1755.59,3.4
Sonbul_ElDakhs_2024_supplement,give out,1,"Collapse, fail; stop functioning properly (heart, knees)","At 95 years of age, her heart finally gave out.",347.76,4.7
Sonbul_ElDakhs_2024_supplement,give out,2,Make known openly or publicly; reveal,You should be more careful and not give out your phone number so easily.,1013.04,2.5
Sonbul_ElDakhs_2024_supplement,give out,3,Give to each of a large number of people; distribute,The committee gave out more than 100 copies in the last meeting.,1209.60,2.1
Sonbul_ElDakhs_2024_supplement,put in,1,"Invest or devote so as to achieve STH (time, effort, work)",You need to put in more hours at the office every day.,808.25,2.3
Sonbul_ElDakhs_2024_supplement,put in,2,Put one thing inside another; include or insert,Take this application form and put in your name and contact details.,1525.00,3.3
Sonbul_ElDakhs_2024_supplement,take in,1,Deceive by behaving in a dishonest way,"He was very convincing, so I was easily taken in.",381.70,4.7
Sonbul_ElDakhs_2024_supplement,take in,2,Fully understand or grasp the meaning of STH,You have to explain more thoroughly; it’s too difficult to take in.,667.98,5.3
Sonbul_ElDakhs_2024_supplement,take in,3,Provide a place for SB to live or stay,The family took her in when she was abandoned by her parents.,935.17,1.6
Sonbul_ElDakhs_2024_supplement,sit back,1,Deliberately take no action/remain passive about STH,We won’t just sit back and watch the situation getting worse and worse.,1376.32,3.3
Sonbul_ElDakhs_2024_supplement,sit back,2,Rest in a comfortable position against the back of a sea,She sat back in her chair and turned on the TV.,2671.68,1.4
Sonbul_ElDakhs_2024_supplement,hold back,1,Prevent SB/STH from going somewhere,Security guards tried to hold back the crowd.,736.23,2.7
Sonbul_ElDakhs_2024_supplement,hold back,2,Prevent SB/STH from reaching their full potential,You cannot let a few unmotivated pupils hold back the rest of the group.,883.47,2.2
Sonbul_ElDakhs_2024_supplement,hold back,3,Decide not to do or say STH,They should not hold back from joining us if they want to.,988.65,3.2
Sonbul_ElDakhs_2024_supplement,hold back,4,"Contain an unwanted physical manifestation (tears, laughter, sigh, sneeze)",She held back the laughter with great effort.,673.12,3.5
Sonbul_ElDakhs_2024_supplement,move up,1,"Move upward, from a lower spatial location to a higher one",She put her hand on his shoulder and moved it up along the back of his neck.,1005.98,1.8
Sonbul_ElDakhs_2024_supplement,move up,2,Move to a better position; advance to a higher level/rank,She moved up from secretary to senior manager in just a few years.,2101.37,3.6
Sonbul_ElDakhs_2024_supplement,get on,1,( + with …) Continue doing STH after stopping; proceed with STH,We might as well get on with it if we want to finish on time.,2973.93,4.8
Sonbul_ElDakhs_2024_supplement,get on,2,"Board some form of public transportation (train, bus, plane, elevator)",He got on the bus to school.,760.24,1.7
Sonbul_ElDakhs_2024_supplement,come along,1,Go somewhere with SB,We’re going to the cinema tonight; you should come along with us!,1122.38,1.7
Sonbul_ElDakhs_2024_supplement,come along,2,Appear or arrive; come into existence,I didn’t expect such an opportunity to come along.,3969.38,3.5
Sonbul_ElDakhs_2024_supplement,stand out,1,Be easily seen or noticeable,Flashing lights make planes stand out at night.,2084.30,5.2
Sonbul_ElDakhs_2024_supplement,stand out,2,"Distinguish oneself/itself by being better, more significant or more impressive than other people/things",Excellent product quality is what made the brand stand out from its competitors.,3318.43,3.8
Sonbul_ElDakhs_2024_supplement,pull back,1,Move backwards or make SB/STH move backwards,She pulled back the curtains so the light could come into the room.,3767.23,1.1
Sonbul_ElDakhs_2024_supplement,pull back,2,"Withdraw or retreat from an activity or location, esp. military",The army was forced to pull back due to bad weather.,1756.15,3.5
Sonbul_ElDakhs_2024_supplement,run out,1,"Leave suddenly, as if in a hurry","After the argument, she ran out into the garden and screamed.",1939.02,2.4
Sonbul_ElDakhs_2024_supplement,run out,2,Use STH (or become used) completely so that nothing is left,Unfortunately we’ve run out of biscuits.,2822.99,4
Sonbul_ElDakhs_2024_supplement,turn over,1,"Change position so that the other side is facing towards the outside or the top, or another direction",Put the chicken on the grill and turn it over a few times.,2119.56,1.7
Sonbul_ElDakhs_2024_supplement,turn over,2,Surrender possession or control to SB/STH (esp. in authority),The policeman turned over the criminal to the jail guard.,3709.23,4
Sonbul_ElDakhs_2024_supplement,put on,1,"Present or stage (play, show, competition)",They put on such an incredible show last night!,931.64,3.3
Sonbul_ElDakhs_2024_supplement,put on,2,Put a piece of clothing or jewelry onto one's body,"You should put on your gloves, it’s really cold outside.",3341.00,2.9
Sonbul_ElDakhs_2024_supplement,take back,1,Regain possession or control over STH,The politician’s ultimate goal is to take back the Senate.,2160.42,3.6
Sonbul_ElDakhs_2024_supplement,take back,2,Take STH/SB to a place they were in before,"After dinner, he took her back to her house.",3224.50,1.9
Sonbul_ElDakhs_2024_supplement,make out,1,(Make it out) Deal with a difficult situation successfully,We were lucky to make it out of the war alive.,703.29,4.3
Sonbul_ElDakhs_2024_supplement,make out,2,"Represent as being a particular way, esp. falsely","He was innocent, but the media made him out to be a criminal.",736.78,4.6
Sonbul_ElDakhs_2024_supplement,make out,3,See or hear with difficulty,I could barely make out his face in the dark.,4052.29,4.4
Sonbul_ElDakhs_2024_supplement,pay off,1,Pay back the effort spent in doing STH by becoming profitable or effective,All the hard work will pay off in the end.,3403.25,3.5
Sonbul_ElDakhs_2024_supplement,pay off,2,Pay the complete amount of STH,It will take a dozen years for him to pay off his debts.,3438.33,2.2
Sonbul_ElDakhs_2024_supplement,get off,1,Manage to avoid serious trouble or consequences (esp. legal punishment),She thinks some criminals get off too easily.,863.16,4.1
Sonbul_ElDakhs_2024_supplement,get off,2,(Get off to a … start) Begin STH in a certain way,The team has got off to a good start this season.,899.13,5.2
Sonbul_ElDakhs_2024_supplement,get off,3,"Go away from, leave (train, bus, aircraft, lift)",You need to take the bus and get off at the third stop.,3884.22,1.4
Sonbul_ElDakhs_2024_supplement,turn up,1,Arrive or make an appearance somewhere,He turned up to the meeting half an hour late.,1052.52,4.8
Sonbul_ElDakhs_2024_supplement,turn up,2,Increase the volume or level of STH,I really like this song; could you turn up the radio?,1616.37,3.7
Sonbul_ElDakhs_2024_supplement,turn up,3,"Yield; be (or make STH be) found, discovered, or noticed",The search turned up solid evidence against him.,3608.64,4.2
Sonbul_ElDakhs_2024_supplement,get down,1,"Come down from STH; descend (car, horse, tree)",He loves climbing trees but finds it hard to get down.,1317.75,2.2
Sonbul_ElDakhs_2024_supplement,get down,2,"Lower one's body as by kneeling, sitting or lying",Get down on your knees so you can get a better view.,1694.25,1.2
Sonbul_ElDakhs_2024_supplement,get down,3,(+ to …) Begin to pay serious attention to STH,We should get down to discussing those issues as soon as possible.,1957.80,5.4
Sonbul_ElDakhs_2024_supplement,cut off,1,"End the provision of STH, or be deprived of a provision (electricity, money)",The storm cut off electricity from the entire town.,1772.84,1.8
Sonbul_ElDakhs_2024_supplement,cut off,2,Interrupt SB as they are speaking,The teacher cut off the student in the middle of her sentence.,1848.28,5
Sonbul_ElDakhs_2024_supplement,cut off,3,Remove a part of STH by cutting it,Take the carrots and cut the ends off.,2036.88,1.7
Sonbul_ElDakhs_2024_supplement,bring in,1,Ask SB to do a particular job or task,He had been brought in to save the company.,2492.16,1.6
Sonbul_ElDakhs_2024_supplement,bring in,2,Bring STH to a place,I brought in my laptop computer today because my office computer is broken.,4248.92,2.6
Sonbul_ElDakhs_2024_supplement,put out,1,Place STH somewhere in order for it to be seen or used,I’ve put out glasses and a bottle of juice.,829.70,3.9
Sonbul_ElDakhs_2024_supplement,put out,2,Stop STH from burning or shining,The fire has finally been put out.,1161.58,4.1
Sonbul_ElDakhs_2024_supplement,put out,3,"Make STH known or accessible to the public (information, products)",Police have put out a warning about thieves in the area.,3899.59,3.1
Sonbul_ElDakhs_2024_supplement,clean up,1,"Make STH free from dangerous, unacceptable or controversial activities or contents",He was asked to clean up his language during the interview.,1827.76,4.3
Sonbul_ElDakhs_2024_supplement,clean up,2,Get rid of dirt or mess,Make sure you clean up your room because I won’t do it for you.,6147.92,2
Sonbul_ElDakhs_2024_supplement,set out,1,"Explain or present STH clearly, esp. officially and in writing",The official recommendations were set out in the document.,1337.92,5.5
Sonbul_ElDakhs_2024_supplement,set out,2,Start a journey,We set out for San Francisco on the following day.,2215.93,3.7
Sonbul_ElDakhs_2024_supplement,set out,3,"Start doing or working on STH, esp. with a particular goal in mind",She set out to discover the truth behind the story.,3553.85,4.8
Sonbul_ElDakhs_2024_supplement,break down,1,Undergo chemical decomposition; separate into different substances,Digestion breaks down substances into small molecules.,1185.03,2.5
Sonbul_ElDakhs_2024_supplement,break down,2,Lose control of one's emotions and yield to tears or distress,He broke down at his son’s funeral.,1536.15,5.2
Sonbul_ElDakhs_2024_supplement,break down,3,Divide or separate into categories or smaller components so as to make it easier to understand or deal with,Let’s break down the task into three easy steps.,1755.60,2.5
Sonbul_ElDakhs_2024_supplement,break down,4,"Stop working or functioning; fail or collapse (vehicle, device, relationship, negotiations)",Our car broke down yesterday.,2106.72,2.4
Sonbul_ElDakhs_2024_supplement,reach out,1,"Make an effort to address or communicate with SB, so as to help them or involve them in STH",The government has recently been trying to reach out to right-wing voters.,3903.39,3
Sonbul_ElDakhs_2024_supplement,reach out,2,"Stretch an arm in order to hold, touch, or get STH that is within short distance",She reached out for the empty jar on the table.,4792.77,2.6
Sonbul_ElDakhs_2024_supplement,keep up,1,Make STH continue,This is amazing; keep up the good work!,3459.95,3.2
Sonbul_ElDakhs_2024_supplement,keep up,2,"Move, progress or increase at the same rate or pace as SB/STH",Workers’ income has not kept up with inflation.,4897.16,3.3
Sonbul_ElDakhs_2024_supplement,put up,1,Build or place STH somewhere,They’ve put up a new fence after the previous one fell apart.,1922.22,3.1
Sonbul_ElDakhs_2024_supplement,put up,2,(+ with …) Be willing to accept STH unpleasant or not desirable; tolerate,I won’t put up with your bad behaviour for much longer.,2029.01,4.6
Sonbul_ElDakhs_2024_supplement,put up,3,Display or attach STH (e.g. to a wall) so it can be seen,They put up a few posters on the wall.,2456.17,1.7
Sonbul_ElDakhs_2024_supplement,turn around,1,Move so as to face in the opposite direction,She turned around and walked out the door.,7696.35,1
Sonbul_ElDakhs_2024_supplement,turn around,2,"Make STH become better or more successful than it previously was (economy, business)",People have stopped believing the President could turn around the economy.,2793.49,4.8
Sonbul_ElDakhs_2024_supplement,back up,1,Establish as valid or genuine,You have to back up your accusations with solid evidence.,2345.41,3.7
Sonbul_ElDakhs_2024_supplement,back up,2,Take action in order to support STH or make it happen,Politicians often fail to back up their words with actions.,2402.61,4.3
Sonbul_ElDakhs_2024_supplement,back up,3,Move or drive backwards a short way,He got into his car and backed up until he reached the street.,2974.66,2.1
Sonbul_ElDakhs_2024_supplement,look out,1,Take care of SB and make sure they are well; protect SB's interests,We look out for each other as if we were family.,3282.11,3.9
Sonbul_ElDakhs_2024_supplement,look out,2,"Look outside, or at the horizon",She liked to go by the window and look out at the garden.,6499.86,1.8
Sonbul_ElDakhs_2024_supplement,take out,1,Obtain an official document or service from an authority,I had to take out a loan to cover all my expenses.,1777.88,3.2
Sonbul_ElDakhs_2024_supplement,take out,2,Invite to a recreational place or social event,You should take her out to this new Chinese restaurant.,1920.11,3.8
Sonbul_ElDakhs_2024_supplement,take out,3,Remove or extract STH from a container,He tore open the envelope and took out a few bills.,7182.62,1.8
Sonbul_ElDakhs_2024_supplement,look back,1,Look at STH/SB again after having momentarily looked elsewhere,Sometimes we look back on those days and realize we had a very happy life.,4576.50,2.9
Sonbul_ElDakhs_2024_supplement,look back,2,"Think of STH again, reconsider STH past",He closed the dictionary and looked back to his notes.,7551.23,3
Sonbul_ElDakhs_2024_supplement,go up,1,"Move upward, or from a lower spatial location to a higher one",He could see a few hands go up in the audience.,4067.61,1.8
Sonbul_ElDakhs_2024_supplement,go up,2,Become higher in value; increase,Oil prices have gone up last year.,9424.95,2
Sonbul_ElDakhs_2024_supplement,go down,1,"Go from one place to another, esp. one that is further south or underneath",He wants to go down to Australia next year.,3617.28,3.6
Sonbul_ElDakhs_2024_supplement,go down,2,Decrease in value or amount,I don’t think prices will go down.,5425.92,3
Sonbul_ElDakhs_2024_supplement,go down,3,Move down to a lower level or position,"After hitting the iceberg, the ship began to go down.",5827.84,1.6
Sonbul_ElDakhs_2024_supplement,come on,1,"Said to show SB disbelief, disagreement, or anger","Oh come on, you’re just lying to me!",4073.55,5.1
Sonbul_ElDakhs_2024_supplement,come on,2,"Said to encourage SB to try harder, or do or say STH","Come on, don’t be shy and tell us your story.",10445.00,4
Sonbul_ElDakhs_2024_supplement,come in,1,Become involved in a situation,We need experts to come in and give us advice.,4257.12,2.1
Sonbul_ElDakhs_2024_supplement,come in,2,"Enter a place or area (room, building)",She opened the door and he came in.,19765.20,1.8
Sonbul_ElDakhs_2024_supplement,come out,1,Become known or revealed after being kept secret,The news came out that he was leaving the team.,4929.26,2.2
Sonbul_ElDakhs_2024_supplement,come out,2,"Leave a place (room, building, container) or appear from it",She went into the bank and came out with some money.,13874.94,1.9
Sonbul_ElDakhs_2024_supplement,come out,3,"Become available or released to the public (film, book …)",Their new album will come out next month.,3651.30,3.1
Sonbul_ElDakhs_2024_supplement,come out,4,(+ and do/say …) Make public knowledge a privately held position,People need to come out and say what they think about it.,4199.00,4.4
