priority	pv_id	pv	acceptable_item_id	unacceptable_item_id	full_sentence_sbert_cosine	context_without_pv_sbert_cosine	pll_mean_delta_acc_minus_unacc	target_fit_mean_delta_acc_minus_unacc	bert_flags	expert_flag	reason	recommendation	acceptable_sentence	unacceptable_sentence
medium	pv_007	hold back	ljt_007a	ljt_007b	0.6442157626152039	0.7223014235496521	0.1265413783756748	1.0791122913360596	low_full_sentence_similarity	no	full-sentence SBERT similarity is relatively low	inspect manually; BERT-only issue may not require revision	Poor training held back the young players.	The extra support held back the young players, so they improved faster.
medium	pv_004	put in	ljt_004a	ljt_004b	0.6231290102005005	0.7276195287704468	0.10614028661790442	-0.38036274909973145	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	She put in three hours before the meeting.	She put in three hours but spent no time on the report.
medium	pv_042	carry out	ljt_042a	ljt_042b	0.7141907215118408	0.7645142078399658	0.7398499008500945	0.9249391555786133	none	yes	expert-review flag: academic_near_miss	send to expert review before audio recording	The researchers carried out the survey in three schools.	The researchers carried out the hypothesis in three schools.
medium	pv_034	take out	ljt_034a	ljt_034b	0.6230677366256714	0.7680728435516357	0.06875325510310082	-2.9607555866241455	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	He took out a loan to pay for the course.	He took out a loan but borrowed no money.
medium	pv_023	bring in	ljt_023a	ljt_023b	0.5573458075523376	0.7701799273490906	0.5127542803030727	-2.05768084526062	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The firm brought in an expert to solve the problem.	The firm brought in an expert, but no expert joined the project.
medium	pv_006	sit back	ljt_006a	ljt_006b	0.7366083860397339	0.7727158069610596	0.28656503092497587	3.6238702535629272	target_fit_gap_extreme	no	BERT target-fit gap is unusually large	check whether the unacceptable sentence is too easy	The mayor sat back while the problem grew.	The mayor sat back while he personally led the response.
medium	pv_015	put on	ljt_015a	ljt_015b	0.5625729560852051	0.7772185802459717	-0.6749981901100413	-0.09431004524230957	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The school put on a play for the visitors.	The school put on a play but never performed it.
medium	pv_022	cut off	ljt_022a	ljt_022b	0.7222897410392761	0.7849633693695068	1.3042380433804888	-2.264641284942627	target_fit_not_higher_for_acceptable	yes	expert-review flag: temporal_mismatch; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording	The host cut off the speaker mid-sentence.	The host cut off the guest after she had finished speaking.
medium	pv_010	come along	ljt_010a	ljt_010b	0.6969944834709167	0.813737154006958	-1.11832568755919	-1.4824717044830322	target_fit_not_higher_for_acceptable	yes	expert-review flag: semantic_contradiction_strength; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording	A better chance came along during the project.	A better chance came along, although nothing new appeared.
medium	pv_047	lay out	ljt_047a	ljt_047b	0.5837640166282654	0.8292644023895264	-0.22809172022071778	0.2979319095611572	low_full_sentence_similarity	yes	expert-review flag: clarity_mismatch	send to expert review before audio recording	The introduction laid out the plan for the paper.	The introduction laid out the plan in no clear order.
medium	pv_003	give out	ljt_003a	ljt_003b	0.7922216653823853	0.8421953320503235	0.5697410490159229	3.9788691997528076	target_fit_gap_extreme	no	BERT target-fit gap is unusually large	check whether the unacceptable sentence is too easy	After the long climb, his knees finally gave out.	After the long climb, his knees gave out, so he sprinted easily to the top.
medium	pv_048	work out	ljt_048a	ljt_048b	0.7578863501548767	0.84284508228302	-0.15238366131949377	0.34891557693481445	none	yes	expert-review flag: method_mismatch	send to expert review before audio recording	The students worked out the answer after class.	The students worked out the answer by copying it from the board.
medium	pv_017	make out	ljt_017a	ljt_017b	0.770759642124176	0.8688397407531738	0.44100594230390433	-0.6970158815383911	target_fit_not_higher_for_acceptable	yes	expert-review flag: modality_mismatch; masked-LM target-fit direction is not as expected; interpret cautiously	send to expert review before audio recording	I could barely make out the sign in the dark.	I could barely make out the sign over the phone.
