trial_order	phase	task	trial_id	item_type	stimulus_text	correct_response	foil_type	audio_file_name	notes
1	practice	audio_pv_decision	practice_audio_001	real	wake up	yes		rec_practice_audio_001.wav	not in target set
2	practice	audio_pv_decision	practice_audio_002	real	write down	yes		rec_practice_audio_002.wav	not in target set
3	practice	audio_pv_decision	practice_audio_003	real	give up	yes		rec_practice_audio_003.wav	not in target set
4	practice	audio_pv_decision	practice_audio_004	real	check out	yes		rec_practice_audio_004.wav	not in target set
5	practice	audio_pv_decision	practice_audio_005	foil	wake beneath	no		rec_practice_audio_005.wav	foil candidate for instruction only
6	practice	audio_pv_decision	practice_audio_006	foil	write above	no		rec_practice_audio_006.wav	foil candidate for instruction only
7	practice	audio_pv_decision	practice_audio_007	foil	give beside	no		rec_practice_audio_007.wav	foil candidate for instruction only
8	practice	audio_pv_decision	practice_audio_008	foil	check along	no		rec_practice_audio_008.wav	foil candidate for instruction only
9	main	audio_pv_decision	audio_v2_016	real	take back	yes	target_pv	rec_audio_decision_audio_v2_016.wav	same real target set as v1
10	main	audio_pv_decision	audio_v2_049	foil	explain up	no	pseudo_particle_non_pv	rec_audio_decision_audio_v2_049.wav	candidate no item; verify that raters do not judge it as a common PV
11	main	audio_pv_decision	audio_v2_037	real	go down	yes	target_pv	rec_audio_decision_audio_v2_037.wav	same real target set as v1
12	main	audio_pv_decision	audio_v2_074	foil	sleep outside	no	natural_free_combination	rec_audio_decision_audio_v2_074.wav	candidate no item; verify that raters do not judge it as a common PV
13	main	audio_pv_decision	audio_v2_045	real	sum up	yes	target_pv	rec_audio_decision_audio_v2_045.wav	same real target set as v1
14	main	audio_pv_decision	audio_v2_072	foil	estimate around	no	pseudo_particle_non_pv	rec_audio_decision_audio_v2_072.wav	candidate no item; verify that raters do not judge it as a common PV
15	main	audio_pv_decision	audio_v2_038	real	come on	yes	target_pv	rec_audio_decision_audio_v2_038.wav	same real target set as v1
16	main	audio_pv_decision	audio_v2_083	foil	pause before	no	natural_free_combination	rec_audio_decision_audio_v2_083.wav	candidate no item; verify that raters do not judge it as a common PV
17	main	audio_pv_decision	audio_v2_071	foil	identify off	no	pseudo_particle_non_pv	rec_audio_decision_audio_v2_071.wav	candidate no item; verify that raters do not judge it as a common PV
18	main	audio_pv_decision	audio_v2_078	foil	sit near	no	natural_free_combination	rec_audio_decision_audio_v2_078.wav	candidate no item; verify that raters do not judge it as a common PV
19	main	audio_pv_decision	audio_v2_044	real	point out	yes	target_pv	rec_audio_decision_audio_v2_044.wav	same real target set as v1
20	main	audio_pv_decision	audio_v2_029	real	keep up	yes	target_pv	rec_audio_decision_audio_v2_029.wav	same real target set as v1
21	main	audio_pv_decision	audio_v2_081	foil	swim across	no	natural_free_combination	rec_audio_decision_audio_v2_081.wav	candidate no item; verify that raters do not judge it as a common PV
22	main	audio_pv_decision	audio_v2_055	foil	suggest over	no	pseudo_particle_non_pv	rec_audio_decision_audio_v2_055.wav	candidate no item; verify that raters do not judge it as a common PV
23	main	audio_pv_decision	audio_v2_051	foil	mention down	no	pseudo_particle_non_pv	rec_audio_decision_audio_v2_051.wav	candidate no item; verify that raters do not judge it as a common PV
24	main	audio_pv_decision	audio_v2_026	real	set out	yes	target_pv	rec_audio_decision_audio_v2_026.wav	same real target set as v1
