trial_id	item_type	stimulus_text	matched_target_pv	correct_response	foil_type	screening_status	in_phave_or_sandaw_top150	wordnet_verb_expression_hit	notes
audio_v2_001	real	break off	break off	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_002	real	hand over	hand over	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_003	real	give out	give out	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_004	real	put in	put in	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_005	real	take in	take in	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_006	real	sit back	sit back	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_007	real	hold back	hold back	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_008	real	move up	move up	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_009	real	get on	get on	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_010	real	come along	come along	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_011	real	stand out	stand out	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_012	real	pull back	pull back	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_013	real	run out	run out	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_014	real	turn over	turn over	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_015	real	put on	put on	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_016	real	take back	take back	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_017	real	make out	make out	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_018	real	pay off	pay off	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_019	real	get off	get off	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_020	real	turn up	turn up	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_021	real	get down	get down	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_022	real	cut off	cut off	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_023	real	bring in	bring in	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_024	real	put out	put out	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_025	real	clean up	clean up	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_026	real	set out	set out	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_027	real	break down	break down	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_028	real	reach out	reach out	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_029	real	keep up	keep up	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_030	real	put up	put up	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_031	real	turn around	turn around	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_032	real	back up	back up	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_033	real	look out	look out	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_034	real	take out	take out	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_035	real	look back	look back	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_036	real	go up	go up	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_037	real	go down	go down	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_038	real	come on	come on	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
audio_v2_039	real	come in	come in	yes	target_pv	ready_for_audio_recording	yes	yes	same real target set as v1
