source_recording_script	recording_id	item_id	task	pv	condition	item_type	text_to_record	audio_file_name	audio_path	voice_label	voice_id_env	voice_id	model_id	output_format	stability	similarity_boost	style	speed	use_speaker_boost	seed	generated_at_utc	status	error
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_001a	ljt_001a	aural_pv_ljt	break off	acceptable		After weeks of argument, the union broke off the talks.	rec_ljt_v4_ljt_001a.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_001a.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260701	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_001b	ljt_001b	aural_pv_ljt	break off	unacceptable		After weeks of argument, the union broke off the talks but kept negotiating without a pause.	rec_ljt_v4_ljt_001b.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_001b.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260702	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_002a	ljt_002a	aural_pv_ljt	hand over	acceptable		The guard handed over the keys to the manager.	rec_ljt_v4_ljt_002a.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_002a.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260703	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_002b	ljt_002b	aural_pv_ljt	hand over	unacceptable		The guard handed over the keys but kept them in his pocket.	rec_ljt_v4_ljt_002b.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_002b.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260704	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_003a	ljt_003a	aural_pv_ljt	give out	acceptable		After the long climb, his knees finally gave out.	rec_ljt_v4_ljt_003a.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_003a.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260705	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_003b	ljt_003b	aural_pv_ljt	give out	unacceptable		After the long climb, his knees gave out, but he kept walking easily.	rec_ljt_v4_ljt_003b.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_003b.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260706	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_004a	ljt_004a	aural_pv_ljt	put in	acceptable		She put in three hours on the report before the meeting.	rec_ljt_v4_ljt_004a.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_004a.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260707	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_004b	ljt_004b	aural_pv_ljt	put in	unacceptable		She put in three hours on the report but spent no time on it.	rec_ljt_v4_ljt_004b.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_004b.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260708	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_005a	ljt_005a	aural_pv_ljt	take in	acceptable		The lecture was too fast to take in.	rec_ljt_v4_ljt_005a.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_005a.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260709	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_005b	ljt_005b	aural_pv_ljt	take in	unacceptable		The lecture was too fast to take in, so everyone understood every detail.	rec_ljt_v4_ljt_005b.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_005b.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260710	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_006a	ljt_006a	aural_pv_ljt	sit back	acceptable		The mayor sat back while the problem grew.	rec_ljt_v4_ljt_006a.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_006a.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260711	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_006b	ljt_006b	aural_pv_ljt	sit back	unacceptable		The mayor sat back while he personally led the response.	rec_ljt_v4_ljt_006b.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_006b.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260712	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_007a	ljt_007a	aural_pv_ljt	hold back	acceptable		Poor training held back the young players, so they improved slowly.	rec_ljt_v4_ljt_007a.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_007a.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260713	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_007b	ljt_007b	aural_pv_ljt	hold back	unacceptable		Poor training held back the young players, so they improved quickly.	rec_ljt_v4_ljt_007b.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_007b.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260714	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_008a	ljt_008a	aural_pv_ljt	move up	acceptable		She moved up to a senior role last year.	rec_ljt_v4_ljt_008a.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_008a.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260715	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_008b	ljt_008b	aural_pv_ljt	move up	unacceptable		She moved up to a junior role last year.	rec_ljt_v4_ljt_008b.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_008b.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260716	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_009a	ljt_009a	aural_pv_ljt	get on	acceptable		The tourists got on the bus near the station.	rec_ljt_v4_ljt_009a.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_009a.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260717	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_009b	ljt_009b	aural_pv_ljt	get on	unacceptable		The tourists got on the bus, but they stayed on the sidewalk.	rec_ljt_v4_ljt_009b.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_009b.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260718	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_010a	ljt_010a	aural_pv_ljt	come along	acceptable		A better chance came along during the project.	rec_ljt_v4_ljt_010a.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_010a.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260719	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_010b	ljt_010b	aural_pv_ljt	come along	unacceptable		A better chance came along, although nothing new appeared.	rec_ljt_v4_ljt_010b.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_010b.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260720	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_011a	ljt_011a	aural_pv_ljt	stand out	acceptable		Her clear answer stood out in the interview.	rec_ljt_v4_ljt_011a.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_011a.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260721	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_011b	ljt_011b	aural_pv_ljt	stand out	unacceptable		Her ordinary answer stood out as exactly like all the others.	rec_ljt_v4_ljt_011b.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_011b.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260722	2026-07-02T17:17:15.072629+00:00	generated	
materials/audio_recording_script_ljt_v4_pre_audio.tsv	rec_ljt_v4_ljt_012a	ljt_012a	aural_pv_ljt	pull back	acceptable		The company pulled back from the risky plan.	rec_ljt_v4_ljt_012a.mp3	audio/raw/elevenlabs/male/ljt_v4/rec_ljt_v4_ljt_012a.mp3	male	ELEVENLABS_MALE_VOICE_ID	CwhRBWXzGAHq8TQ4Fs17	eleven_multilingual_v2	mp3_44100_128	0.75	0.75	0.0	1.0	True	20260723	2026-07-02T17:17:15.072629+00:00	generated	
