ljt_item_id	pv_id	pv	condition	expected_response	sentence_text	target_form	intended_sense	mismatch_type	word_count	has_overt_cue	naturalness_1_4	sense_fit_or_mismatch_1_4	target_sense_clear_1_4	audio_suitability_1_4	reviewer_comments	decision_keep_revise_drop
ljt_001a	pv_001	break off	acceptable	acceptable	The committee broke off the negotiations.	broke off	end talks or a relationship	none	6	false						
ljt_001b	pv_001	break off	unacceptable	unacceptable	The committee broke off the agenda.	broke off	end talks or a relationship	selectional_semantic_mismatch	6	false						
ljt_002a	pv_002	hand over	acceptable	acceptable	The officer handed over the documents.	handed over	give control or possession to someone	none	6	false						
ljt_002b	pv_002	hand over	unacceptable	unacceptable	The officer handed over the deadline.	handed over	give control or possession to someone	selectional_semantic_mismatch	6	false						
ljt_003a	pv_003	give out	acceptable	acceptable	The old engine gave out suddenly.	gave out	stop working properly	none	6	false						
ljt_003b	pv_003	give out	unacceptable	unacceptable	The old answer gave out suddenly.	gave out	stop working properly	subject_selection_mismatch	6	false						
ljt_004a	pv_004	put in	acceptable	acceptable	She put in steady effort yesterday.	put in	devote time or effort	none	6	false						
ljt_004b	pv_004	put in	unacceptable	unacceptable	She put in steady evidence yesterday.	put in	devote time or effort	object_selection_mismatch	6	false						
ljt_005a	pv_005	take in	acceptable	acceptable	The lecture was hard to take in.	take in	understand fully	none	7	false						
ljt_005b	pv_005	take in	unacceptable	unacceptable	The doorway was hard to take in.	take in	understand fully	object_selection_mismatch	7	false						
ljt_006a	pv_006	sit back	acceptable	acceptable	The mayor sat back during the crisis.	sat back	take no action	none	7	false						
ljt_006b	pv_006	sit back	unacceptable	unacceptable	The mayor sat back during the sprint.	sat back	take no action	context_selection_mismatch	7	false						
ljt_007a	pv_007	hold back	acceptable	acceptable	Poor training held back the players.	held back	prevent progress or potential	none	6	false						
ljt_007b	pv_007	hold back	unacceptable	unacceptable	Extra support held back the players.	held back	prevent progress or potential	cause_selection_mismatch	6	false						
ljt_008a	pv_008	move up	acceptable	acceptable	She moved up to senior manager.	moved up	advance to a higher position	none	6	false						
ljt_008b	pv_008	move up	unacceptable	unacceptable	She moved up to junior assistant.	moved up	advance to a higher position	hierarchy_semantic_mismatch	6	false						
ljt_009a	pv_009	get on	acceptable	acceptable	The tourists got on the bus.	got on	board a vehicle	none	6	false						
ljt_009b	pv_009	get on	unacceptable	unacceptable	The tourists got on the lecture.	got on	board a vehicle	object_selection_mismatch	6	false						
ljt_010a	pv_010	come along	acceptable	acceptable	A rare chance came along today.	came along	appear or arrive	none	6	false						
ljt_010b	pv_010	come along	unacceptable	unacceptable	A rare schedule came along today.	came along	appear or arrive	subject_selection_mismatch	6	false						
ljt_011a	pv_011	stand out	acceptable	acceptable	Her analysis stood out among reports.	stood out	be noticeable or impressive	none	6	false						
ljt_011b	pv_011	stand out	unacceptable	unacceptable	Her analysis stood out among deadlines.	stood out	be noticeable or impressive	comparison_set_mismatch	6	false						
ljt_012a	pv_012	pull back	acceptable	acceptable	The company pulled back from investment.	pulled back	withdraw from an activity	none	6	false						
ljt_012b	pv_012	pull back	unacceptable	unacceptable	The company pulled back from approval.	pulled back	withdraw from an activity	object_selection_mismatch	6	false						
ljt_013a	pv_013	run out	acceptable	acceptable	The office ran out of paper.	ran out	use all of something	none	6	false						
ljt_013b	pv_013	run out	unacceptable	unacceptable	The office ran out of agenda.	ran out	use all of something	object_selection_mismatch	6	false						
ljt_014a	pv_014	turn over	acceptable	acceptable	The officer turned over the files.	turned over	give control or possession to an authority	none	6	false						
ljt_014b	pv_014	turn over	unacceptable	unacceptable	The officer turned over the deadline.	turned over	give control or possession to an authority	object_selection_mismatch	6	false						
ljt_015a	pv_015	put on	acceptable	acceptable	The school put on a concert.	put on	present or stage an event	none	6	false						
ljt_015b	pv_015	put on	unacceptable	unacceptable	The school put on a textbook.	put on	present or stage an event	event_selection_mismatch	6	false						
ljt_016a	pv_016	take back	acceptable	acceptable	The party took back the council.	took back	regain control or possession	none	6	false						
ljt_016b	pv_016	take back	unacceptable	unacceptable	The party took back the outcome.	took back	regain control or possession	object_selection_mismatch	6	false						
ljt_017a	pv_017	make out	acceptable	acceptable	I could barely make out the sign outside.	make out	see or hear with difficulty	none	8	false						
ljt_017b	pv_017	make out	unacceptable	unacceptable	I could barely make out the flavor outside.	make out	see or hear with difficulty	object_selection_mismatch	8	false						
ljt_018a	pv_018	pay off	acceptable	acceptable	The hard work paid off eventually.	paid off	become successful or beneficial	none	6	false						
ljt_018b	pv_018	pay off	unacceptable	unacceptable	The hard weather paid off eventually.	paid off	become successful or beneficial	subject_selection_mismatch	6	false						
ljt_019a	pv_019	get off	acceptable	acceptable	The children got off the train.	got off	leave a vehicle	none	6	false						
ljt_019b	pv_019	get off	unacceptable	unacceptable	The children got off the deadline.	got off	leave a vehicle	object_selection_mismatch	6	false						
ljt_020a	pv_020	turn up	acceptable	acceptable	He turned up at the meeting.	turned up	arrive or appear	none	6	false						
ljt_020b	pv_020	turn up	unacceptable	unacceptable	He turned up at the method.	turned up	arrive or appear	location_selection_mismatch	6	false						
ljt_021a	pv_021	get down	acceptable	acceptable	The soldiers got down behind the wall.	got down	lower the body	none	7	false						
ljt_021b	pv_021	get down	unacceptable	unacceptable	The soldiers got down behind the idea.	got down	lower the body	location_selection_mismatch	7	false						
ljt_022a	pv_022	cut off	acceptable	acceptable	The host cut off the speaker.	cut off	interrupt someone	none	6	false						
ljt_022b	pv_022	cut off	unacceptable	unacceptable	The host cut off the policy.	cut off	interrupt someone	object_selection_mismatch	6	false						
ljt_023a	pv_023	bring in	acceptable	acceptable	The firm brought in an expert.	brought in	ask someone to do a job or task	none	6	false						
ljt_023b	pv_023	bring in	unacceptable	unacceptable	The firm brought in a deadline.	brought in	ask someone to do a job or task	object_selection_mismatch	6	false						
ljt_024a	pv_024	put out	acceptable	acceptable	Police put out a warning.	put out	make information public	none	5	false						
ljt_024b	pv_024	put out	unacceptable	unacceptable	Police put out a wallet.	put out	make information public	object_selection_mismatch	5	false						
ljt_025a	pv_025	clean up	acceptable	acceptable	The editor cleaned up the insults.	cleaned up	remove unacceptable content or behavior	none	6	false						
ljt_025b	pv_025	clean up	unacceptable	unacceptable	The editor cleaned up the deadline.	cleaned up	remove unacceptable content or behavior	object_selection_mismatch	6	false						
ljt_026a	pv_026	set out	acceptable	acceptable	The report set out the rules.	set out	present or explain clearly	none	6	false						
ljt_026b	pv_026	set out	unacceptable	unacceptable	The report set out the pencils.	set out	present or explain clearly	object_selection_mismatch	6	false						
ljt_027a	pv_027	break down	acceptable	acceptable	The teacher broke down the problem.	broke down	divide into smaller parts	none	6	false						
