item_id	target_slot_id	original_pv_id	original_pv	current_target_pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_set	source_material	source_item_or_pair_id	candidate_id	quality_status	review_score_100	score_basis	revision_priority	pair_rationale	notes
cljt_001a	cljt_001	pv_001	break off	break off	acceptable	acceptable	broke off	The union broke off negotiations before arbitration.	end negotiations, talks, or a relationship	none	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_001	multi_agent_v3	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both objects belong to negotiation discourse; negotiations can be ended, whereas concessions are accepted, offered, or withdrawn rather than broken off in this sense.	multi-agent synthesis v3; improves talks/proposal pair by using negotiations/concessions to reduce alternate readings of breaking off a proposal.
cljt_001b	cljt_001	pv_001	break off	break off	unacceptable	unacceptable	broke off	The union broke off concessions before arbitration.	end negotiations, talks, or a relationship	negotiation_process_term_mismatch	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_001	multi_agent_v3	multi_agent_revision_native_review_required	91	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both objects belong to negotiation discourse; negotiations can be ended, whereas concessions are accepted, offered, or withdrawn rather than broken off in this sense.	multi-agent synthesis v3; improves talks/proposal pair by using negotiations/concessions to reduce alternate readings of breaking off a proposal.
cljt_002a	cljt_002	pv_002	hand over	hand over	acceptable	acceptable	handed over	The agency handed over the investigation to prosecutors.	transfer control, responsibility, or possession to another authority	none	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_002	multi_agent_v3	multi_agent_revision_native_review_required	90	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both complements are legal-domain items; an investigation can be transferred as responsibility, whereas a verdict is an outcome delivered by a court, not handed over to prosecutors.	multi-agent synthesis v3; moves from prisoner/arrest to investigation/verdict to reduce animacy and custody-specific cueing.
cljt_002b	cljt_002	pv_002	hand over	hand over	unacceptable	unacceptable	handed over	The agency handed over the verdict to prosecutors.	transfer control, responsibility, or possession to another authority	transferable_case_outcome_mismatch	multi_agent_revision_v3	multi_agent_synthesis_2026-07-04_round3	cljt_002	multi_agent_v3	multi_agent_revision_native_review_required	90	multi_agent_consensus_against_c_level_rubric_v3	native_review_then_pilot_strong	Both complements are legal-domain items; an investigation can be transferred as responsibility, whereas a verdict is an outcome delivered by a court, not handed over to prosecutors.	multi-agent synthesis v3; moves from prisoner/arrest to investigation/verdict to reduce animacy and custody-specific cueing.
cljt_003a	cljt_003	pv_003	give out	set up	acceptable	acceptable	set up	The agency set up a review process.	establish_create_or_arrange	none	v2_replacement	PHaVE	v2_001	rep_018	production_candidate_after_native_review	90	self_review_against_c_level_rubric_v2	native_review_then_pilot_strong	Process and finding are review-domain nouns; only the process can naturally be established or arranged.	replaces pv_003 give out; candidate_id=rep_018; original_v6_action=replace_or_rewrite; Check whether set up a finding is impossible for all native reviewers.
cljt_003b	cljt_003	pv_003	give out	set up	unacceptable	unacceptable	set up	The agency set up a review finding.	establish_create_or_arrange	wrong_created_entity	v2_replacement	PHaVE	v2_001	rep_018	production_candidate_after_native_review	90	self_review_against_c_level_rubric_v2	native_review_then_pilot_strong	Process and finding are review-domain nouns; only the process can naturally be established or arranged.	replaces pv_003 give out; candidate_id=rep_018; original_v6_action=replace_or_rewrite; Check whether set up a finding is impossible for all native reviewers.
cljt_004a	cljt_004	pv_004	put in	take up	acceptable	acceptable	took up	The committee took up the funding issue.	discuss_or_deal_with_issue	none	v2_replacement	PHaVE	v2_002	rep_002	minor_revision_needed	88	self_review_against_c_level_rubric_v2	native_review_then_pilot	Issue and outcome are same institutional domain; outcome is less naturally taken up as an agenda item.	replaces pv_004 put in; candidate_id=rep_002; original_v6_action=replace_or_rewrite; Check whether take up the outcome is acceptable as discuss outcome.
cljt_004b	cljt_004	pv_004	put in	take up	unacceptable	unacceptable	took up	The committee took up the funding outcome.	discuss_or_deal_with_issue	wrong_discussion_object	v2_replacement	PHaVE	v2_002	rep_002	minor_revision_needed	88	self_review_against_c_level_rubric_v2	native_review_then_pilot	Issue and outcome are same institutional domain; outcome is less naturally taken up as an agenda item.	replaces pv_004 put in; candidate_id=rep_002; original_v6_action=replace_or_rewrite; Check whether take up the outcome is acceptable as discuss outcome.
cljt_005a	cljt_005	pv_005	take in	put off	acceptable	acceptable	put off	The board put off the final vote.	delay_until_later	none	v2_replacement	PHaVE	v2_003	rep_030	minor_revision_needed	88	self_review_against_c_level_rubric_v2	native_review_then_pilot	Vote and evidence are decision-domain objects; only the vote is naturally schedulable for delay.	replaces pv_005 take in; candidate_id=rep_030; original_v6_action=replace_or_rewrite; Evidence can be excluded or withheld, but not normally put off.
cljt_005b	cljt_005	pv_005	take in	put off	unacceptable	unacceptable	put off	The board put off the final evidence.	delay_until_later	wrong_delay_object	v2_replacement	PHaVE	v2_003	rep_030	minor_revision_needed	88	self_review_against_c_level_rubric_v2	native_review_then_pilot	Vote and evidence are decision-domain objects; only the vote is naturally schedulable for delay.	replaces pv_005 take in; candidate_id=rep_030; original_v6_action=replace_or_rewrite; Evidence can be excluded or withheld, but not normally put off.
cljt_006a	cljt_006	pv_006	sit back	take on	acceptable	acceptable	took on	The lawyer took on the difficult case.	undertake_role_task_or_responsibility	none	v2_replacement	PHaVE	v2_004	rep_019	production_candidate_after_native_review	90	self_review_against_c_level_rubric_v2	native_review_then_pilot_strong	Case and verdict are legal-domain nouns; only the case is a responsibility one can undertake.	replaces pv_006 sit back; candidate_id=rep_019; original_v6_action=replace_or_rewrite; Strong candidate, but verify that verdict is not interpretable as a challenge.
cljt_006b	cljt_006	pv_006	sit back	take on	unacceptable	unacceptable	took on	The lawyer took on the difficult verdict.	undertake_role_task_or_responsibility	wrong_responsibility_object	v2_replacement	PHaVE	v2_004	rep_019	production_candidate_after_native_review	90	self_review_against_c_level_rubric_v2	native_review_then_pilot_strong	Case and verdict are legal-domain nouns; only the case is a responsibility one can undertake.	replaces pv_006 sit back; candidate_id=rep_019; original_v6_action=replace_or_rewrite; Strong candidate, but verify that verdict is not interpretable as a challenge.
cljt_007a	cljt_007	pv_007	hold back	give in	acceptable	acceptable	gave in	The company gave in to public pressure.	yield_to_demands_or_pressure	none	v2_replacement	PHaVE	v2_005	rep_005	minor_revision_needed	86	self_review_against_c_level_rubric_v2	native_review_then_pilot	Pressure and policy are public-domain nouns; pressure can force yielding, policy normally cannot.	replaces pv_007 hold back; candidate_id=rep_005; original_v6_action=replace_or_rewrite; May be a comparatively easy anchor item for C1.
cljt_007b	cljt_007	pv_007	hold back	give in	unacceptable	unacceptable	gave in	The company gave in to public policy.	yield_to_demands_or_pressure	wrong_pressure_source	v2_replacement	PHaVE	v2_005	rep_005	minor_revision_needed	86	self_review_against_c_level_rubric_v2	native_review_then_pilot	Pressure and policy are public-domain nouns; pressure can force yielding, policy normally cannot.	replaces pv_007 hold back; candidate_id=rep_005; original_v6_action=replace_or_rewrite; May be a comparatively easy anchor item for C1.
cljt_008a	cljt_008	pv_008	move up	move up	acceptable	acceptable	moved up	The team moved up to first place.	advance to a higher position	none	v6_retained_or_reserve	Sonbul_ElDakhs_2024_supplement	ljt_008a		prelim_pass_native_review_required	100	derived_from_v6_pre_audio_audit_using_c_level_rubric_weights	native_review_then_pilot_strong	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.	v6 candidate: pre-audio expert review required; do not record yet; Hierarchy/status contrast is locally tied to the PV and comparatively robust.
