trial_order	list_id	item_id	target_slot_id	original_pv_id	original_pv	current_target_pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_set	quality_status	review_score_100	revision_priority	pair_rationale	notes
1	B	cljt_033a	cljt_033	pv_033	look out	open up	acceptable	acceptable	opened up	The ruling opened up new appeal options.	make available or possible	none	multi_agent_revision_v1	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	Both objects are appeal-domain outcomes; options can become available, whereas deadlines are set, extended, or missed rather than opened up.	multi-agent synthesis v1; revises opportunities/objections pair because objections could be caused or invited by a policy; legal appeal frame blocks disclosure/speaking readings.
2	B	cljt_019a	cljt_019	pv_019	get off	get off	acceptable	acceptable	got off	The passengers got off the ferry.	leave a vehicle	none	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both nouns are transport-domain nouns; only the vehicle-like noun supports the leave-a-vehicle sense.	v6 candidate: pre-audio expert review required; do not record yet; Vehicle-leaving sense can work in travel contexts; avoid broad non-vehicle objects.
3	B	cljt_042a	cljt_042	pv_042	carry out	carry out	acceptable	acceptable	carried out	The researchers carried out the analysis.	conduct or perform a task	none	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	Both objects are research-domain nouns; analysis is a task that can be carried out, whereas hypothesis is a proposition to test.	v6 candidate: pre-audio expert review required; do not record yet; Conduct/perform task sense is strong for academic LJT; use plausible wrong task objects.
4	B	cljt_023b	cljt_023	pv_023	bring in	bring in	unacceptable	unacceptable	brought in	The firm brought in a consultation.	ask someone to do a job or task	recruitment_role_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are professional-service nouns; the target sense requires a person or role, not the service event itself.	v6 candidate: pre-audio expert review required; do not record yet; Recruit/ask-someone sense requires human role contexts; many abstractions can be brought in.
5	B	cljt_015b	cljt_015	pv_015	put on	put on	unacceptable	unacceptable	put on	The theater put on a ticket.	present or stage an event	event_staging_object_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects belong to theater contexts; the unacceptable item uses a theater-related artifact rather than an event or performance.	v6 candidate: pre-audio expert review required; do not record yet; Event-staging sense can work, but clothing/application senses are strong competitors.
6	B	cljt_029a	cljt_029	pv_029	keep up	set off	acceptable	acceptable	set off	The comment set off a heated debate.	cause_event_or_reaction_to_start	none	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Debate and summary are discourse-domain products; only debate is an event/reaction that can be triggered.	replaces pv_029 keep up; candidate_id=rep_028; original_v6_action=replace_or_rewrite; Summary is a document/product cue; consider replacing with dispute in review.
7	B	cljt_034b	cljt_034	pv_034	take out	take out	unacceptable	unacceptable	took out	The client took out a receipt.	obtain an official service or document	official_document_mismatch	v6_retained_or_reserve	prelim_pass_native_review_required	80	minor_revision_before_pilot	Both objects are finance/document nouns; mortgage fits the obtain-an-official-service sense, while receipt does not.	v6 candidate: pre-audio expert review required; do not record yet; Official-service sense can work with loans/policies; remove-from-container and social-date senses compete.
8	B	cljt_038a	cljt_038	pv_038	come on	turn down	acceptable	acceptable	turned down	The board turned down the proposal.	refuse_or_reject_offer_request_opportunity	none	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Proposal and evidence are decision-domain objects; evidence is normally excluded or dismissed, not turned down.	replaces pv_038 come on; candidate_id=rep_016; original_v6_action=drop; Check legal/register acceptability of turn down evidence.
9	B	cljt_037a	cljt_037	pv_037	go down	shut down	acceptable	acceptable	shut down	The agency shut down the program.	stop_operating_or_functioning	none	v2_replacement	minor_revision_needed	88	native_review_then_pilot	Program and reason are institutional-domain nouns; only the program is an operation that can be shut down.	replaces pv_037 go down; candidate_id=rep_015; original_v6_action=replace_or_rewrite; Strong candidate; check whether reason is too obviously wrong.
10	B	cljt_024b	cljt_024	pv_024	put out	bring out	unacceptable	unacceptable	brought out	The publisher brought out a revised appointment.	release_to_public	wrong_release_object	v2_replacement	minor_revision_needed	86	native_review_then_pilot	Edition and appointment are publishing/professional-domain nouns; appointment is not released as a publication.	replaces pv_024 put out; candidate_id=rep_009; original_v6_action=replace_or_rewrite; Select release sense only; avoid make-quality-noticeable sense.
