ljt_item_id	pv_id	pv	condition	expected_response	sentence_text	target_form	intended_sense	mismatch_type	word_count	has_overt_cue	v6_pool_status	candidate_gate_status	acceptable_naturalness_1_4_candidate	unacceptable_near_miss_1_4_candidate	pv_dependency_1_4_candidate	general_cue_risk_1_4_candidate	alternate_sense_risk_1_4_candidate	pair_rationale	reviewer_naturalness_1_4	reviewer_target_sense_fit_1_4	reviewer_general_cue_risk_1_4	reviewer_decision_keep_revise_drop	reviewer_comment
ljt_001a	pv_001	break off	acceptable	acceptable	The union broke off the talks.	broke off	end talks or a relationship	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.					
ljt_001b	pv_001	break off	unacceptable	unacceptable	The union broke off the proposal.	broke off	end talks or a relationship	same_domain_collocation_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.					
ljt_002a	pv_002	hand over	acceptable	acceptable	The guard handed over the prisoner.	handed over	give control or possession to someone	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.					
ljt_002b	pv_002	hand over	unacceptable	unacceptable	The guard handed over the arrest.	handed over	give control or possession to someone	same_domain_object_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.					
ljt_008a	pv_008	move up	acceptable	acceptable	The team moved up to first place.	moved up	advance to a higher position	none	7	false	active_candidate	prelim_pass_native_review_required	4	4	4	1	1	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.					
ljt_008b	pv_008	move up	unacceptable	unacceptable	The team moved up to last place.	moved up	advance to a higher position	directional_hierarchy_mismatch	7	false	active_candidate	prelim_pass_native_review_required	4	4	4	1	1	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.					
ljt_009a	pv_009	get on	acceptable	acceptable	The passengers got on the train.	got on	board a vehicle	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both nouns are transport-domain nouns; only a vehicle-like noun is compatible with the boarding sense.					
ljt_009b	pv_009	get on	unacceptable	unacceptable	The passengers got on the station.	got on	board a vehicle	transport_anchor_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both nouns are transport-domain nouns; only a vehicle-like noun is compatible with the boarding sense.					
ljt_011a	pv_011	stand out	acceptable	acceptable	One essay stood out among submissions.	stood out	be noticeable or impressive	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	1	Both nouns are writing-domain nouns; the unacceptable item changes the comparison set from same-class submissions to document parts.					
ljt_011b	pv_011	stand out	unacceptable	unacceptable	One essay stood out among pages.	stood out	be noticeable or impressive	comparison_set_mismatch	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	1	Both nouns are writing-domain nouns; the unacceptable item changes the comparison set from same-class submissions to document parts.					
ljt_012a	pv_012	pull back	acceptable	acceptable	Investors pulled back from the project.	pulled back	withdraw from an activity	none	6	false	active_candidate	prelim_pass_native_review_required	4	3	3	2	2	Both complements are decision-domain nouns; the unacceptable item uses a state/result where an activity or commitment is expected.					
