ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes	v6_pool_status	candidate_gate_status	pair_rationale
ljt_001a	pv_001	break off	acceptable	acceptable	broke off	The union broke off the talks.	end talks or a relationship	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.
ljt_001b	pv_001	break off	unacceptable	unacceptable	broke off	The union broke off the proposal.	end talks or a relationship	same_domain_collocation_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.
ljt_002a	pv_002	hand over	acceptable	acceptable	handed over	The guard handed over the prisoner.	give control or possession to someone	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.
ljt_002b	pv_002	hand over	unacceptable	unacceptable	handed over	The guard handed over the arrest.	give control or possession to someone	same_domain_object_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.
ljt_008a	pv_008	move up	acceptable	acceptable	moved up	The team moved up to first place.	advance to a higher position	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.
ljt_008b	pv_008	move up	unacceptable	unacceptable	moved up	The team moved up to last place.	advance to a higher position	directional_hierarchy_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.
ljt_009a	pv_009	get on	acceptable	acceptable	got on	The passengers got on the train.	board a vehicle	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are transport-domain nouns; only a vehicle-like noun is compatible with the boarding sense.
ljt_009b	pv_009	get on	unacceptable	unacceptable	got on	The passengers got on the station.	board a vehicle	transport_anchor_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are transport-domain nouns; only a vehicle-like noun is compatible with the boarding sense.
ljt_011a	pv_011	stand out	acceptable	acceptable	stood out	One essay stood out among submissions.	be noticeable or impressive	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are writing-domain nouns; the unacceptable item changes the comparison set from same-class submissions to document parts.
ljt_011b	pv_011	stand out	unacceptable	unacceptable	stood out	One essay stood out among pages.	be noticeable or impressive	comparison_set_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are writing-domain nouns; the unacceptable item changes the comparison set from same-class submissions to document parts.
