trial_order	phase	task	item_id	pv	prompt_sentence	option_a	option_b	option_c	option_d	correct_response	source_material	notes
1	practice	orthographic_pv_meaning_recognition	practice_ortho_001		She wakes up at six every morning.	start sleeping	stop working	get out of bed	make something public	C	practice	not in target set
2	practice	orthographic_pv_meaning_recognition	practice_ortho_002		Please write down your email address.	record in writing	summarize briefly	reduce the amount	leave a place	A	practice	not in target set
3	practice	orthographic_pv_meaning_recognition	practice_ortho_003		He gave up smoking last year.	return something	stop doing something	make something higher	discover information	B	practice	not in target set
4	practice	orthographic_pv_meaning_recognition	practice_ortho_004		You should check out the new library website.	leave a hotel	make something clean	look at or investigate something	move to a higher rank	C	practice	not in target set
5	main	orthographic_pv_meaning_recognition	ortho_033	look out	She looked out at the garden.	look outside	protect someone's interests	be careful	find information	A	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
6	main	orthographic_pv_meaning_recognition	ortho_026	set out	The policy was set out in detail in the report.	begin with a goal	start a journey	present or explain clearly	place something outside	C	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
7	main	orthographic_pv_meaning_recognition	ortho_039	come in	Experts came in to help with the problem.	enter a place	receive a signal	become involved	place something inside	C	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
8	main	orthographic_pv_meaning_recognition	ortho_007	hold back	Lack of training can hold back talented students.	summarize the main point	prevent progress	move backwards	hide an emotion	B	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
9	main	orthographic_pv_meaning_recognition	ortho_005	take in	The lecture was difficult to take in.	remove from a container	deceive someone	understand fully	provide a place to stay	C	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
10	main	orthographic_pv_meaning_recognition	ortho_042	carry out	The researchers carried out the survey in three schools.	carry something outside	continue speaking	conduct or perform a task	remove something	C	S&AW_PHaVE	academic extension; correct-position balanced in v2
11	main	orthographic_pv_meaning_recognition	ortho_048	work out	The students worked out the answer after comparing the graphs.	exercise	become successful	find or calculate a solution	leave a place	C	S&AW_PHaVE	academic extension; correct-position balanced in v2
12	main	orthographic_pv_meaning_recognition	ortho_046	follow up	The doctor followed up the test with a phone call.	obey an instruction	take further action after something	continue upward	walk behind someone	B	S&AW_PHaVE	academic extension; correct-position balanced in v2
13	main	orthographic_pv_meaning_recognition	ortho_045	sum up	The final paragraph sums up the argument.	add numbers	increase in value	end unexpectedly	summarize the main points	D	S&AW_PHaVE	academic extension; correct-position balanced in v2
14	main	orthographic_pv_meaning_recognition	ortho_012	pull back	The company pulled back from risky investments.	open curtains	withdraw from an activity	move upward	support an argument	B	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
15	main	orthographic_pv_meaning_recognition	ortho_037	go down	Prices went down after the new policy.	decrease	travel south	be remembered	sink below the surface	A	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
16	main	orthographic_pv_meaning_recognition	ortho_043	rule out	The evidence ruled out fraud.	measure accurately	approve a plan	exclude a possibility	govern from outside	C	S&AW_PHaVE	academic extension; correct-position balanced in v2
17	main	orthographic_pv_meaning_recognition	ortho_008	move up	She moved up to senior manager in just two years.	make information public	become involved in a situation	move an object higher	advance to a higher position	D	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
18	main	orthographic_pv_meaning_recognition	ortho_022	cut off	The interviewer cut off the speaker in the middle of her answer.	remove by cutting	decrease in amount	stop a service	interrupt someone	D	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
19	main	orthographic_pv_meaning_recognition	ortho_023	bring in	The school brought in an expert to advise the teachers.	make information public	ask someone to do a job or task	carry something inside	cause something to happen	B	Sonbul_ElDakhs_2024_supplement	candidate item; correct-position balanced in v2
20	main	orthographic_pv_meaning_recognition	ortho_035	look back	Years later, they looked back on the decision.	return to a topic	think about a past event	look behind briefly	search for information	B	Sonbul_ElDakhs_2024_supplement	revised sentence for clearer target sense; correct-position balanced in v2
21	main	orthographic_pv_meaning_recognition	ortho_044	point out	The author pointed out a limitation of the study.	draw attention to information	summarize briefly	aim a finger outside	arrive unexpectedly	A	S&AW_PHaVE	academic extension; correct-position balanced in v2
