recording_id	audio_file_name	task	item_id	pv_id	pv	condition	expected_response	text_to_record	target_form	recording_notes
rec_ljt_v4_ljt_001a	rec_ljt_v4_ljt_001a.wav	aural_pv_ljt	ljt_001a	pv_001	break off	acceptable	acceptable	After weeks of argument, the union broke off the talks.	broke off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_ljt_001b	rec_ljt_v4_ljt_001b.wav	aural_pv_ljt	ljt_001b	pv_001	break off	unacceptable	unacceptable	After weeks of argument, the union broke off the talks but kept negotiating without a pause.	broke off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_ljt_002a	rec_ljt_v4_ljt_002a.wav	aural_pv_ljt	ljt_002a	pv_002	hand over	acceptable	acceptable	The guard handed over the keys to the manager.	handed over	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_ljt_002b	rec_ljt_v4_ljt_002b.wav	aural_pv_ljt	ljt_002b	pv_002	hand over	unacceptable	unacceptable	The guard handed over the keys but kept them in his pocket.	handed over	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_ljt_003a	rec_ljt_v4_ljt_003a.wav	aural_pv_ljt	ljt_003a	pv_003	give out	acceptable	acceptable	After the long climb, his knees finally gave out.	gave out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_ljt_003b	rec_ljt_v4_ljt_003b.wav	aural_pv_ljt	ljt_003b	pv_003	give out	unacceptable	unacceptable	After the long climb, his knees gave out, but he kept walking easily.	gave out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_ljt_004a	rec_ljt_v4_ljt_004a.wav	aural_pv_ljt	ljt_004a	pv_004	put in	acceptable	acceptable	She put in three hours on the report before the meeting.	put in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_ljt_004b	rec_ljt_v4_ljt_004b.wav	aural_pv_ljt	ljt_004b	pv_004	put in	unacceptable	unacceptable	She put in three hours on the report but spent no time on it.	put in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_ljt_005a	rec_ljt_v4_ljt_005a.wav	aural_pv_ljt	ljt_005a	pv_005	take in	acceptable	acceptable	The lecture was too fast to take in.	take in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_ljt_005b	rec_ljt_v4_ljt_005b.wav	aural_pv_ljt	ljt_005b	pv_005	take in	unacceptable	unacceptable	The lecture was too fast to take in, so everyone understood every detail.	take in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_ljt_006a	rec_ljt_v4_ljt_006a.wav	aural_pv_ljt	ljt_006a	pv_006	sit back	acceptable	acceptable	The mayor sat back while the problem grew.	sat back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_ljt_006b	rec_ljt_v4_ljt_006b.wav	aural_pv_ljt	ljt_006b	pv_006	sit back	unacceptable	unacceptable	The mayor sat back while he personally led the response.	sat back	Record with natural sentence prosody; avoid pausing between verb and particle.
