target_slot_id	original_pv_id	original_pv	current_target_pv	source_set	quality_status	review_score_100	revision_priority	list_A_item_id	list_A_condition	list_B_item_id	list_B_condition	assignment_note
cljt_001	pv_001	break off	break off	multi_agent_revision_v3	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_001a	acceptable	cljt_001b	unacceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_002	pv_002	hand over	hand over	multi_agent_revision_v3	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	cljt_002b	unacceptable	cljt_002a	acceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_003	pv_003	give out	set up	v2_replacement	production_candidate_after_native_review	90	native_review_then_pilot_strong	cljt_003a	acceptable	cljt_003b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_004	pv_004	put in	take up	v2_replacement	minor_revision_needed	88	native_review_then_pilot	cljt_004a	acceptable	cljt_004b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_005	pv_005	take in	put off	v2_replacement	minor_revision_needed	88	native_review_then_pilot	cljt_005a	acceptable	cljt_005b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_006	pv_006	sit back	take on	v2_replacement	production_candidate_after_native_review	90	native_review_then_pilot_strong	cljt_006a	acceptable	cljt_006b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_007	pv_007	hold back	give in	v2_replacement	minor_revision_needed	86	native_review_then_pilot	cljt_007a	acceptable	cljt_007b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_008	pv_008	move up	move up	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	cljt_008a	acceptable	cljt_008b	unacceptable	retains_v6_candidate_assignment
cljt_009	pv_009	get on	get on	multi_agent_revision_v2	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	cljt_009b	unacceptable	cljt_009a	acceptable	retains_v2_assignment_after_multi_agent_revision_round2
cljt_010	pv_010	come along	play out	multi_agent_revision_v1	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	cljt_010a	acceptable	cljt_010b	unacceptable	retains_v1_assignment_after_multi_agent_revision
cljt_011	pv_011	stand out	stand out	multi_agent_revision_v3	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	cljt_011a	acceptable	cljt_011b	unacceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_012	pv_012	pull back	pull back	multi_agent_revision_v3	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	cljt_012b	unacceptable	cljt_012a	acceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_013	pv_013	run out	run out	multi_agent_revision_v3	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_013a	acceptable	cljt_013b	unacceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_014	pv_014	turn over	turn over	multi_agent_revision_v3	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_014b	unacceptable	cljt_014a	acceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_015	pv_015	put on	put on	multi_agent_revision_v2	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_015a	acceptable	cljt_015b	unacceptable	retains_v2_assignment_after_multi_agent_revision_round2
cljt_016	pv_016	take back	take back	multi_agent_revision_v3	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	cljt_016b	unacceptable	cljt_016a	acceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_017	pv_017	make out	sort out	v2_replacement	minor_revision_needed	86	native_review_then_pilot	cljt_017a	acceptable	cljt_017b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_018	pv_018	pay off	pay off	multi_agent_revision_v3	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	cljt_018a	acceptable	cljt_018b	unacceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_019	pv_019	get off	get off	multi_agent_revision_v2	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_019b	unacceptable	cljt_019a	acceptable	retains_v2_assignment_after_multi_agent_revision_round2
