pv_id	pv	acceptable_item_id	acceptable_word_count	acceptable_has_overt_cue	unacceptable_item_id	unacceptable_word_count	unacceptable_has_overt_cue	word_count_delta_unacceptable_minus_acceptable	target_form_in_both	audit_status
pv_001	break off	ljt_001a	6	false	ljt_001b	6	false	0	true	pass
pv_002	hand over	ljt_002a	6	false	ljt_002b	6	false	0	true	pass
pv_003	give out	ljt_003a	6	false	ljt_003b	6	false	0	true	pass
pv_004	put in	ljt_004a	6	false	ljt_004b	6	false	0	true	pass
pv_005	take in	ljt_005a	7	false	ljt_005b	7	false	0	true	pass
pv_006	sit back	ljt_006a	7	false	ljt_006b	7	false	0	true	pass
pv_007	hold back	ljt_007a	6	false	ljt_007b	6	false	0	true	pass
pv_008	move up	ljt_008a	6	false	ljt_008b	6	false	0	true	pass
pv_009	get on	ljt_009a	6	false	ljt_009b	6	false	0	true	pass
pv_010	come along	ljt_010a	6	false	ljt_010b	6	false	0	true	pass
pv_011	stand out	ljt_011a	6	false	ljt_011b	6	false	0	true	pass
pv_012	pull back	ljt_012a	6	false	ljt_012b	6	false	0	true	pass
pv_013	run out	ljt_013a	6	false	ljt_013b	6	false	0	true	pass
pv_014	turn over	ljt_014a	6	false	ljt_014b	6	false	0	true	pass
pv_015	put on	ljt_015a	6	false	ljt_015b	6	false	0	true	pass
pv_016	take back	ljt_016a	6	false	ljt_016b	6	false	0	true	pass
pv_017	make out	ljt_017a	8	false	ljt_017b	8	false	0	true	pass
pv_018	pay off	ljt_018a	6	false	ljt_018b	6	false	0	true	pass
pv_019	get off	ljt_019a	6	false	ljt_019b	6	false	0	true	pass
pv_020	turn up	ljt_020a	6	false	ljt_020b	6	false	0	true	pass
pv_021	get down	ljt_021a	7	false	ljt_021b	7	false	0	true	pass
pv_022	cut off	ljt_022a	6	false	ljt_022b	6	false	0	true	pass
pv_023	bring in	ljt_023a	6	false	ljt_023b	6	false	0	true	pass
pv_024	put out	ljt_024a	5	false	ljt_024b	5	false	0	true	pass
pv_025	clean up	ljt_025a	6	false	ljt_025b	6	false	0	true	pass
pv_026	set out	ljt_026a	6	false	ljt_026b	6	false	0	true	pass
pv_027	break down	ljt_027a	6	false	ljt_027b	6	false	0	true	pass
pv_028	reach out	ljt_028a	6	false	ljt_028b	6	false	0	true	pass
pv_029	keep up	ljt_029a	6	false	ljt_029b	6	false	0	true	pass
pv_030	put up	ljt_030a	5	false	ljt_030b	5	false	0	true	pass
pv_031	turn around	ljt_031a	6	false	ljt_031b	6	false	0	true	pass
pv_032	back up	ljt_032a	6	false	ljt_032b	6	false	0	true	pass
pv_033	look out	ljt_033a	6	false	ljt_033b	6	false	0	true	pass
pv_034	take out	ljt_034a	6	false	ljt_034b	6	false	0	true	pass
pv_035	look back	ljt_035a	6	false	ljt_035b	6	false	0	true	pass
pv_036	go up	ljt_036a	5	false	ljt_036b	5	false	0	true	pass
pv_037	go down	ljt_037a	5	false	ljt_037b	5	false	0	true	pass
pv_038	come on	ljt_038a	6	false	ljt_038b	6	false	0	true	pass
pv_039	come in	ljt_039a	5	false	ljt_039b	5	false	0	true	pass
pv_040	come out	ljt_040a	6	false	ljt_040b	6	false	0	true	pass
pv_041	bring about	ljt_041a	6	false	ljt_041b	6	false	0	true	pass
pv_042	carry out	ljt_042a	6	false	ljt_042b	6	false	0	true	pass
pv_043	rule out	ljt_043a	6	false	ljt_043b	6	false	0	true	pass
pv_044	point out	ljt_044a	6	false	ljt_044b	6	false	0	true	pass
pv_045	sum up	ljt_045a	6	false	ljt_045b	6	false	0	true	pass
pv_046	follow up	ljt_046a	6	false	ljt_046b	6	false	0	true	pass
pv_047	lay out	ljt_047a	6	false	ljt_047b	6	false	0	true	pass
pv_048	work out	ljt_048a	6	false	ljt_048b	6	false	0	true	pass
