pv_id	pv	acceptable_item_id	unacceptable_item_id	full_sentence_sbert_cosine	context_without_pv_sbert_cosine	pll_mean_delta_acc_minus_unacc	target_fit_mean_delta_acc_minus_unacc	acceptable_sentence	unacceptable_sentence	diagnostic_flags
pv_001	break off	ljt_001a	ljt_001b	0.9047505855560303	0.8569209575653076	0.13457136652464707	-1.1637517213821411	After weeks of argument, the union broke off the talks.	After weeks of argument, the union broke off the talks but kept negotiating without a pause.	target_fit_not_higher_for_acceptable
pv_002	hand over	ljt_002a	ljt_002b	0.7919419407844543	0.7803653478622437	-0.7986670556039406	0.6610834300518036	The guard handed over the keys to the manager.	The guard handed over the keys but kept them in his pocket.	none
pv_003	give out	ljt_003a	ljt_003b	0.7922216653823853	0.8421953916549683	0.5697410490159229	3.9788691997528076	After the long climb, his knees finally gave out.	After the long climb, his knees gave out, so he sprinted easily to the top.	target_fit_gap_extreme
pv_004	put in	ljt_004a	ljt_004b	0.6231288313865662	0.7276195287704468	0.10614028661790442	-0.38036274909973145	She put in three hours before the meeting.	She put in three hours but spent no time on the report.	low_full_sentence_similarity;target_fit_not_higher_for_acceptable
pv_005	take in	ljt_005a	ljt_005b	0.8458271026611328	0.920488715171814	0.055858477416202756	0.7634015083312988	The lecture was too fast to take in.	The lecture was too fast to take in, so everyone understood every detail.	none
pv_006	sit back	ljt_006a	ljt_006b	0.7366083264350891	0.7727158665657043	0.28656503092497587	3.6238702535629272	The mayor sat back while the problem grew.	The mayor sat back while he personally led the response.	target_fit_gap_extreme
pv_007	hold back	ljt_007a	ljt_007b	0.6442158222198486	0.7223014235496521	0.1265413783756748	1.0791122913360596	Poor training held back the young players.	The extra support held back the young players, so they improved faster.	low_full_sentence_similarity
pv_008	move up	ljt_008a	ljt_008b	0.921504557132721	0.9496569633483887	0.225139694288373	-0.5858757495880127	She moved up to a senior role last year.	She moved up to a junior role last year.	target_fit_not_higher_for_acceptable
pv_009	get on	ljt_009a	ljt_009b	0.6762694716453552	0.7050217986106873	-1.1238203342521695	-0.8787723183631897	The tourists got on the bus near the station.	The tourists got on the bus, but they stayed on the sidewalk.	target_fit_not_higher_for_acceptable
pv_010	come along	ljt_010a	ljt_010b	0.6969944834709167	0.8137369751930237	-1.11832568755919	-1.4824717044830322	A better chance came along during the project.	A better chance came along, although nothing new appeared.	target_fit_not_higher_for_acceptable
pv_011	stand out	ljt_011a	ljt_011b	0.6747649312019348	0.8059760332107544	0.03571496823699105	-2.9438254833221436	Her clear answer stood out in the interview.	Her ordinary answer stood out as exactly like all the others.	target_fit_not_higher_for_acceptable
pv_012	pull back	ljt_012a	ljt_012b	0.8875998258590698	0.8782523274421692	-0.33994699538581896	0.12463140487670898	The company pulled back from the risky plan.	The company pulled back from the risky plan by investing more money.	none
pv_013	run out	ljt_013a	ljt_013b	0.8223055601119995	0.741680920124054	-0.5508685280334078	2.4506473541259766	The office ran out of paper before noon.	The office ran out of paper, but there was plenty left.	none
pv_014	turn over	ljt_014a	ljt_014b	0.8547805547714233	0.821975827217102	-0.5918898915488493	-0.33562326431274414	The officer turned over the files to the court.	The officer turned over the files to the court but kept them locked in his desk.	target_fit_not_higher_for_acceptable
pv_015	put on	ljt_015a	ljt_015b	0.5625729560852051	0.7772184610366821	-0.6749981901100413	-0.09431004524230957	The school put on a play for the visitors.	The school put on a play but never performed it.	low_full_sentence_similarity;target_fit_not_higher_for_acceptable
pv_016	take back	ljt_016a	ljt_016b	0.9229132533073425	0.892270028591156	-0.13068014106875836	-0.7667942047119141	The party took back control of the council.	The party took back control, but its opponent still controlled the council.	target_fit_not_higher_for_acceptable
pv_017	make out	ljt_017a	ljt_017b	0.770759642124176	0.8688397407531738	0.44100594230390433	-0.6970158815383911	I could barely make out the sign in the dark.	I could barely make out the sign over the phone.	target_fit_not_higher_for_acceptable
pv_018	pay off	ljt_018a	ljt_018b	0.8984746932983398	0.9008523225784302	-0.5284964844036579	-4.924959421157837	Her years of practice paid off in the final match.	Her years of practice paid off by making her lose every match.	target_fit_not_higher_for_acceptable
pv_019	get off	ljt_019a	ljt_019b	0.8398803472518921	0.8129627108573914	-0.6365252600032061	0.09204843640327454	The children got off the train at the last stop.	The children got off the train but stayed in their seats.	none
pv_020	turn up	ljt_020a	ljt_020b	0.7207601070404053	0.868430495262146	-0.16368198824616575	0.24138832092285156	He turned up late for the meeting.	He turned up late for the meeting, but he never arrived.	none
pv_021	get down	ljt_021a	ljt_021b	0.6773793697357178	0.7295867204666138	1.3925113638397306	0.5009033679962158	The soldiers got down behind the wall.	The soldiers got down by standing taller.	none
pv_022	cut off	ljt_022a	ljt_022b	0.7222896814346313	0.7849633693695068	1.3042380433804888	-2.264641284942627	The host cut off the speaker mid-sentence.	The host cut off the guest after she had finished speaking.	target_fit_not_higher_for_acceptable
pv_023	bring in	ljt_023a	ljt_023b	0.5573458075523376	0.7701799273490906	0.5127542803030727	-2.05768084526062	The firm brought in an expert to solve the problem.	The firm brought in an expert, but no expert joined the project.	low_full_sentence_similarity;target_fit_not_higher_for_acceptable
pv_024	put out	ljt_024a	ljt_024b	0.7508450746536255	0.8735363483428955	-0.9392686995472306	-1.243882417678833	Police put out a warning about the danger.	Police put out a warning but told no one about it.	target_fit_not_higher_for_acceptable
