recording_id	audio_file_name	task	item_id	pv_id	pv	condition	expected_response	text_to_record	target_form	recording_notes
rec_ljt_v4_multi_agent_cljt_001a	rec_ljt_v4_multi_agent_cljt_001a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_001a	pv_001	break off	acceptable	acceptable	The union broke off negotiations before arbitration.	broke off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_001b	rec_ljt_v4_multi_agent_cljt_001b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_001b	pv_001	break off	unacceptable	unacceptable	The union broke off concessions before arbitration.	broke off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_002a	rec_ljt_v4_multi_agent_cljt_002a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_002a	pv_002	hand over	acceptable	acceptable	The agency handed over the investigation to prosecutors.	handed over	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_002b	rec_ljt_v4_multi_agent_cljt_002b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_002b	pv_002	hand over	unacceptable	unacceptable	The agency handed over the verdict to prosecutors.	handed over	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_003a	rec_ljt_v4_multi_agent_cljt_003a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_003a	pv_003	set up	acceptable	acceptable	The agency set up a review process.	set up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_003b	rec_ljt_v4_multi_agent_cljt_003b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_003b	pv_003	set up	unacceptable	unacceptable	The agency set up a review finding.	set up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_004a	rec_ljt_v4_multi_agent_cljt_004a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_004a	pv_004	take up	acceptable	acceptable	The committee took up the funding issue.	took up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_004b	rec_ljt_v4_multi_agent_cljt_004b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_004b	pv_004	take up	unacceptable	unacceptable	The committee took up the funding outcome.	took up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_005a	rec_ljt_v4_multi_agent_cljt_005a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_005a	pv_005	put off	acceptable	acceptable	The board put off the final vote.	put off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_005b	rec_ljt_v4_multi_agent_cljt_005b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_005b	pv_005	put off	unacceptable	unacceptable	The board put off the final evidence.	put off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_006a	rec_ljt_v4_multi_agent_cljt_006a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_006a	pv_006	take on	acceptable	acceptable	The lawyer took on the difficult case.	took on	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_006b	rec_ljt_v4_multi_agent_cljt_006b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_006b	pv_006	take on	unacceptable	unacceptable	The lawyer took on the difficult verdict.	took on	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_007a	rec_ljt_v4_multi_agent_cljt_007a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_007a	pv_007	give in	acceptable	acceptable	The company gave in to public pressure.	gave in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_007b	rec_ljt_v4_multi_agent_cljt_007b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_007b	pv_007	give in	unacceptable	unacceptable	The company gave in to public policy.	gave in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_008a	rec_ljt_v4_multi_agent_cljt_008a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_008a	pv_008	move up	acceptable	acceptable	The team moved up to first place.	moved up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_008b	rec_ljt_v4_multi_agent_cljt_008b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_008b	pv_008	move up	unacceptable	unacceptable	The team moved up to last place.	moved up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_009a	rec_ljt_v4_multi_agent_cljt_009a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_009a	pv_009	get on	acceptable	acceptable	The researchers got on with the analysis.	got on	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_009b	rec_ljt_v4_multi_agent_cljt_009b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_009b	pv_009	get on	unacceptable	unacceptable	The researchers got on with the finding.	got on	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_010a	rec_ljt_v4_multi_agent_cljt_010a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_010a	pv_010	play out	acceptable	acceptable	The trial played out over two weeks.	played out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_010b	rec_ljt_v4_multi_agent_cljt_010b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_010b	pv_010	play out	unacceptable	unacceptable	The verdict played out over two weeks.	played out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_011a	rec_ljt_v4_multi_agent_cljt_011a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_011a	pv_011	stand out	acceptable	acceptable	One bid stood out among tenders.	stood out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_011b	rec_ljt_v4_multi_agent_cljt_011b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_011b	pv_011	stand out	unacceptable	unacceptable	One bid stood out among invoices.	stood out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_012a	rec_ljt_v4_multi_agent_cljt_012a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_012a	pv_012	pull back	acceptable	acceptable	The investors pulled back from the funding round.	pulled back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_012b	rec_ljt_v4_multi_agent_cljt_012b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_012b	pv_012	pull back	unacceptable	unacceptable	The investors pulled back from the valuation.	pulled back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_013a	rec_ljt_v4_multi_agent_cljt_013a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_013a	pv_013	run out	acceptable	acceptable	The permit ran out during the audit.	ran out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_013b	rec_ljt_v4_multi_agent_cljt_013b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_013b	pv_013	run out	unacceptable	unacceptable	The inspection ran out during the audit.	ran out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_014a	rec_ljt_v4_multi_agent_cljt_014a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_014a	pv_014	turn over	acceptable	acceptable	The suspect turned over evidence to police.	turned over	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_014b	rec_ljt_v4_multi_agent_cljt_014b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_014b	pv_014	turn over	unacceptable	unacceptable	The suspect turned over charges to police.	turned over	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_015a	rec_ljt_v4_multi_agent_cljt_015a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_015a	pv_015	put on	acceptable	acceptable	The gallery put on a retrospective exhibition.	put on	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_015b	rec_ljt_v4_multi_agent_cljt_015b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_015b	pv_015	put on	unacceptable	unacceptable	The gallery put on a retrospective catalog.	put on	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_016a	rec_ljt_v4_multi_agent_cljt_016a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_016a	pv_016	take back	acceptable	acceptable	The party took back the seat.	took back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_016b	rec_ljt_v4_multi_agent_cljt_016b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_016b	pv_016	take back	unacceptable	unacceptable	The party took back the turnout.	took back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_017a	rec_ljt_v4_multi_agent_cljt_017a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_017a	pv_017	sort out	acceptable	acceptable	The mediator sorted out the scheduling conflict.	sorted out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_017b	rec_ljt_v4_multi_agent_cljt_017b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_017b	pv_017	sort out	unacceptable	unacceptable	The mediator sorted out the scheduling forecast.	sorted out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_018a	rec_ljt_v4_multi_agent_cljt_018a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_018a	pv_018	pay off	acceptable	acceptable	The firm paid off the loan after restructuring.	paid off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_018b	rec_ljt_v4_multi_agent_cljt_018b.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_018b	pv_018	pay off	unacceptable	unacceptable	The firm paid off the forecast after restructuring.	paid off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v4_multi_agent_cljt_019a	rec_ljt_v4_multi_agent_cljt_019a.wav	aural_pv_ljt_c_level_v4_multi_agent	cljt_019a	pv_019	get off	acceptable	acceptable	The defendant got off with a warning.	got off	Record with natural sentence prosody; avoid pausing between verb and particle.
