ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes
ljt_001a	pv_001	break off	acceptable	acceptable	broke off	After weeks of argument, the union broke off the talks.	end talks or a relationship	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_001b	pv_001	break off	unacceptable	unacceptable	broke off	After weeks of argument, the union broke off the talks but kept negotiating without a pause.	end talks or a relationship	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
ljt_002a	pv_002	hand over	acceptable	acceptable	handed over	The guard handed over the keys to the manager.	give control or possession to someone	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_002b	pv_002	hand over	unacceptable	unacceptable	handed over	The guard handed over the keys but kept them in his pocket.	give control or possession to someone	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
ljt_003a	pv_003	give out	acceptable	acceptable	gave out	After the long climb, his knees finally gave out.	stop working properly	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_003b	pv_003	give out	unacceptable	unacceptable	gave out	After the long climb, his knees gave out, so he sprinted easily to the top.	stop working properly	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd subject with contradiction; carried forward to v3
ljt_004a	pv_004	put in	acceptable	acceptable	put in	She put in three hours before the meeting.	devote time or effort	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_004b	pv_004	put in	unacceptable	unacceptable	put in	She put in three hours but spent no time on the report.	devote time or effort	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd object with contradiction; carried forward to v3
ljt_005a	pv_005	take in	acceptable	acceptable	take in	The lecture was too fast to take in.	understand fully	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_005b	pv_005	take in	unacceptable	unacceptable	take in	The lecture was too fast to take in, so everyone understood every detail.	understand fully	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: replaced odd subject with contradiction; carried forward to v3
ljt_006a	pv_006	sit back	acceptable	acceptable	sat back	The mayor sat back while the problem grew.	take no action	none	Sonbul_ElDakhs_2024_supplement	candidate for expert review; carried forward to v2; carried forward to v3
ljt_006b	pv_006	sit back	unacceptable	unacceptable	sat back	The mayor sat back while he personally led the response.	take no action	semantic_contradiction	Sonbul_ElDakhs_2024_supplement	revised after expert review: literal reading risk reduced; carried forward to v3
