trial_id	item_type	stimulus_text	matched_target_pv	correct_response	foil_strategy	status	notes
audio_001	real	break off	break off	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_002	real	hand over	hand over	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_003	real	give out	give out	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_004	real	put in	put in	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_005	real	take in	take in	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_006	real	sit back	sit back	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_007	real	hold back	hold back	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_008	real	move up	move up	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_009	real	get on	get on	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_010	real	come along	come along	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_011	real	stand out	stand out	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_012	real	pull back	pull back	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_013	real	run out	run out	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_014	real	turn over	turn over	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_015	real	put on	put on	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_016	real	take back	take back	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_017	real	make out	make out	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_018	real	pay off	pay off	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_019	real	get off	get off	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_020	real	turn up	turn up	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_021	real	get down	get down	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_022	real	cut off	cut off	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_023	real	bring in	bring in	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_024	real	put out	put out	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_025	real	clean up	clean up	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_026	real	set out	set out	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_027	real	break down	break down	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_028	real	reach out	reach out	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_029	real	keep up	keep up	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_030	real	put up	put up	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_031	real	turn around	turn around	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_032	real	back up	back up	yes	target_pv	candidate	present as isolated two-word audio stimulus
audio_033	real	look out	look out	yes	target_pv	candidate	present as isolated two-word audio stimulus
