trial_order	phase	task	list_id	item_id	pv_id	pv	condition	expected_response	stimulus_text	target_form	audio_file_name	notes
1	practice	aural_pv_ljt	B	practice_ljt_001		wake up	acceptable	acceptable	Mina woke up before the alarm.	woke up	rec_practice_ljt_001.wav	practice only; not in target set
2	practice	aural_pv_ljt	B	practice_ljt_002		wake up	unacceptable	unacceptable	Mina woke up before the alarm but stayed asleep until noon.	woke up	rec_practice_ljt_002.wav	practice only; not in target set
3	practice	aural_pv_ljt	B	practice_ljt_003		write down	acceptable	acceptable	Please write down the number before you forget it.	write down	rec_practice_ljt_003.wav	practice only; not in target set
4	practice	aural_pv_ljt	B	practice_ljt_004		write down	unacceptable	unacceptable	Please write down the number but do not write anything.	write down	rec_practice_ljt_004.wav	practice only; not in target set
5	practice	aural_pv_ljt	B	practice_ljt_005		give up	acceptable	acceptable	He gave up smoking last year.	gave up	rec_practice_ljt_005.wav	practice only; not in target set
6	practice	aural_pv_ljt	B	practice_ljt_006		give up	unacceptable	unacceptable	He gave up smoking last year but continued to smoke every day.	gave up	rec_practice_ljt_006.wav	practice only; not in target set
7	main	aural_pv_ljt	B	ljt_008a	pv_008	move up	acceptable	acceptable	She moved up to a senior role last year.	moved up	rec_ljt_v4_ljt_008a.wav	candidate for expert review; carried forward to v2; carried forward to v3
8	main	aural_pv_ljt	B	ljt_045b	pv_045	sum up	unacceptable	unacceptable	The final paragraph summed up the argument by adding a new topic.	summed up	rec_ljt_v4_ljt_045b.wav	revised after expert review: replaced odd object with summary contradiction; carried forward to v3
9	main	aural_pv_ljt	B	ljt_001b	pv_001	break off	unacceptable	unacceptable	After weeks of argument, the union broke off the talks but kept negotiating without a pause.	broke off	rec_ljt_v4_ljt_001b.wav	revised after expert review: replaced odd object with contradiction; carried forward to v3
10	main	aural_pv_ljt	B	ljt_011b	pv_011	stand out	unacceptable	unacceptable	Her ordinary answer stood out as exactly like all the others.	stood out	rec_ljt_v4_ljt_011b.wav	revised after expert review: reduced context dependence; carried forward to v3
11	main	aural_pv_ljt	B	ljt_015b	pv_015	put on	unacceptable	unacceptable	The school put on a play but never performed it.	put on	rec_ljt_v4_ljt_015b.wav	revised after expert review: replaced odd object with event contradiction; carried forward to v3
12	main	aural_pv_ljt	B	ljt_031b	pv_031	turn around	unacceptable	unacceptable	The new coach turned around the team by making it lose every game.	turned around	rec_ljt_v4_ljt_031b.wav	revised after expert review: replaced weather with improvement contradiction; carried forward to v3
13	main	aural_pv_ljt	B	ljt_034a	pv_034	take out	acceptable	acceptable	He took out a loan to pay for the course.	took out	rec_ljt_v4_ljt_034a.wav	candidate for expert review; carried forward to v2; carried forward to v3
14	main	aural_pv_ljt	B	ljt_037b	pv_037	go down	unacceptable	unacceptable	The price went down from five dollars to ten.	went down	rec_ljt_v4_ljt_037b.wav	reviewed: directional mismatch retained; carried forward to v3
15	main	aural_pv_ljt	B	ljt_010a	pv_010	come along	acceptable	acceptable	A better chance came along during the project.	came along	rec_ljt_v4_ljt_010a.wav	candidate for expert review; carried forward to v2; carried forward to v3
16	main	aural_pv_ljt	B	ljt_039b	pv_039	come in	unacceptable	unacceptable	Experts came in to help with the problem but never joined the project.	came in	rec_ljt_v4_ljt_039b.wav	v3 BERT review: made come in unacceptable context parallel
17	main	aural_pv_ljt	B	ljt_020a	pv_020	turn up	acceptable	acceptable	He turned up late for the meeting.	turned up	rec_ljt_v4_ljt_020a.wav	candidate for expert review; carried forward to v2; carried forward to v3
18	main	aural_pv_ljt	B	ljt_004a	pv_004	put in	acceptable	acceptable	She put in three hours on the report before the meeting.	put in	rec_ljt_v4_ljt_004a.wav	v4 pre-audio review: made effort object explicit
19	main	aural_pv_ljt	B	ljt_029b	pv_029	keep up	unacceptable	unacceptable	She kept up the good work by stopping after one day.	kept up	rec_ljt_v4_ljt_029b.wav	revised after expert review: replaced odd object with continuity contradiction; carried forward to v3
20	main	aural_pv_ljt	B	ljt_024a	pv_024	put out	acceptable	acceptable	Police put out a warning about the danger.	put out	rec_ljt_v4_ljt_024a.wav	candidate for expert review; carried forward to v2; carried forward to v3
21	main	aural_pv_ljt	B	ljt_012a	pv_012	pull back	acceptable	acceptable	The company pulled back from the risky plan.	pulled back	rec_ljt_v4_ljt_012a.wav	candidate for expert review; carried forward to v2; carried forward to v3
22	main	aural_pv_ljt	B	ljt_003b	pv_003	give out	unacceptable	unacceptable	After the long climb, his knees gave out, but he kept walking easily.	gave out	rec_ljt_v4_ljt_003b.wav	v4 pre-audio review: reduced extreme outcome while preserving contradiction
23	main	aural_pv_ljt	B	ljt_016a	pv_016	take back	acceptable	acceptable	The party took back control of the council.	took back	rec_ljt_v4_ljt_016a.wav	candidate for expert review; carried forward to v2; carried forward to v3
24	main	aural_pv_ljt	B	ljt_013b	pv_013	run out	unacceptable	unacceptable	The office ran out of paper, but there was plenty left.	ran out	rec_ljt_v4_ljt_013b.wav	revised after expert review: replaced odd object with contradiction; carried forward to v3
25	main	aural_pv_ljt	B	ljt_047b	pv_047	lay out	unacceptable	unacceptable	The introduction laid out the plan for the paper but never described the plan.	laid out	rec_ljt_v4_ljt_047b.wav	v4 pre-audio review: replaced clarity mismatch with clearer presentation contradiction
26	main	aural_pv_ljt	B	ljt_005b	pv_005	take in	unacceptable	unacceptable	The lecture was too fast to take in, so everyone understood every detail.	take in	rec_ljt_v4_ljt_005b.wav	revised after expert review: replaced odd subject with contradiction; carried forward to v3
27	main	aural_pv_ljt	B	ljt_002a	pv_002	hand over	acceptable	acceptable	The guard handed over the keys to the manager.	handed over	rec_ljt_v4_ljt_002a.wav	candidate for expert review; carried forward to v2; carried forward to v3
28	main	aural_pv_ljt	B	ljt_040a	pv_040	come out	acceptable	acceptable	The truth came out during the trial.	came out	rec_ljt_v4_ljt_040a.wav	candidate for expert review; carried forward to v2; carried forward to v3
29	main	aural_pv_ljt	B	ljt_022a	pv_022	cut off	acceptable	acceptable	The host cut off the speaker mid-sentence.	cut off	rec_ljt_v4_ljt_022a.wav	candidate for expert review; carried forward to v2; carried forward to v3
30	main	aural_pv_ljt	B	ljt_021b	pv_021	get down	unacceptable	unacceptable	The soldiers got down by standing taller.	got down	rec_ljt_v4_ljt_021b.wav	reviewed: contradiction retained; carried forward to v3
31	main	aural_pv_ljt	B	ljt_026a	pv_026	set out	acceptable	acceptable	The report set out the main rules clearly.	set out	rec_ljt_v4_ljt_026a.wav	candidate for expert review; carried forward to v2; carried forward to v3
32	main	aural_pv_ljt	B	ljt_006a	pv_006	sit back	acceptable	acceptable	The mayor sat back while the problem grew.	sat back	rec_ljt_v4_ljt_006a.wav	candidate for expert review; carried forward to v2; carried forward to v3
33	main	aural_pv_ljt	B	ljt_033b	pv_033	look out	unacceptable	unacceptable	She looked out at the garden from a room with no window.	looked out	rec_ljt_v4_ljt_033b.wav	revised after expert review: replaced silence object with visual-context mismatch; carried forward to v3
34	main	aural_pv_ljt	B	ljt_017b	pv_017	make out	unacceptable	unacceptable	I could barely make out the sign, although it was clear and easy to read.	make out	rec_ljt_v4_ljt_017b.wav	v4 pre-audio review: replaced modality mismatch with semantic contradiction
35	main	aural_pv_ljt	B	ljt_036a	pv_036	go up	acceptable	acceptable	The price went up from five dollars to ten.	went up	rec_ljt_v4_ljt_036a.wav	candidate for expert review; carried forward to v2; carried forward to v3
36	main	aural_pv_ljt	B	ljt_028a	pv_028	reach out	acceptable	acceptable	The manager reached out after the complaint.	reached out	rec_ljt_v4_ljt_028a.wav	candidate for expert review; carried forward to v2; carried forward to v3
37	main	aural_pv_ljt	B	ljt_023b	pv_023	bring in	unacceptable	unacceptable	The firm brought in an expert, but no expert joined the project.	brought in	rec_ljt_v4_ljt_023b.wav	revised after expert review: replaced odd object with role contradiction; carried forward to v3
38	main	aural_pv_ljt	B	ljt_025b	pv_025	clean up	unacceptable	unacceptable	The editor cleaned up the abusive comments by adding insults.	cleaned up	rec_ljt_v4_ljt_025b.wav	revised after expert review: replaced odd object with content contradiction; carried forward to v3
39	main	aural_pv_ljt	B	ljt_019b	pv_019	get off	unacceptable	unacceptable	The children got off the train but stayed in their seats.	got off	rec_ljt_v4_ljt_019b.wav	revised after expert review: replaced odd object with contradiction; carried forward to v3
40	main	aural_pv_ljt	B	ljt_027b	pv_027	break down	unacceptable	unacceptable	The teacher broke down the task into one large step.	broke down	rec_ljt_v4_ljt_027b.wav	revised after expert review: replaced odd result with near-miss; carried forward to v3
41	main	aural_pv_ljt	B	ljt_048a	pv_048	work out	acceptable	acceptable	The students worked out the answer after class.	worked out	rec_ljt_v4_ljt_048a.wav	candidate for expert review; carried forward to v2; carried forward to v3
42	main	aural_pv_ljt	B	ljt_035b	pv_035	look back	unacceptable	unacceptable	Years later, they looked back on a decision that had not happened yet.	looked back	rec_ljt_v4_ljt_035b.wav	reviewed: temporal mismatch made clearer; carried forward to v3
43	main	aural_pv_ljt	B	ljt_030a	pv_030	put up	acceptable	acceptable	They put up posters on the classroom wall.	put up	rec_ljt_v4_ljt_030a.wav	candidate for expert review; carried forward to v2; carried forward to v3
44	main	aural_pv_ljt	B	ljt_014a	pv_014	turn over	acceptable	acceptable	The officer turned over the files to the court.	turned over	rec_ljt_v4_ljt_014a.wav	candidate for expert review; carried forward to v2; carried forward to v3
45	main	aural_pv_ljt	B	ljt_009b	pv_009	get on	unacceptable	unacceptable	The tourists got on the bus, but they stayed on the sidewalk.	got on	rec_ljt_v4_ljt_009b.wav	revised after expert review: replaced odd object with contradiction; carried forward to v3
46	main	aural_pv_ljt	B	ljt_007b	pv_007	hold back	unacceptable	unacceptable	Poor training held back the young players, so they improved quickly.	held back	rec_ljt_v4_ljt_007b.wav	v4 pre-audio review: made acceptable and unacceptable contexts more parallel
47	main	aural_pv_ljt	B	ljt_038a	pv_038	come on	acceptable	acceptable	Oh, come on, that cannot be true.	come on	rec_ljt_v4_ljt_038a.wav	candidate for expert review; carried forward to v2; carried forward to v3
48	main	aural_pv_ljt	B	ljt_032a	pv_032	back up	acceptable	acceptable	The data backed up the main claim.	backed up	rec_ljt_v4_ljt_032a.wav	candidate for expert review; carried forward to v2; carried forward to v3
49	main	aural_pv_ljt	B	ljt_042a	pv_042	carry out	acceptable	acceptable	The researchers carried out the survey in three schools.	carried out	rec_ljt_v4_ljt_042a.wav	candidate for expert review; carried forward to v2; carried forward to v3
50	main	aural_pv_ljt	B	ljt_041b	pv_041	bring about	unacceptable	unacceptable	The reforms brought about major changes, but nothing changed.	brought about	rec_ljt_v4_ljt_041b.wav	revised after expert review: effect contradiction made explicit; carried forward to v3
51	main	aural_pv_ljt	B	ljt_043b	pv_043	rule out	unacceptable	unacceptable	The evidence ruled out a simple explanation, but that explanation was clearly correct.	ruled out	rec_ljt_v4_ljt_043b.wav	v3 BERT review: made context more parallel for rule out
52	main	aural_pv_ljt	B	ljt_044a	pv_044	point out	acceptable	acceptable	The teacher pointed out the error in the essay.	pointed out	rec_ljt_v4_ljt_044a.wav	candidate for expert review; carried forward to v2; carried forward to v3
