priority	pv_id	pv	acceptable_item_id	unacceptable_item_id	full_sentence_sbert_cosine	context_without_pv_sbert_cosine	pll_mean_delta_acc_minus_unacc	target_fit_mean_delta_acc_minus_unacc	bert_flags	expert_flag	reason	recommendation	acceptable_sentence	unacceptable_sentence
high	pv_039	come in	ljt_039a	ljt_039b	0.46982213854789734	0.6060038208961487	-0.7965147943016035	-1.2881202697753906	low_context_similarity;low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	acceptable/unacceptable contexts are relatively dissimilar; masked-LM target-fit direction is not as expected; interpret cautiously	revise pair to keep non-target context more parallel, then rerun diagnostics	Experts came in to help with the problem.	Experts came in to help, but they were never involved.
high	pv_043	rule out	ljt_043a	ljt_043b	0.6117858290672302	0.6778826713562012	1.0708711929195984	0.29746580123901367	low_context_similarity;low_full_sentence_similarity	no	acceptable/unacceptable contexts are relatively dissimilar	revise pair to keep non-target context more parallel, then rerun diagnostics	The evidence ruled out a simple explanation.	The evidence ruled out fraud, so fraud was certain.
high	pv_040	come out	ljt_040a	ljt_040b	0.6078583598136902	0.6823216676712036	1.4330775062553585	-2.0687336921691895	low_context_similarity;low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	acceptable/unacceptable contexts are relatively dissimilar; masked-LM target-fit direction is not as expected; interpret cautiously	revise pair to keep non-target context more parallel, then rerun diagnostics	The truth came out during the trial.	The truth came out but remained completely secret.
medium	pv_007	hold back	ljt_007a	ljt_007b	0.6442158222198486	0.7223014235496521	0.1265413783756748	1.0791122913360596	low_full_sentence_similarity	no	full-sentence SBERT similarity is relatively low	inspect manually; BERT-only issue may not require revision	Poor training held back the young players.	The extra support held back the young players, so they improved faster.
medium	pv_004	put in	ljt_004a	ljt_004b	0.6231288313865662	0.7276195287704468	0.10614028661790442	-0.38036274909973145	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	She put in three hours before the meeting.	She put in three hours but spent no time on the report.
medium	pv_042	carry out	ljt_042a	ljt_042b	0.7141907215118408	0.7645142674446106	0.7398499008500945	0.9249391555786133	none	yes	expert-review flag: academic_near_miss	send to expert review before audio recording	The researchers carried out the survey in three schools.	The researchers carried out the hypothesis in three schools.
medium	pv_034	take out	ljt_034a	ljt_034b	0.6230675578117371	0.7680729627609253	0.06875325510310082	-2.9607555866241455	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	He took out a loan to pay for the course.	He took out a loan but borrowed no money.
medium	pv_023	bring in	ljt_023a	ljt_023b	0.5573458075523376	0.7701799273490906	0.5127542803030727	-2.05768084526062	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The firm brought in an expert to solve the problem.	The firm brought in an expert, but no expert joined the project.
medium	pv_006	sit back	ljt_006a	ljt_006b	0.7366083264350891	0.7727158665657043	0.28656503092497587	3.6238702535629272	target_fit_gap_extreme	no	BERT target-fit gap is unusually large	check whether the unacceptable sentence is too easy	The mayor sat back while the problem grew.	The mayor sat back while he personally led the response.
medium	pv_015	put on	ljt_015a	ljt_015b	0.5625729560852051	0.7772184610366821	-0.6749981901100413	-0.09431004524230957	low_full_sentence_similarity;target_fit_not_higher_for_acceptable	no	full-sentence SBERT similarity is relatively low; masked-LM target-fit direction is not as expected; interpret cautiously	inspect manually; BERT-only issue may not require revision	The school put on a play for the visitors.	The school put on a play but never performed it.
